ExperimentType,ExpID,FolderID,EyeDx,EyeDy,EyeDz,EyeOx,EyeOy,EyeOz,IsValid,LeftBlinking,RightBlinking,GameTime,ConvergenceDistance,ConvergenceDistanceIsValid,LocalTime,CamPx,CamPy,CamPz,LocalCamPx,LocalCamPy,LocalCamPz,CamRx,CamRy,CamRz,CamRw,LocalCamRx,LocalCamRy,LocalCamRz,LocalCamRw,Timestamp,AreYouHappyToBePartOfOurExperiment,ExperimentID,Gender,AgeGroup,DoYouEncounterColourBlindness,GamingExperienceHowOftenDoYouPlayComputerGamesPCConsolemobile,ExperienceWithVirtualReality,Arrowsscene1HelpedMeToExploreTheEnvironment,Avatarsscene2HelpedMeToExploreTheEnvironment,ArrowsDistractMyAttention,AvatarsDistractMyAttention
Arrows,1,cmx,-0.06521606,-0.2084351,0.9758453,-0.03095427,0.00126178,-0.0380959,True,False,False,0,0.3608406,True,05:24:17 PM,158.96,193.96,-286.82,0,0,0,0.03579477,-0.5167606,0.02163157,0.8551078,0,0,0,1,11/25/2021 17:27:55,Yes,cmx,Male,20,No,Once a week,Some experience,3,6,8,6
Arrows,1,cmx,0.02684021,-0.1796875,0.9833527,-0.03137027,0.001398544,-0.03810424,True,False,False,0.02,0.8508208,True,05:24:17 PM,158.96,193.96,-286.82,0,0,0,0.03579477,-0.5167606,0.02163157,0.8551078,0,0,0,1,11/25/2021 17:27:55,Yes,cmx,Male,20,No,Once a week,Some experience,3,6,8,6
Arrows,1,cmx,-0.01393127,-0.1095123,0.9938812,-0.009751572,0.003827149,-0.03341084,True,False,False,0.3533334,0.1,True,05:24:18 PM,159.0685,196.393,-286.5021,0.3318448,2.428798,-0.1518129,0.1280793,-0.003028512,-0.1076907,-0.9858952,0.0890957,-0.5186868,-0.1368386,-0.8392265,11/25/2021 17:27:55,Yes,cmx,Male,20,No,Once a week,Some experience,3,6,8,6
Arrows,1,cmx,0.02220154,-0.1386261,0.9900818,-0.009552522,0.003848068,-0.03362824,True,False,False,0.4086762,0.4623469,True,05:24:18 PM,159.1104,196.3968,-286.521,0.3345957,2.428783,-0.1977526,0.1267832,-0.1050275,-0.09782968,-0.981491,0.09071905,-0.60325,-0.1241808,-0.7825845,11/25/2021 17:27:55,Yes,cmx,Male,20,No,Once a week,Some experience,3,6,8,6
Arrows,1,cmx,-0.02119446,-0.1750183,0.9843292,-0.0219408,0.00253476,-0.03581733,True,False,False,0.4232934,0.2044794,True,05:24:18 PM,159.1104,196.3976,-286.5222,0.3335557,2.429513,-0.1984646,0.1299344,-0.1019033,-0.09454541,-0.9817301,0.09518706,-0.6006528,-0.1231075,-0.7842196,11/25/2021 17:27:55,Yes,cmx,Male,20,No,Once a week,Some experience,3,6,8,6
Arrows,1,cmx,-0.01252747,-0.1632385,0.986496,-0.02390895,0.002238358,-0.03619339,True,False,False,0.436527,0.2523288,True,05:24:18 PM,159.1104,196.3978,-286.5226,0.333179,2.429644,-0.1985896,0.1308241,-0.09947962,-0.09167714,-0.9821324,0.09749686,-0.5987046,-0.1211927,-0.7857222,11/25/2021 17:27:55,Yes,cmx,Male,20,No,Once a week,Some experience,3,6,8,6
Arrows,1,cmx,-0.02711487,-0.1693878,0.9851685,-0.03125679,0.001419129,-0.03731804,True,False,False,0.4497924,0.3606037,True,05:24:18 PM,159.1102,196.3979,-286.5232,0.3325949,2.429837,-0.1987209,0.1317838,-0.09668609,-0.08858463,-0.9825668,0.09999157,-0.5964504,-0.1191348,-0.787436,11/25/2021 17:27:55,Yes,cmx,Male,20,No,Once a week,Some experience,3,6,8,6
Arrows,1,cmx,-0.02139282,-0.1659851,0.9858856,-0.03114943,0.001431473,-0.03732863,True,False,False,0.4637126,0.4603564,True,05:24:18 PM,159.1093,196.3984,-286.5243,0.331244,2.430289,-0.1985163,0.1347092,-0.08877635,-0.08049037,-0.9836126,0.1068844,-0.5900007,-0.1139855,-0.7921378,11/25/2021 17:27:55,Yes,cmx,Male,20,No,Once a week,Some experience,3,6,8,6
Arrows,1,cmx,-0.03495789,-0.1488647,0.9882355,-0.03059555,0.001422287,-0.03708396,True,False,False,0.4774917,0.3887614,True,05:24:18 PM,159.1088,196.3985,-286.5248,0.3305368,2.430442,-0.1983175,0.1362465,-0.08379439,-0.07622381,-0.9841775,0.1105318,-0.5859131,-0.1112977,-0.7950481,11/25/2021 17:27:55,Yes,cmx,Male,20,No,Once a week,Some experience,3,6,8,6
Arrows,1,cmx,-0.01573181,-0.1614075,0.9867554,-0.02922884,0.001526611,-0.03670511,True,False,False,0.4903955,0.4452764,True,05:24:18 PM,159.108,196.3985,-286.525,0.3299561,2.430506,-0.1977368,0.1376257,-0.07754636,-0.07152416,-0.9848503,0.114299,-0.5807796,-0.1082008,-0.798701,11/25/2021 17:27:55,Yes,cmx,Male,20,No,Once a week,Some experience,3,6,8,6
Arrows,1,cmx,0.001663208,-0.1735382,0.9848175,-0.0270034,0.001892822,-0.03662127,True,False,False,0.5032939,0.3826649,True,05:24:18 PM,159.1071,196.3986,-286.5255,0.3291187,2.43059,-0.1971389,0.1390726,-0.07068309,-0.06662421,-0.9855069,0.1182403,-0.575106,-0.10499,-0.8026515,11/25/2021 17:27:55,Yes,cmx,Male,20,No,Once a week,Some experience,3,6,8,6
Arrows,1,cmx,0.05015564,-0.1820984,0.9819946,-0.004353226,0.004344468,-0.03299704,True,False,True,0.517808,0.2683125,True,05:24:18 PM,159.1059,196.3986,-286.5256,0.328455,2.430678,-0.196161,0.1406191,-0.06224442,-0.06192557,-0.986163,0.1221968,-0.5680943,-0.1020592,-0.8074162,11/25/2021 17:27:55,Yes,cmx,Male,20,No,Once a week,Some experience,3,6,8,6
Arrows,1,cmx,0.0770874,-0.1753845,0.9814758,-0.004683655,0.004450852,-0.03338848,True,False,True,0.5329598,0.3173774,True,05:24:18 PM,159.1031,196.3988,-286.5258,0.3269501,2.43106,-0.1937623,0.1440237,-0.04320145,-0.05297656,-0.9872104,0.130182,-0.5521051,-0.09682515,-0.8178371,11/25/2021 17:27:55,Yes,cmx,Male,20,No,Once a week,Some experience,3,6,8,6
Arrows,1,cmx,0.0814209,-0.1940765,0.9775848,-0.003798157,0.00451181,-0.033032,True,False,True,0.5464776,0.4737856,True,05:24:18 PM,159.1014,196.399,-286.5266,0.3255219,2.431401,-0.1926127,0.1460815,-0.03281471,-0.04917328,-0.9875047,0.1341423,-0.5432838,-0.09500176,-0.8233003,11/25/2021 17:27:55,Yes,cmx,Male,20,No,Once a week,Some experience,3,6,8,6
Arrows,1,cmx,0.09350586,-0.2096863,0.9732819,-0.002349777,0.004680817,-0.03277753,True,False,True,0.5618243,0.4241901,True,05:24:18 PM,159.0974,196.3996,-286.527,0.323215,2.432302,-0.1893324,0.1496774,-0.008317739,-0.04292738,-0.9877677,0.1409841,-0.5223264,-0.09239019,-0.8359204,11/25/2021 17:27:55,Yes,cmx,Male,20,No,Once a week,Some experience,3,6,8,6
Arrows,1,cmx,0.01863098,-0.2336426,0.9721375,-0.01169537,0.00376442,-0.03433112,True,False,True,0.57816,0.3395275,True,05:24:18 PM,159.0952,196.4,-286.5275,0.3218408,2.432808,-0.1876547,0.1511317,0.004017055,-0.040696,-0.9876676,0.1436441,-0.5116786,-0.09167739,-0.8421085,11/25/2021 17:27:55,Yes,cmx,Male,20,No,Once a week,Some experience,3,6,8,6
Arrows,1,cmx,-0.1065063,-0.2145996,0.970871,-0.01635709,0.003248856,-0.03511371,True,True,False,0.5917827,0.2657357,True,05:24:18 PM,159.0928,196.4003,-286.5276,0.3206186,2.433326,-0.1856616,0.15225,0.01739743,-0.03889753,-0.9874231,0.1458103,-0.5000705,-0.09120157,-0.8487351,11/25/2021 17:27:55,Yes,cmx,Male,20,No,Once a week,Some experience,3,6,8,6
Arrows,1,cmx,-0.1212463,-0.1286163,0.9842377,-0.02553777,0.002477219,-0.03718935,True,True,False,0.6063644,0.4112973,True,05:24:18 PM,159.0877,196.401,-286.5284,0.3175664,2.434302,-0.1815387,0.1542499,0.04545861,-0.03525657,-0.9863557,0.1499708,-0.4754364,-0.09014918,-0.8621729,11/25/2021 17:27:55,Yes,cmx,Male,20,No,Once a week,Some experience,3,6,8,6
Arrows,1,cmx,-0.2075958,-0.2308197,0.9505768,-0.02306391,0.002597809,-0.03629738,True,True,False,0.6203681,0.5769556,True,05:24:18 PM,159.0849,196.4012,-286.5291,0.3156271,2.434745,-0.1794489,0.1548969,0.06002691,-0.0332967,-0.9855431,0.1518229,-0.4625029,-0.08934671,-0.8689408,11/25/2021 17:27:55,Yes,cmx,Male,20,No,Once a week,Some experience,3,6,8,6
Arrows,1,cmx,-0.2628937,-0.1774139,0.9483643,-0.02987226,0.001835709,-0.03745326,True,True,False,0.634423,0.2542859,True,05:24:18 PM,159.0821,196.4015,-286.5298,0.3136826,2.435175,-0.1772678,0.1552407,0.07533622,-0.03171899,-0.9844892,0.1532256,-0.4488181,-0.08874603,-0.8759044,11/25/2021 17:27:55,Yes,cmx,Male,20,No,Once a week,Some experience,3,6,8,6
