ExperimentType,ExpID,FolderID,EyeDx,EyeDy,EyeDz,EyeOx,EyeOy,EyeOz,IsValid,LeftBlinking,RightBlinking,GameTime,ConvergenceDistance,ConvergenceDistanceIsValid,LocalTime,CamPx,CamPy,CamPz,LocalCamPx,LocalCamPy,LocalCamPz,CamRx,CamRy,CamRz,CamRw,LocalCamRx,LocalCamRy,LocalCamRz,LocalCamRw,Timestamp,AreYouHappyToBePartOfOurExperiment,ExperimentID,Gender,AgeGroup,DoYouEncounterColourBlindness,GamingExperienceHowOftenDoYouPlayComputerGamesPCConsolemobile,ExperienceWithVirtualReality,Arrowsscene1HelpedMeToExploreTheEnvironment,Avatarsscene2HelpedMeToExploreTheEnvironment,ArrowsDistractMyAttention,AvatarsDistractMyAttention
Avatars,1,cmx,0.1023865,-0.2775574,0.9552307,-0.02229079,0.0010495,-0.03428295,True,False,False,0,0.1,True,05:22:05 PM,158.47,193.91,-286.56,0,0,0,0.03579477,-0.5167606,0.02163157,0.8551078,0,0,0,1,11/25/2021 17:27:55,Yes,cmx,Male,20,No,Once a week,Some experience,3,6,8,6
Avatars,1,cmx,0.1100922,-0.2630005,0.9584808,-0.02005994,0.00130011,-0.03412859,True,False,False,0.02,0.1002824,True,05:22:05 PM,158.47,193.91,-286.56,0,0,0,0.03579477,-0.5167606,0.02163157,0.8551078,0,0,0,1,11/25/2021 17:27:55,Yes,cmx,Male,20,No,Once a week,Some experience,3,6,8,6
Avatars,1,cmx,0.008407593,-0.2254181,0.9742126,-0.03055571,0.0003036804,-0.03485536,True,False,False,0.3533334,0.2163305,True,05:22:05 PM,159.6048,196.3631,-286.6365,0.4599369,2.357609,-1.241642,-0.0850437,0.627403,-0.2282761,-0.7396101,-0.1506397,0.1479643,-0.1577122,-0.9646456,11/25/2021 17:27:55,Yes,cmx,Male,20,No,Once a week,Some experience,3,6,8,6
Avatars,1,cmx,0.2735901,-0.1763916,0.9455261,-0.03241104,0.00068013,-0.03505379,True,False,False,0.4246438,0.3148194,True,05:22:05 PM,159.5921,196.3392,-286.6022,0.4843531,2.336054,-1.212534,-0.1497713,0.5735414,-0.2743816,-0.7571881,-0.2303503,0.09257305,-0.1613805,-0.9551573,11/25/2021 17:27:55,Yes,cmx,Male,20,No,Once a week,Some experience,3,6,8,6
Avatars,1,cmx,0.2641907,-0.143631,0.9537048,-0.03013648,0.0009599457,-0.0348906,True,False,False,0.4530579,0.1199781,True,05:22:05 PM,159.5959,196.3387,-286.5968,0.4909356,2.335472,-1.213327,-0.1519596,0.5532694,-0.2748894,-0.7715162,-0.2324095,0.06786332,-0.1596484,-0.957023,11/25/2021 17:27:55,Yes,cmx,Male,20,No,Once a week,Some experience,3,6,8,6
Avatars,1,cmx,0.2560577,-0.1193542,0.959259,-0.02340691,0.001683106,-0.03434136,True,False,False,0.4716136,0.1,True,05:22:05 PM,159.598,196.3403,-286.594,0.4944031,2.337055,-1.213984,-0.1493906,0.5428383,-0.2701023,-0.7810595,-0.227623,0.05412776,-0.1563026,-0.9595976,11/25/2021 17:27:55,Yes,cmx,Male,20,No,Once a week,Some experience,3,6,8,6
Avatars,1,cmx,0.2442474,-0.11026,0.9634094,-0.01729785,0.002357697,-0.03385073,True,False,False,0.4824654,0.14208,True,05:22:05 PM,159.5992,196.3416,-286.5927,0.496141,2.338249,-1.214546,-0.1470848,0.5375091,-0.2672583,-0.7861446,-0.2241149,0.04699482,-0.1547615,-0.9610479,11/25/2021 17:27:55,Yes,cmx,Male,20,No,Once a week,Some experience,3,6,8,6
Avatars,1,cmx,0.2502747,-0.09069824,0.9638977,-0.01408844,0.002700104,-0.03360549,True,False,False,0.4938689,0.1574109,True,05:22:05 PM,159.6004,196.3429,-286.5912,0.4979897,2.339521,-1.215111,-0.1447756,0.5322286,-0.2647794,-0.7909896,-0.2208001,0.04001448,-0.1535412,-0.962326,11/25/2021 17:27:55,Yes,cmx,Male,20,No,Once a week,Some experience,3,6,8,6
Avatars,1,cmx,0.2421265,-0.07704163,0.9671783,-0.00951442,0.003151627,-0.03324532,True,False,False,0.504675,0.119143,True,05:22:05 PM,159.6019,196.3443,-286.5899,0.499815,2.340896,-1.215852,-0.142244,0.5269307,-0.2621493,-0.7958571,-0.2172165,0.03300837,-0.1523056,-0.9636029,11/25/2021 17:27:55,Yes,cmx,Male,20,No,Once a week,Some experience,3,6,8,6
Avatars,1,cmx,0.2500153,-0.0712738,0.9656067,-0.007855439,0.003280381,-0.03312162,True,False,False,0.5154182,0.1655317,True,05:22:05 PM,159.6034,196.3458,-286.5884,0.5018568,2.342352,-1.216598,-0.1396468,0.5215877,-0.2592252,-0.8007792,-0.213424,0.02594437,-0.1508495,-0.9648946,11/25/2021 17:27:55,Yes,cmx,Male,20,No,Once a week,Some experience,3,6,8,6
Avatars,1,cmx,0.2248383,-0.08236694,0.9709015,-0.007743973,0.003240814,-0.03309679,True,False,False,0.5266441,0.2076161,True,05:22:06 PM,159.6049,196.3473,-286.5869,0.5039167,2.343713,-1.21742,-0.1371109,0.5158327,-0.2564695,-0.8058169,-0.2097756,0.01846373,-0.1494885,-0.9660779,11/25/2021 17:27:55,Yes,cmx,Male,20,No,Once a week,Some experience,3,6,8,6
