ExperimentType,ExpID,FolderID,EyeDx,EyeDy,EyeDz,EyeOx,EyeOy,EyeOz,IsValid,LeftBlinking,RightBlinking,GameTime,ConvergenceDistance,ConvergenceDistanceIsValid,LocalTime,CamPx,CamPy,CamPz,LocalCamPx,LocalCamPy,LocalCamPz,CamRx,CamRy,CamRz,CamRw,LocalCamRx,LocalCamRy,LocalCamRz,LocalCamRw,Timestamp,AreYouHappyToBePartOfOurExperiment,ExperimentID,Gender,AgeGroup,DoYouEncounterColourBlindness,GamingExperienceHowOftenDoYouPlayComputerGamesPCConsolemobile,ExperienceWithVirtualReality,Arrowsscene1HelpedMeToExploreTheEnvironment,Avatarsscene2HelpedMeToExploreTheEnvironment,ArrowsDistractMyAttention,AvatarsDistractMyAttention
Arrows,1,XUG,0.1568756,0.2176361,0.9633331,-0.0330621,-0.007319184,-0.03185004,True,False,False,0,0,False,04:40:37 PM,158.96,193.96,-286.82,0,0,0,0.03579477,-0.5167606,0.02163157,0.8551078,0,0,0,1,11/25/2021 16:47:21,Yes,XUG,Male,26,No,Many times every day,Some experience,6,8,1,2
Arrows,1,XUG,0.3021851,0.218277,0.9279022,-0.03401427,-0.007183075,-0.03217438,True,True,False,0.02,0,False,04:40:37 PM,158.96,193.96,-286.82,0,0,0,0.03579477,-0.5167606,0.02163157,0.8551078,0,0,0,1,11/25/2021 16:47:21,Yes,XUG,Male,26,No,Many times every day,Some experience,6,8,1,2
Arrows,1,XUG,-0.08235168,0.2270203,0.9703979,-0.03172432,-0.007232498,-0.03174268,True,False,False,0.3533334,0,False,04:40:37 PM,161.1322,196.2915,-284.4395,3.117494,2.255111,-1.008203,-0.02305392,0.5445159,-0.06756763,0.8357067,-0.07276506,0.8955602,-0.08343272,0.4309481,11/25/2021 16:47:21,Yes,XUG,Male,26,No,Many times every day,Some experience,6,8,1,2
Arrows,1,XUG,-0.06254578,0.2149811,0.9746094,-0.03184215,-0.007265396,-0.03173383,True,False,False,0.4114476,0,False,04:40:38 PM,161.114,196.2897,-284.4453,3.103872,2.2545,-0.9947042,-0.03995687,0.6371995,-0.06169226,0.767186,-0.07972518,0.9399818,-0.07150923,0.3239824,11/25/2021 16:47:21,Yes,XUG,Male,26,No,Many times every day,Some experience,6,8,1,2
Arrows,1,XUG,-0.0692749,0.1933899,0.9786682,-0.03191802,-0.007283982,-0.03170638,True,False,False,0.4282157,0,False,04:40:38 PM,161.1124,196.2907,-284.4423,3.105859,2.255654,-0.9919822,-0.04182298,0.6298255,-0.06176674,0.7731465,-0.08173226,0.9367942,-0.07047358,0.3328214,11/25/2021 16:47:21,Yes,XUG,Male,26,No,Many times every day,Some experience,6,8,1,2
Arrows,1,XUG,-0.06681824,0.1895905,0.9795837,-0.03194239,-0.007254654,-0.03175035,True,False,False,0.4382786,0,False,04:40:38 PM,161.1119,196.291,-284.4413,3.106461,2.256009,-0.9910905,-0.04202531,0.6272122,-0.06161403,0.7752694,-0.08195888,0.9356663,-0.07019082,0.3359832,11/25/2021 16:47:21,Yes,XUG,Male,26,No,Many times every day,Some experience,6,8,1,2
Arrows,1,XUG,-0.05921936,0.1915894,0.9796753,-0.03198108,-0.007270859,-0.03175974,True,False,False,0.447468,0,False,04:40:38 PM,161.1114,196.2912,-284.4404,3.107016,2.256296,-0.9902096,-0.04206743,0.6243597,-0.06151709,0.7775738,-0.08208898,0.9344223,-0.0700339,0.3394283,11/25/2021 16:47:21,Yes,XUG,Male,26,No,Many times every day,Some experience,6,8,1,2
Arrows,1,XUG,-0.04483032,0.2071381,0.9772797,-0.03206282,-0.007272034,-0.03172328,True,False,False,0.4590822,0,False,04:40:38 PM,161.1108,196.2913,-284.4395,3.107567,2.256523,-0.9893408,-0.04179025,0.621457,-0.06148506,0.7799132,-0.08198194,0.9331442,-0.07009645,0.3429394,11/25/2021 16:47:21,Yes,XUG,Male,26,No,Many times every day,Some experience,6,8,1,2
Arrows,1,XUG,-0.04837036,0.2119751,0.9760742,-0.03211385,-0.007353303,-0.03180885,True,False,False,0.4695715,0,False,04:40:38 PM,161.1103,196.2914,-284.4387,3.108054,2.256658,-0.9884748,-0.04146268,0.6185136,-0.06156968,0.7822603,-0.08189325,0.93183,-0.07028349,0.3464774,11/25/2021 16:47:21,Yes,XUG,Male,26,No,Many times every day,Some experience,6,8,1,2
Arrows,1,XUG,-0.0307312,0.2306976,0.9725342,-0.0321557,-0.007354569,-0.0317939,True,False,False,0.4806882,0,False,04:40:38 PM,161.1097,196.2914,-284.4378,3.108564,2.256796,-0.9876137,-0.04086193,0.6155115,-0.06179931,0.784638,-0.08164825,0.9304705,-0.07073427,0.3500785,11/25/2021 16:47:21,Yes,XUG,Male,26,No,Many times every day,Some experience,6,8,1,2
