ExperimentType,ExpID,FolderID,GameObj,Focus,EyeDx,EyeDy,EyeDz,EyeOx,EyeOy,EyeOz,IsValid,LeftBlinking,RightBlinking,GameTime,ConvergenceDistance,ConvergenceDistanceIsValid,LocalTime,GameObjPx,GameObjPy,GameObjPz,CamPx,CamPy,CamPz,LocalCamPx,LocalCamPy,LocalCamPz,CamRx,CamRy,CamRz,CamRw,LocalCamRx,LocalCamRy,LocalCamRz,LocalCamRw,Timestamp,AreYouHappyToBePartOfOurExperiment,ExperimentID,Gender,AgeGroup,DoYouEncounterColourBlindness,GamingExperienceHowOftenDoYouPlayComputerGamesPCConsolemobile,ExperienceWithVirtualReality,Arrowsscene1HelpedMeToExploreTheEnvironment,Avatarsscene2HelpedMeToExploreTheEnvironment,ArrowsDistractMyAttention,AvatarsDistractMyAttention
Arrows,1,XUG,MainArrow,FocusIn,-0.06254578,0.2149811,0.9746094,-0.03184215,-0.007265396,-0.03173383,True,False,False,0.4114476,0,False,04:40:38 PM,162.2465,196.4573,-283.976,161.114,196.2897,-284.4453,3.103872,2.2545,-0.9947042,-0.03995687,0.6371995,-0.06169226,0.767186,-0.07972518,0.9399818,-0.07150923,0.3239824,11/25/2021 16:47:21,Yes,XUG,Male,26,No,Many times every day,Some experience,6,8,1,2
Arrows,1,XUG,MainArrow,FocusOut,-0.0692749,0.1933899,0.9786682,-0.03191802,-0.007283982,-0.03170638,True,False,False,0.4282157,0,False,04:40:38 PM,162.3023,196.4767,-284.253,161.1124,196.2907,-284.4423,3.105859,2.255654,-0.9919822,-0.04182298,0.6298255,-0.06176674,0.7731465,-0.08173226,0.9367942,-0.07047358,0.3328214,11/25/2021 16:47:21,Yes,XUG,Male,26,No,Many times every day,Some experience,6,8,1,2
Arrows,1,XUG,MainArrow,FocusIn,-0.0692749,0.1933899,0.9786682,-0.03191802,-0.007283982,-0.03170638,True,False,False,0.4282157,0,False,04:40:38 PM,162.3023,196.4767,-284.253,161.1124,196.2907,-284.4423,3.105859,2.255654,-0.9919822,-0.04182298,0.6298255,-0.06176674,0.7731465,-0.08173226,0.9367942,-0.07047358,0.3328214,11/25/2021 16:47:21,Yes,XUG,Male,26,No,Many times every day,Some experience,6,8,1,2
Arrows,1,XUG,MainArrow,FocusOut,0.03334045,0.2330017,0.9718933,-0.03255783,-0.007308747,-0.03178095,True,False,False,0.5586147,0,False,04:40:38 PM,162.2722,196.4761,-284.1324,161.106,196.2911,-284.4339,3.110294,2.256889,-0.9824886,-0.03584947,0.5988306,-0.06422537,0.797491,-0.07943666,0.9226532,-0.07508,0.3698161,11/25/2021 16:47:21,Yes,XUG,Male,26,No,Many times every day,Some experience,6,8,1,2
Arrows,1,XUG,MainArrow,FocusIn,0.04678345,0.2268372,0.9727936,-0.03260585,-0.00725879,-0.03178028,True,False,False,0.5808547,0,False,04:40:38 PM,162.2682,196.4739,-284.1196,161.1048,196.2911,-284.4335,3.110115,2.256949,-0.981214,-0.0345194,0.5949304,-0.06460595,0.8004327,-0.07868563,0.9207958,-0.07601679,0.3743865,11/25/2021 16:47:21,Yes,XUG,Male,26,No,Many times every day,Some experience,6,8,1,2
Arrows,1,XUG,MainArrow,FocusOut,-0.04629517,0.1999054,0.978714,-0.03201862,-0.007269409,-0.03174466,True,False,False,0.714429,0,False,04:40:38 PM,162.2381,196.4787,-284.0495,161.096,196.2927,-284.4324,3.10697,2.259264,-0.9730277,-0.03601202,0.5693364,-0.06654796,0.8186151,-0.08217002,0.9082689,-0.07638327,0.4030649,11/25/2021 16:47:21,Yes,XUG,Male,26,No,Many times every day,Some experience,6,8,1,2
Arrows,1,XUG,MainArrow,FocusIn,-0.0305481,0.199234,0.9794617,-0.03209157,-0.00727182,-0.0317356,True,False,False,0.7368817,0,False,04:40:38 PM,162.231,196.4811,-284.0341,161.0943,196.2931,-284.4319,3.106643,2.259818,-0.9713438,-0.03621573,0.5636775,-0.06650244,0.8225167,-0.08258275,0.9054522,-0.07612091,0.4093191,11/25/2021 16:47:21,Yes,XUG,Male,26,No,Many times every day,Some experience,6,8,1,2
Arrows,1,XUG,MainArrow,FocusOut,0.0382843,0.2289581,0.9726715,-0.03238843,-0.007325165,-0.03177895,True,False,False,0.8253512,0,False,04:40:38 PM,162.1964,196.4839,-283.958,161.0882,196.2939,-284.4281,3.107166,2.261197,-0.9643235,-0.03244255,0.5357303,-0.06509316,0.8412512,-0.07990316,0.8912044,-0.07627055,0.4399467,11/25/2021 16:47:21,Yes,XUG,Male,26,No,Many times every day,Some experience,6,8,1,2
Arrows,1,XUG,MainArrow,FocusIn,0.03910828,0.2178345,0.9751892,-0.03235842,-0.007263047,-0.03176119,True,False,False,0.8475825,0,False,04:40:38 PM,162.1844,196.4831,-283.9323,161.0865,196.2941,-284.4265,3.107782,2.261586,-0.9621153,-0.03058811,0.5264193,-0.06476733,0.8472027,-0.07856348,0.8862895,-0.07674569,0.4499209,11/25/2021 16:47:21,Yes,XUG,Male,26,No,Many times every day,Some experience,6,8,1,2
Arrows,1,XUG,MainArrow,FocusOut,-0.05705261,0.2150116,0.9749298,-0.03194757,-0.007417405,-0.03175078,True,False,False,0.8590087,0,False,04:40:38 PM,162.1779,196.4823,-283.919,161.0856,196.2941,-284.4255,3.108241,2.261742,-0.9608624,-0.02955855,0.5212308,-0.06458019,0.8504554,-0.07781505,0.883518,-0.07700235,0.4554244,11/25/2021 16:47:21,Yes,XUG,Male,26,No,Many times every day,Some experience,6,8,1,2
