ExperimentType,ExpID,FolderID,EyeDx,EyeDy,EyeDz,EyeOx,EyeOy,EyeOz,IsValid,LeftBlinking,RightBlinking,GameTime,ConvergenceDistance,ConvergenceDistanceIsValid,LocalTime,CamPx,CamPy,CamPz,LocalCamPx,LocalCamPy,LocalCamPz,CamRx,CamRy,CamRz,CamRw,LocalCamRx,LocalCamRy,LocalCamRz,LocalCamRw,Timestamp,AreYouHappyToBePartOfOurExperiment,ExperimentID,Gender,AgeGroup,DoYouEncounterColourBlindness,GamingExperienceHowOftenDoYouPlayComputerGamesPCConsolemobile,ExperienceWithVirtualReality,Arrowsscene1HelpedMeToExploreTheEnvironment,Avatarsscene2HelpedMeToExploreTheEnvironment,ArrowsDistractMyAttention,AvatarsDistractMyAttention
Avatars,1,XUG,-0.07861328,0.142807,0.986618,-0.03173335,-0.005604096,-0.03289395,True,True,True,0,0,False,04:38:24 PM,158.47,193.91,-286.56,0,0,0,0.03579477,-0.5167606,0.02163157,0.8551078,0,0,0,1,11/25/2021 16:47:21,Yes,XUG,Male,26,No,Many times every day,Some experience,6,8,1,2
Avatars,1,XUG,-0.07797241,0.1414948,0.9868469,-0.03172019,-0.005592301,-0.03293704,True,True,True,0.02,0,False,04:38:25 PM,158.47,193.91,-286.56,0,0,0,0.03579477,-0.5167606,0.02163157,0.8551078,0,0,0,1,11/25/2021 16:47:21,Yes,XUG,Male,26,No,Many times every day,Some experience,6,8,1,2
Avatars,1,XUG,0.1300354,0.1848297,0.9741211,-0.03280642,-0.006139862,-0.03240667,True,False,False,0.3533334,0,False,04:38:25 PM,160.0578,196.3795,-286.2984,0.9698753,2.353515,-1.485964,-0.03417467,0.4812018,-0.05562893,0.8741753,-0.07885162,0.8619667,-0.06604289,0.4964213,11/25/2021 16:47:21,Yes,XUG,Male,26,No,Many times every day,Some experience,6,8,1,2
Avatars,1,XUG,0.1333313,0.174942,0.9754944,-0.03275742,-0.006024628,-0.03237491,True,False,False,0.4137135,0,False,04:38:25 PM,160.0537,196.3797,-286.3205,0.9483814,2.353198,-1.492618,-0.03280177,0.562715,-0.03208391,0.8253767,-0.06200051,0.9072652,-0.04848098,0.4131289,11/25/2021 16:47:21,Yes,XUG,Male,26,No,Many times every day,Some experience,6,8,1,2
Avatars,1,XUG,0.1318054,0.1757507,0.9755554,-0.03274376,-0.006026474,-0.03237431,True,False,False,0.4386189,0,False,04:38:25 PM,160.0558,196.3787,-286.3231,0.9471538,2.351885,-1.495606,-0.03021638,0.5648911,-0.03484528,0.8238755,-0.06111587,0.9081955,-0.0522237,0.4107534,11/25/2021 16:47:21,Yes,XUG,Male,26,No,Many times every day,Some experience,6,8,1,2
Avatars,1,XUG,0.1185303,0.1567078,0.9804993,-0.03264854,-0.005927277,-0.03235083,True,False,False,0.4547218,0,False,04:38:25 PM,160.0569,196.3779,-286.3246,0.9462478,2.351014,-1.497193,-0.02843193,0.5658801,-0.03750997,0.8231431,-0.06091938,0.9085287,-0.05544398,0.4096224,11/25/2021 16:47:21,Yes,XUG,Male,26,No,Many times every day,Some experience,6,8,1,2
Avatars,1,XUG,0.061203,0.1000366,0.9930878,-0.0324021,-0.006323563,-0.03257076,True,False,False,0.4714482,0,False,04:38:25 PM,160.0574,196.3776,-286.3254,0.9457431,2.350581,-1.497977,-0.0276952,0.5663189,-0.03909307,0.8227926,-0.06108544,0.9086502,-0.05718654,0.4090881,11/25/2021 16:47:21,Yes,XUG,Male,26,No,Many times every day,Some experience,6,8,1,2
Avatars,1,XUG,0.08700562,0.08247375,0.9927826,-0.03213173,-0.009862412,-0.02426546,True,False,False,0.4896098,0,False,04:38:25 PM,160.0584,196.3769,-286.3271,0.9447362,2.349815,-1.499595,-0.02646624,0.5672308,-0.04227891,0.8220471,-0.06163445,0.9089041,-0.06056238,0.4079544,11/25/2021 16:47:21,Yes,XUG,Male,26,No,Many times every day,Some experience,6,8,1,2
Avatars,1,XUG,0.04981995,0.03915405,0.9979858,-0.03227651,-0.007602417,-0.02996936,True,False,False,0.4985768,0,False,04:38:25 PM,160.0588,196.3767,-286.328,0.9441717,2.349492,-1.500333,-0.02582258,0.5676128,-0.04387618,0.8217201,-0.06188948,0.9089907,-0.06226743,0.4074658,11/25/2021 16:47:21,Yes,XUG,Male,26,No,Many times every day,Some experience,6,8,1,2
Avatars,1,XUG,0.03147888,0.03610229,0.9988403,-0.03222696,-0.007050538,-0.03090358,True,False,False,0.5077931,0,False,04:38:25 PM,160.0593,196.3764,-286.3287,0.9437826,2.349143,-1.501101,-0.02519586,0.5677202,-0.0453243,0.8215867,-0.06209481,0.9089482,-0.06383056,0.4072874,11/25/2021 16:47:21,Yes,XUG,Male,26,No,Many times every day,Some experience,6,8,1,2
