ExperimentType,ExpID,FolderID,GameObj,Focus,EyeDx,EyeDy,EyeDz,EyeOx,EyeOy,EyeOz,IsValid,LeftBlinking,RightBlinking,GameTime,ConvergenceDistance,ConvergenceDistanceIsValid,LocalTime,GameObjPx,GameObjPy,GameObjPz,CamPx,CamPy,CamPz,LocalCamPx,LocalCamPy,LocalCamPz,CamRx,CamRy,CamRz,CamRw,LocalCamRx,LocalCamRy,LocalCamRz,LocalCamRw,Timestamp,AreYouHappyToBePartOfOurExperiment,ExperimentID,Gender,AgeGroup,DoYouEncounterColourBlindness,GamingExperienceHowOftenDoYouPlayComputerGamesPCConsolemobile,ExperienceWithVirtualReality,Arrowsscene1HelpedMeToExploreTheEnvironment,Avatarsscene2HelpedMeToExploreTheEnvironment,ArrowsDistractMyAttention,AvatarsDistractMyAttention
Avatars,1,XUG,claire,FocusIn,-0.09049988,0.01608276,0.9957581,-0.03149964,-0.006774674,-0.03259172,True,False,False,1.585689,0,False,04:38:26 PM,161.4108,193.8341,-282.2628,160.0591,196.3243,-286.2337,1.027741,2.300943,-1.452561,-0.129592,-0.1825876,0.0851705,-0.970883,-0.03599948,-0.6519942,0.1673354,-0.7386518,11/25/2021 16:47:21,Yes,XUG,Male,26,No,Many times every day,Some experience,6,8,1,2
Avatars,1,XUG,claire,FocusOut,-0.07479858,0.04364014,0.9962311,-0.03169924,-0.006635437,-0.03294965,True,False,False,1.60231,0,False,04:38:26 PM,161.3994,193.8341,-282.2719,160.0587,196.3229,-286.2313,1.029767,2.299692,-1.450951,-0.1329525,-0.1782382,0.08800679,-0.9709839,-0.03730974,-0.6481529,0.1713438,-0.7410446,11/25/2021 16:47:21,Yes,XUG,Male,26,No,Many times every day,Some experience,6,8,1,2
Avatars,1,XUG,claire,FocusIn,0.01176453,0.02767944,0.9995422,-0.03197115,-0.006439102,-0.03248834,True,False,False,1.729534,0,False,04:38:27 PM,161.2981,193.8341,-282.3528,160.0444,196.3159,-286.1974,1.05311,2.295094,-1.422035,-0.1561249,-0.1504033,0.08608343,-0.9724164,-0.05746509,-0.6246589,0.1807083,-0.7575247,11/25/2021 16:47:21,Yes,XUG,Male,26,No,Many times every day,Some experience,6,8,1,2
Avatars,1,XUG,claire,FocusOut,0.4974213,-0.3235474,0.8049011,0.02960037,0.003176254,-0.02739937,True,True,False,2.545288,0.1,False,04:38:27 PM,160.6607,193.8341,-282.8619,159.976,196.2792,-286.0126,1.184905,2.270788,-1.27301,-0.2503729,-0.06044403,0.06230765,-0.9642499,-0.1486901,-0.5423263,0.2056845,-0.8009167,11/25/2021 16:47:21,Yes,XUG,Male,26,No,Many times every day,Some experience,6,8,1,2
Avatars,1,XUG,claire,FocusIn,0.1660461,0.06170654,0.9841766,-0.03276477,-0.00750911,-0.03246315,True,True,False,2.726903,0.1,False,04:38:28 PM,160.5188,193.8341,-282.9752,159.9786,196.277,-286.0114,1.187204,2.268431,-1.274528,-0.2713502,-0.0281921,0.06025289,-0.9601792,-0.1671378,-0.5122636,0.2135251,-0.8148976,11/25/2021 16:47:21,Yes,XUG,Male,26,No,Many times every day,Some experience,6,8,1,2
Avatars,1,XUG,claire,FocusOut,0,0,1,0,0,0,False,True,False,4.0381,0.1,False,04:38:29 PM,159.4942,193.8341,-283.7936,160.0579,196.2486,-285.9987,1.235257,2.234699,-1.336258,-0.3118348,0.08811834,0.0113088,-0.9459738,-0.2250413,-0.406341,0.1881229,-0.865363,11/25/2021 16:47:21,Yes,XUG,Male,26,No,Many times every day,Some experience,6,8,1,2
Avatars,1,XUG,claire,FocusIn,0.1064606,-0.05204773,0.9929504,-0.03250849,-0.008172898,-0.0319557,True,True,False,4.067409,0.1,False,04:38:29 PM,159.4717,193.8341,-283.8116,160.059,196.248,-285.9957,1.238477,2.234132,-1.335775,-0.3133636,0.08633843,0.01241013,-0.9456189,-0.2258308,-0.4076071,0.1899107,-0.8641706,11/25/2021 16:47:21,Yes,XUG,Male,26,No,Many times every day,Some experience,6,8,1,2
Avatars,1,XUG,claire,FocusOut,0,0,1,0,0,0,False,True,False,4.082235,0.1,False,04:38:29 PM,159.4602,193.8341,-283.8208,160.0594,196.2478,-285.994,1.240122,2.233992,-1.335287,-0.3145108,0.08573908,0.01314304,-0.9452827,-0.2264579,-0.4078948,0.1911444,-0.8635986,11/25/2021 16:47:21,Yes,XUG,Male,26,No,Many times every day,Some experience,6,8,1,2
Avatars,1,XUG,claire,FocusIn,-0.01481628,-0.05505371,0.9983673,-0.03170567,-0.00734842,-0.03180086,True,True,False,4.096439,0.1,False,04:38:29 PM,159.4486,193.8341,-283.83,160.0596,196.2477,-285.9905,1.243269,2.234005,-1.333877,-0.3166029,0.08554044,0.01434564,-0.9445844,-0.2276548,-0.4076157,0.1932459,-0.8629478,11/25/2021 16:47:21,Yes,XUG,Male,26,No,Many times every day,Some experience,6,8,1,2
Avatars,1,XUG,claire,FocusOut,0.1303558,0.272934,0.9531555,-0.03233615,-0.006201355,-0.0329719,True,False,False,4.428428,0.1,False,04:38:29 PM,159.1894,193.8341,-284.0371,160.0548,196.2396,-285.9004,1.320843,2.229858,-1.287197,-0.3053311,0.02736595,0.02149777,-0.9516102,-0.2153271,-0.4609795,0.1957712,-0.8383351,11/25/2021 16:47:21,Yes,XUG,Male,26,No,Many times every day,Some experience,6,8,1,2
