ExperimentType,ExpID,FolderID,EyeDx,EyeDy,EyeDz,EyeOx,EyeOy,EyeOz,IsValid,LeftBlinking,RightBlinking,GameTime,ConvergenceDistance,ConvergenceDistanceIsValid,LocalTime,CamPx,CamPy,CamPz,LocalCamPx,LocalCamPy,LocalCamPz,CamRx,CamRy,CamRz,CamRw,LocalCamRx,LocalCamRy,LocalCamRz,LocalCamRw,Timestamp,AreYouHappyToBePartOfOurExperiment,ExperimentID,Gender,AgeGroup,DoYouEncounterColourBlindness,GamingExperienceHowOftenDoYouPlayComputerGamesPCConsolemobile,ExperienceWithVirtualReality,Arrowsscene1HelpedMeToExploreTheEnvironment,Avatarsscene2HelpedMeToExploreTheEnvironment,ArrowsDistractMyAttention,AvatarsDistractMyAttention
Arrows,1,cpc,-0.08959961,0.1158142,0.989212,0.03330295,0.002524536,-0.03442316,True,False,False,0,0.1287708,True,05:02:29 PM,158.96,193.96,-286.82,0,0,0,0.03579477,-0.5167606,0.02163157,0.8551078,0,0,0,1,11/25/2021 17:09:04,Yes,cpc,Male,40,No,Rarely,Some experience,8,8,5,10
Arrows,1,cpc,-0.07704163,0.09181213,0.9927826,0.03370479,0.002995178,-0.03593823,True,False,False,0.02,0.8207673,True,05:02:29 PM,158.96,193.96,-286.82,0,0,0,0.03579477,-0.5167606,0.02163157,0.8551078,0,0,0,1,11/25/2021 17:09:04,Yes,cpc,Male,40,No,Rarely,Some experience,8,8,5,10
Arrows,1,cpc,0.05989075,-0.1154022,0.9915009,0.03279317,0.002332626,-0.03505075,True,False,False,0.3533334,1.854534,True,05:02:30 PM,158.9609,196.2967,-286.485,0.2969127,2.341446,-0.04085065,-0.04961347,0.5073786,-0.004990335,-0.8602794,-0.003234772,-0.009800599,0.02181871,-0.9997087,11/25/2021 17:09:04,Yes,cpc,Male,40,No,Rarely,Some experience,8,8,5,10
Arrows,1,cpc,0.07049561,-0.1145782,0.9909058,0.02902069,0.002473099,-0.03517441,True,False,False,0.4130439,0.2714812,True,05:02:30 PM,158.9759,196.3146,-286.5027,0.2882867,2.357525,-0.06378902,-0.004940473,0.5024633,0.006637824,-0.864559,0.04102129,-0.01676529,0.008945312,-0.9989776,11/25/2021 17:09:04,Yes,cpc,Male,40,No,Rarely,Some experience,8,8,5,10
Arrows,1,cpc,0.0509491,-0.1136932,0.9922028,0.007199219,0.003140884,-0.03516916,True,False,False,0.4430324,2.034005,True,05:02:30 PM,158.9758,196.3144,-286.5032,0.287818,2.35731,-0.0639322,-0.003837772,0.499659,0.003569441,-0.8662064,0.04037691,-0.02014828,0.005887692,-0.998964,11/25/2021 17:09:04,Yes,cpc,Male,40,No,Rarely,Some experience,8,8,5,10
Arrows,1,cpc,0.045578,-0.1055603,0.9933624,-0.02474292,0.004294388,-0.03594533,True,False,False,0.459157,0.1,True,05:02:30 PM,158.9757,196.3141,-286.5031,0.2878461,2.357026,-0.06374194,-0.004248623,0.4976274,0.002304255,-0.8673775,0.03936976,-0.02252707,0.005116186,-0.9989577,11/25/2021 17:09:04,Yes,cpc,Male,40,No,Rarely,Some experience,8,8,5,10
Arrows,1,cpc,0.0506897,-0.105896,0.9930725,-0.01992917,0.00414827,-0.03595883,True,False,False,0.4735003,1.187475,True,05:02:30 PM,158.9755,196.3135,-286.503,0.2878523,2.356389,-0.06352116,-0.006251542,0.4953535,0.001533668,-0.8686677,0.03725583,-0.0251226,0.005601593,-0.9989743,11/25/2021 17:09:04,Yes,cpc,Male,40,No,Rarely,Some experience,8,8,5,10
Arrows,1,cpc,0.04208374,-0.119339,0.9919586,0.03286333,0.002300095,-0.0349111,True,False,False,0.4884785,0.8588225,True,05:02:30 PM,158.9754,196.3131,-286.503,0.2878561,2.355999,-0.06338181,-0.007604564,0.4943953,0.000877274,-0.8692037,0.03575811,-0.02621313,0.005785383,-0.999,11/25/2021 17:09:04,Yes,cpc,Male,40,No,Rarely,Some experience,8,8,5,10
Arrows,1,cpc,0.02900696,-0.1183319,0.9925385,0.03307149,0.002260895,-0.03471587,True,False,False,0.5034418,1.013484,True,05:02:30 PM,158.9754,196.3127,-286.5028,0.287971,2.3557,-0.06324293,-0.00906839,0.493531,0.0002878922,-0.8696809,0.0342002,-0.02718814,0.006079101,-0.9990267,11/25/2021 17:09:04,Yes,cpc,Male,40,No,Rarely,Some experience,8,8,5,10
Arrows,1,cpc,0.02062988,-0.1154785,0.9930878,0.03310652,0.00231604,-0.03492328,True,False,False,0.5193526,1.007887,True,05:02:30 PM,158.9751,196.3119,-286.5027,0.2879534,2.354895,-0.06289507,-0.01289266,0.4915703,-0.0006261321,-0.8707423,0.03045329,-0.02936328,0.00736689,-0.9990777,11/25/2021 17:09:04,Yes,cpc,Male,40,No,Rarely,Some experience,8,8,5,10
