ExperimentType,ExpID,FolderID,GameObj,Focus,EyeDx,EyeDy,EyeDz,EyeOx,EyeOy,EyeOz,IsValid,LeftBlinking,RightBlinking,GameTime,ConvergenceDistance,ConvergenceDistanceIsValid,LocalTime,GameObjPx,GameObjPy,GameObjPz,CamPx,CamPy,CamPz,LocalCamPx,LocalCamPy,LocalCamPz,CamRx,CamRy,CamRz,CamRw,LocalCamRx,LocalCamRy,LocalCamRz,LocalCamRw,Timestamp,AreYouHappyToBePartOfOurExperiment,ExperimentID,Gender,AgeGroup,DoYouEncounterColourBlindness,GamingExperienceHowOftenDoYouPlayComputerGamesPCConsolemobile,ExperienceWithVirtualReality,Arrowsscene1HelpedMeToExploreTheEnvironment,Avatarsscene2HelpedMeToExploreTheEnvironment,ArrowsDistractMyAttention,AvatarsDistractMyAttention
Arrows,1,cpc,OilPaint_4278649896_vrexplore1_5068,FocusIn,0.05989075,-0.1154022,0.9915009,0.03279317,0.002332626,-0.03505075,True,False,False,0.3533334,1.854534,True,05:02:30 PM,173,183.5142,-299.6,158.9609,196.2967,-286.485,0.2969127,2.341446,-0.04085065,-0.04961347,0.5073786,-0.004990335,-0.8602794,-0.003234772,-0.009800599,0.02181871,-0.9997087,11/25/2021 17:09:04,Yes,cpc,Male,40,No,Rarely,Some experience,8,8,5,10
Arrows,1,cpc,OilPaint_4278649896_vrexplore1_5068,FocusOut,0.1110229,-0.4848022,0.8675385,0.006452393,0.001300034,-0.03560382,True,False,False,0.8095567,0.5424048,True,05:02:31 PM,173,183.5142,-299.6,158.9716,196.2868,-286.4877,0.2995348,2.330724,-0.05076231,-0.1001699,0.46106,-0.02549249,-0.8813285,-0.05730917,-0.05992547,0.03252602,-0.9960254,11/25/2021 17:09:04,Yes,cpc,Male,40,No,Rarely,Some experience,8,8,5,10
Arrows,1,cpc,OilPaint_4278229590_vrexplore1_5261,FocusIn,0.1110229,-0.4848022,0.8675385,0.006452393,0.001300034,-0.03560382,True,False,False,0.8095567,0.5424048,True,05:02:31 PM,173,183.5142,-299.6,158.9716,196.2868,-286.4877,0.2995348,2.330724,-0.05076231,-0.1001699,0.46106,-0.02549249,-0.8813285,-0.05730917,-0.05992547,0.03252602,-0.9960254,11/25/2021 17:09:04,Yes,cpc,Male,40,No,Rarely,Some experience,8,8,5,10
Arrows,1,cpc,OilPaint_4278229590_vrexplore1_5261,FocusOut,0.02235413,-0.453064,0.8911896,0.00792041,0.001374237,-0.03548023,True,False,False,0.9555079,0.7803679,True,05:02:31 PM,173,183.5142,-299.6,158.976,196.2581,-286.4593,0.3267393,2.302931,-0.03905775,-0.1887621,0.4030545,-0.03969605,-0.8946174,-0.1411839,-0.1149857,0.06852513,-0.9808923,11/25/2021 17:09:04,Yes,cpc,Male,40,No,Rarely,Some experience,8,8,5,10
Arrows,1,cpc,OilPaint_4278649896_vrexplore1_5068,FocusIn,0.02235413,-0.453064,0.8911896,0.00792041,0.001374237,-0.03548023,True,False,False,0.9555079,0.7803679,True,05:02:31 PM,173,183.5142,-299.6,158.976,196.2581,-286.4593,0.3267393,2.302931,-0.03905775,-0.1887621,0.4030545,-0.03969605,-0.8946174,-0.1411839,-0.1149857,0.06852513,-0.9808923,11/25/2021 17:09:04,Yes,cpc,Male,40,No,Rarely,Some experience,8,8,5,10
Arrows,1,cpc,OilPaint_4278649896_vrexplore1_5068,FocusOut,-0.05290222,-0.3688354,0.9279785,0.007713791,0.001790665,-0.0353087,True,False,False,1.073412,0.8937051,True,05:02:31 PM,173,183.5142,-299.6,158.9863,196.2241,-286.4303,0.3572378,2.269411,-0.03188623,-0.2774328,0.336707,-0.0496607,-0.8984393,-0.2234547,-0.1721336,0.1082834,-0.9532642,11/25/2021 17:09:04,Yes,cpc,Male,40,No,Rarely,Some experience,8,8,5,10
Arrows,1,cpc,MainArrow,FocusIn,-0.05290222,-0.3688354,0.9279785,0.007713791,0.001790665,-0.0353087,True,False,False,1.073412,0.8937051,True,05:02:31 PM,158.2056,195.8009,-285.6023,158.9863,196.2241,-286.4303,0.3572378,2.269411,-0.03188623,-0.2774328,0.336707,-0.0496607,-0.8984393,-0.2234547,-0.1721336,0.1082834,-0.9532642,11/25/2021 17:09:04,Yes,cpc,Male,40,No,Rarely,Some experience,8,8,5,10
Arrows,1,cpc,MainArrow,FocusOut,-0.1140442,-0.1984711,0.9734344,0.03331157,0.001476425,-0.03503183,True,False,False,1.930109,0.8249826,True,05:02:32 PM,159.5984,195.3942,-285.4887,159.1941,196.1556,-286.3492,0.5256333,2.1889,-0.171836,-0.4070306,-0.1982593,0.06505793,-0.889262,-0.2868933,-0.6179352,0.2923017,-0.6711245,11/25/2021 17:09:04,Yes,cpc,Male,40,No,Rarely,Some experience,8,8,5,10
Arrows,1,cpc,OilPaint_4278649896_vrexplore1_5158,FocusIn,-0.1140442,-0.1984711,0.9734344,0.03331157,0.001476425,-0.03503183,True,False,False,1.930109,0.8249826,True,05:02:32 PM,173,183.5142,-299.6,159.1941,196.1556,-286.3492,0.5256333,2.1889,-0.171836,-0.4070306,-0.1982593,0.06505793,-0.889262,-0.2868933,-0.6179352,0.2923017,-0.6711245,11/25/2021 17:09:04,Yes,cpc,Male,40,No,Rarely,Some experience,8,8,5,10
Arrows,1,cpc,OilPaint_4278649896_vrexplore1_5158,FocusOut,-0.1242676,0.07199097,0.989624,0.02661646,0.002898041,-0.03477507,True,False,False,2.322382,0.8265049,True,05:02:32 PM,173,183.5142,-299.6,159.2444,196.1788,-286.3743,0.5267866,2.207329,-0.2298196,-0.3508289,-0.3226523,0.08386634,-0.8750893,-0.2323136,-0.7175231,0.2834882,-0.5923053,11/25/2021 17:09:04,Yes,cpc,Male,40,No,Rarely,Some experience,8,8,5,10
Arrows,1,cpc,MainArrow,FocusIn,-0.1242676,0.07199097,0.989624,0.02661646,0.002898041,-0.03477507,True,False,False,2.322382,0.8265049,True,05:02:32 PM,159.924,195.5253,-285.6019,159.2444,196.1788,-286.3743,0.5267866,2.207329,-0.2298196,-0.3508289,-0.3226523,0.08386634,-0.8750893,-0.2323136,-0.7175231,0.2834882,-0.5923053,11/25/2021 17:09:04,Yes,cpc,Male,40,No,Rarely,Some experience,8,8,5,10
Arrows,1,cpc,MainArrow,FocusOut,-0.01834106,0.07470703,0.9970245,0.01725043,0.003484055,-0.03478856,True,False,False,2.809633,0.7969419,True,05:02:33 PM,159.932,195.8397,-285.4532,159.239,196.23,-286.3771,0.5218258,2.25858,-0.2306414,-0.2405108,-0.3023682,0.04393873,-0.9213021,-0.1565197,-0.7278746,0.1926112,-0.6392191,11/25/2021 17:09:04,Yes,cpc,Male,40,No,Rarely,Some experience,8,8,5,10
Arrows,1,cpc,MainArrow,FocusIn,-0.01834106,0.07470703,0.9970245,0.01725043,0.003484055,-0.03478856,True,False,False,2.809633,0.7969419,True,05:02:33 PM,159.932,195.8397,-285.4532,159.239,196.23,-286.3771,0.5218258,2.25858,-0.2306414,-0.2405108,-0.3023682,0.04393873,-0.9213021,-0.1565197,-0.7278746,0.1926112,-0.6392191,11/25/2021 17:09:04,Yes,cpc,Male,40,No,Rarely,Some experience,8,8,5,10
Arrows,1,cpc,MainArrow,FocusOut,-0.08036804,0.108139,0.9908752,0.01647189,0.003669525,-0.03468042,True,False,False,3.181161,0.8873564,True,05:02:33 PM,159.8117,196.2541,-285.3118,159.2154,196.2852,-286.3744,0.5132592,2.315463,-0.2131684,-0.09156189,-0.2492002,0.0002730675,-0.964114,-0.04903453,-0.7093187,0.07732445,-0.698916,11/25/2021 17:09:04,Yes,cpc,Male,40,No,Rarely,Some experience,8,8,5,10
Arrows,1,cpc,OilPaint_4281599152_vrexplore1_5178,FocusIn,-0.1151886,0.1025238,0.9880219,0.0140448,0.003561569,-0.03437373,True,False,False,3.250347,0.7876027,True,05:02:33 PM,173,183.5142,-299.6,159.2124,196.2936,-286.3752,0.5111654,2.324009,-0.2115911,-0.06632017,-0.2394517,-0.002350137,-0.9686378,-0.0284329,-0.7039604,0.06178631,-0.7069752,11/25/2021 17:09:04,Yes,cpc,Male,40,No,Rarely,Some experience,8,8,5,10
