ExperimentType,ExpID,FolderID,EyeDx,EyeDy,EyeDz,EyeOx,EyeOy,EyeOz,IsValid,LeftBlinking,RightBlinking,GameTime,ConvergenceDistance,ConvergenceDistanceIsValid,LocalTime,CamPx,CamPy,CamPz,LocalCamPx,LocalCamPy,LocalCamPz,CamRx,CamRy,CamRz,CamRw,LocalCamRx,LocalCamRy,LocalCamRz,LocalCamRw,Timestamp,AreYouHappyToBePartOfOurExperiment,ExperimentID,Gender,AgeGroup,DoYouEncounterColourBlindness,GamingExperienceHowOftenDoYouPlayComputerGamesPCConsolemobile,ExperienceWithVirtualReality,Arrowsscene1HelpedMeToExploreTheEnvironment,Avatarsscene2HelpedMeToExploreTheEnvironment,ArrowsDistractMyAttention,AvatarsDistractMyAttention
Avatars,1,cpc,0.05445862,-0.2324524,0.9710693,0.005817307,0.002960907,-0.03516204,True,False,False,0,0.905243,True,05:04:52 PM,158.47,193.91,-286.56,0,0,0,0.03579477,-0.5167606,0.02163157,0.8551078,0,0,0,1,11/25/2021 17:09:04,Yes,cpc,Male,40,No,Rarely,Some experience,8,8,5,10
Avatars,1,cpc,0.05088806,-0.2306061,0.9717102,0.005541794,0.002966171,-0.03516736,True,False,False,0.02,0.8482919,True,05:04:52 PM,158.47,193.91,-286.56,0,0,0,0.03579477,-0.5167606,0.02163157,0.8551078,0,0,0,1,11/25/2021 17:09:04,Yes,cpc,Male,40,No,Rarely,Some experience,8,8,5,10
Avatars,1,cpc,0.08511353,-0.02371216,0.9960785,0.0266174,0.003592316,-0.03500661,True,False,False,0.3533334,0.9733644,True,05:04:53 PM,158.6126,196.2831,-286.3364,0.2642522,2.362932,-0.2205815,-0.04807664,0.9923342,0.0822995,-0.07866597,0.0257,0.811887,0.06140035,-0.5800077,11/25/2021 17:09:04,Yes,cpc,Male,40,No,Rarely,Some experience,8,8,5,10
Avatars,1,cpc,0.3708038,-0.06338501,0.9265289,0.02307491,0.003634918,-0.03562938,True,False,False,0.4069383,0.4395573,True,05:04:53 PM,158.5608,196.2697,-286.1878,0.3717341,2.359198,-0.104815,0.02384637,0.3877183,0.007245372,-0.9214409,0.06550507,-0.1448799,-7.336176e-05,-0.9872785,11/25/2021 17:09:04,Yes,cpc,Male,40,No,Rarely,Some experience,8,8,5,10
Avatars,1,cpc,0.4420929,-0.072052,0.8940582,0.03098091,0.003378281,-0.03567668,True,False,False,0.4211519,0.4395573,False,05:04:53 PM,158.5684,196.2696,-286.1815,0.380863,2.358763,-0.1086656,0.0251096,0.346051,0.007120717,-0.9378527,0.06620697,-0.1890227,0.001013739,-0.9797378,11/25/2021 17:09:04,Yes,cpc,Male,40,No,Rarely,Some experience,8,8,5,10
Avatars,1,cpc,0.4788513,-0.07154846,0.8749695,0.03077132,0.00338086,-0.03578024,True,False,False,0.4330809,0.4395573,False,05:04:53 PM,158.5711,196.2695,-286.1798,0.3835566,2.358503,-0.1102445,0.02493874,0.3337828,0.007108903,-0.9422933,0.06594832,-0.2018048,0.001627129,-0.9772016,11/25/2021 17:09:04,Yes,cpc,Male,40,No,Rarely,Some experience,8,8,5,10
Avatars,1,cpc,0.4978333,-0.07073975,0.8643799,0.03058898,0.003356751,-0.03586948,True,False,False,0.4453352,0.4395573,False,05:04:53 PM,158.5736,196.2694,-286.1784,0.3860271,2.358266,-0.1117827,0.02499082,0.3216843,0.006929942,-0.9464918,0.06578895,-0.2143274,0.001971063,-0.9745418,11/25/2021 17:09:04,Yes,cpc,Male,40,No,Rarely,Some experience,8,8,5,10
Avatars,1,cpc,0.4837494,-0.08053589,0.8714752,0.03060075,0.003334931,-0.03583913,True,False,False,0.45722,0.4395573,False,05:04:53 PM,158.5761,196.2693,-286.1766,0.3887591,2.358069,-0.1131534,0.02505518,0.30924,0.006574579,-0.9506313,0.06553934,-0.2271219,0.002168918,-0.9716561,11/25/2021 17:09:04,Yes,cpc,Male,40,No,Rarely,Some experience,8,8,5,10
Avatars,1,cpc,0.4640198,-0.0856781,0.8816528,0.03074391,0.003310501,-0.03576801,True,False,False,0.4689409,0.4395573,False,05:04:53 PM,158.5785,196.2692,-286.1754,0.3908777,2.357857,-0.1146912,0.02503984,0.2978276,0.006102762,-0.9542717,0.06516584,-0.2387786,0.002260649,-0.9688824,11/25/2021 17:09:04,Yes,cpc,Male,40,No,Rarely,Some experience,8,8,5,10
Avatars,1,cpc,0.4614258,-0.07461548,0.8840332,0.03085269,0.003281677,-0.03574327,True,False,False,0.4806342,0.729933,True,05:04:53 PM,158.5808,196.2691,-286.1738,0.3934181,2.357661,-0.1159926,0.02510997,0.2865068,0.00562524,-0.9577327,0.06485804,-0.2502662,0.002296162,-0.9659995,11/25/2021 17:09:04,Yes,cpc,Male,40,No,Rarely,Some experience,8,8,5,10
