ExperimentType,ExpID,FolderID,GameObj,Focus,EyeDx,EyeDy,EyeDz,EyeOx,EyeOy,EyeOz,IsValid,LeftBlinking,RightBlinking,GameTime,ConvergenceDistance,ConvergenceDistanceIsValid,LocalTime,GameObjPx,GameObjPy,GameObjPz,CamPx,CamPy,CamPz,LocalCamPx,LocalCamPy,LocalCamPz,CamRx,CamRy,CamRz,CamRw,LocalCamRx,LocalCamRy,LocalCamRz,LocalCamRw,Timestamp,AreYouHappyToBePartOfOurExperiment,ExperimentID,Gender,AgeGroup,DoYouEncounterColourBlindness,GamingExperienceHowOftenDoYouPlayComputerGamesPCConsolemobile,ExperienceWithVirtualReality,Arrowsscene1HelpedMeToExploreTheEnvironment,Avatarsscene2HelpedMeToExploreTheEnvironment,ArrowsDistractMyAttention,AvatarsDistractMyAttention
Avatars,1,cpc,OilPaint_4278649896_vrexplore1_5068,FocusIn,0.08511353,-0.02371216,0.9960785,0.0266174,0.003592316,-0.03500661,True,False,False,0.3533334,0.9733644,True,05:04:53 PM,173,183.5142,-299.6,158.6126,196.2831,-286.3364,0.2642522,2.362932,-0.2205815,-0.04807664,0.9923342,0.0822995,-0.07866597,0.0257,0.811887,0.06140035,-0.5800077,11/25/2021 17:09:04,Yes,cpc,Male,40,No,Rarely,Some experience,8,8,5,10
Avatars,1,cpc,OilPaint_4278649896_vrexplore1_5068,FocusOut,0.248642,-0.0657196,0.9663544,0.008132492,0.003951142,-0.03553323,True,False,False,0.8159903,0.8177286,True,05:04:53 PM,173,183.5142,-299.6,158.6189,196.267,-286.1488,0.4332769,2.353717,-0.1378068,0.02247379,0.1108251,-0.001388261,-0.9935849,0.05646257,-0.4192139,0.004725158,-0.9061177,11/25/2021 17:09:04,Yes,cpc,Male,40,No,Rarely,Some experience,8,8,5,10
Avatars,1,cpc,OilPaint_4278649896_vrexplore1_5059,FocusIn,0.248642,-0.0657196,0.9663544,0.008132492,0.003951142,-0.03553323,True,False,False,0.8159903,0.8177286,True,05:04:53 PM,173,183.5142,-299.6,158.6189,196.267,-286.1488,0.4332769,2.353717,-0.1378068,0.02247379,0.1108251,-0.001388261,-0.9935849,0.05646257,-0.4192139,0.004725158,-0.9061177,11/25/2021 17:09:04,Yes,cpc,Male,40,No,Rarely,Some experience,8,8,5,10
Avatars,1,cpc,OilPaint_4278649896_vrexplore1_5059,FocusOut,0.2375031,-0.06201172,0.9693909,-0.02995221,0.005109391,-0.03610169,True,False,False,1.300882,1.084751,True,05:04:54 PM,173,183.5142,-299.6,158.6212,196.2678,-286.1507,0.4326642,2.354247,-0.1407917,0.01847808,0.1129041,0.008180513,-0.9934005,0.05802895,-0.4169119,0.01489391,-0.9069704,11/25/2021 17:09:04,Yes,cpc,Male,40,No,Rarely,Some experience,8,8,5,10
Avatars,1,cpc,OilPaint_4281599152_vrexplore1_5176,FocusIn,0.2375031,-0.06201172,0.9693909,-0.02995221,0.005109391,-0.03610169,True,False,False,1.300882,1.084751,True,05:04:54 PM,173,183.5142,-299.6,158.6212,196.2678,-286.1507,0.4326642,2.354247,-0.1407917,0.01847808,0.1129041,0.008180513,-0.9934005,0.05802895,-0.4169119,0.01489391,-0.9069704,11/25/2021 17:09:04,Yes,cpc,Male,40,No,Rarely,Some experience,8,8,5,10
Avatars,1,cpc,OilPaint_4281599152_vrexplore1_5176,FocusOut,0.07894897,-0.0836792,0.9933472,-0.03284125,0.005262818,-0.03646674,True,False,False,1.372364,1.110243,True,05:04:54 PM,173,183.5142,-299.6,158.6189,196.2652,-286.1534,0.4292259,2.351703,-0.1397549,0.008802481,0.1215248,0.00550974,-0.9925342,0.04853059,-0.4089789,0.01728277,-0.9110886,11/25/2021 17:09:04,Yes,cpc,Male,40,No,Rarely,Some experience,8,8,5,10
Avatars,1,cpc,OilPaint_4278649896_vrexplore1_5059,FocusIn,0.07894897,-0.0836792,0.9933472,-0.03284125,0.005262818,-0.03646674,True,False,False,1.372364,1.110243,True,05:04:54 PM,173,183.5142,-299.6,158.6189,196.2652,-286.1534,0.4292259,2.351703,-0.1397549,0.008802481,0.1215248,0.00550974,-0.9925342,0.04853059,-0.4089789,0.01728277,-0.9110886,11/25/2021 17:09:04,Yes,cpc,Male,40,No,Rarely,Some experience,8,8,5,10
Avatars,1,cpc,OilPaint_4278649896_vrexplore1_5059,FocusOut,-0.01739502,-0.1037292,0.9944458,0.02041641,0.003251602,-0.03463442,True,False,False,1.387533,1.196823,True,05:04:54 PM,173,183.5142,-299.6,158.6178,196.2642,-286.1538,0.4283514,2.350769,-0.1389647,0.00495863,0.1262572,0.002020812,-0.9919832,0.04352339,-0.4046892,0.01610439,-0.913276,11/25/2021 17:09:04,Yes,cpc,Male,40,No,Rarely,Some experience,8,8,5,10
Avatars,1,cpc,OilPaint_4278649896_vrexplore1_5068,FocusIn,-0.01739502,-0.1037292,0.9944458,0.02041641,0.003251602,-0.03463442,True,False,False,1.387533,1.196823,True,05:04:54 PM,173,183.5142,-299.6,158.6178,196.2642,-286.1538,0.4283514,2.350769,-0.1389647,0.00495863,0.1262572,0.002020812,-0.9919832,0.04352339,-0.4046892,0.01610439,-0.913276,11/25/2021 17:09:04,Yes,cpc,Male,40,No,Rarely,Some experience,8,8,5,10
Avatars,1,cpc,OilPaint_4278649896_vrexplore1_5068,FocusOut,-0.2786713,-0.2808075,0.9184113,-0.01574236,0.003794846,-0.03612001,True,False,False,2.034741,0.7444597,True,05:04:54 PM,173,183.5142,-299.6,158.5604,196.2569,-286.3378,0.2387238,2.340577,-0.1729123,-0.06913206,0.8611267,-0.03071607,-0.5027308,-0.03836555,0.4769606,-0.01048979,-0.8780243,11/25/2021 17:09:04,Yes,cpc,Male,40,No,Rarely,Some experience,8,8,5,10
