ExperimentType,ExpID,FolderID,EyeDx,EyeDy,EyeDz,EyeOx,EyeOy,EyeOz,IsValid,LeftBlinking,RightBlinking,GameTime,ConvergenceDistance,ConvergenceDistanceIsValid,LocalTime,CamPx,CamPy,CamPz,LocalCamPx,LocalCamPy,LocalCamPz,CamRx,CamRy,CamRz,CamRw,LocalCamRx,LocalCamRy,LocalCamRz,LocalCamRw,Timestamp,AreYouHappyToBePartOfOurExperiment,ExperimentID,Gender,AgeGroup,DoYouEncounterColourBlindness,GamingExperienceHowOftenDoYouPlayComputerGamesPCConsolemobile,ExperienceWithVirtualReality,Arrowsscene1HelpedMeToExploreTheEnvironment,Avatarsscene2HelpedMeToExploreTheEnvironment,ArrowsDistractMyAttention,AvatarsDistractMyAttention
Avatars,1,iys,-0.03466797,0.1309357,0.9907837,-0.03197457,-0.007813355,-0.0309391,True,True,True,0,0,False,04:57:59 PM,158.47,193.91,-286.56,0,0,0,0.03579477,-0.5167606,0.02163157,0.8551078,0,0,0,1,11/25/2021 17:02:06,Yes,iys,Male,20,No,Once a week,No experience,9,4,6,8
Avatars,1,iys,-0.0778656,-0.09663391,0.9922638,-0.03188619,-0.006619416,-0.03301432,True,True,True,0.02,0,False,04:57:59 PM,158.47,193.91,-286.56,0,0,0,0.03579477,-0.5167606,0.02163157,0.8551078,0,0,0,1,11/25/2021 17:02:06,Yes,iys,Male,20,No,Once a week,No experience,9,4,6,8
Avatars,1,iys,0,0,1,0,0,0,False,True,True,0.3533334,0,False,04:58:00 PM,160.5556,196.4484,-286.3741,1.134352,2.38246,-1.96594,-0.06900129,0.8691621,0.0852458,0.4822129,-0.01341121,0.9969599,0.06700901,-0.03743073,11/25/2021 17:02:06,Yes,iys,Male,20,No,Once a week,No experience,9,4,6,8
Avatars,1,iys,0,0,1,0,0,0,False,True,True,0.4029715,0,False,04:58:00 PM,160.5458,196.4504,-286.3813,1.12333,2.384833,-1.960818,-0.07019909,0.8862035,0.09025766,0.4489645,-0.01028679,0.9945559,0.07202289,-0.07460237,11/25/2021 17:02:06,Yes,iys,Male,20,No,Once a week,No experience,9,4,6,8
Avatars,1,iys,0,0,1,0,0,0,False,True,True,0.4151196,0,False,04:58:00 PM,160.5455,196.4504,-286.3817,1.122875,2.384903,-1.960753,-0.07016685,0.886988,0.09044153,0.4473804,-0.01009053,0.9944141,0.07216965,-0.07635723,11/25/2021 17:02:06,Yes,iys,Male,20,No,Once a week,No experience,9,4,6,8
Avatars,1,iys,0,0,1,0,0,0,False,True,True,0.5370873,0,False,04:58:00 PM,160.5453,196.4505,-286.3819,1.122627,2.384939,-1.960682,-0.0702472,0.8874024,0.09052432,0.4465288,-0.010077,0.9943329,0.07228555,-0.07730065,11/25/2021 17:02:06,Yes,iys,Male,20,No,Once a week,No experience,9,4,6,8
Avatars,1,iys,-0.04492188,-0.09043884,0.994873,-0.03220097,-0.006832337,-0.0324903,True,True,True,0.5483518,0,False,04:58:00 PM,160.5435,196.4509,-286.3841,1.119879,2.385472,-1.960098,-0.07260534,0.8906415,0.09247435,0.4392435,-0.01075493,0.9934588,0.07521328,-0.08524641,11/25/2021 17:02:06,Yes,iys,Male,20,No,Once a week,No experience,9,4,6,8
Avatars,1,iys,0,0,1,0,0,0,False,True,True,0.5587751,0,False,04:58:00 PM,160.5433,196.4511,-286.3842,1.119707,2.385627,-1.96005,-0.07293511,0.8908778,0.0927355,0.4386543,-0.01087576,0.9933729,0.07561129,-0.08587856,11/25/2021 17:02:06,Yes,iys,Male,20,No,Once a week,No experience,9,4,6,8
Avatars,1,iys,0,0,1,0,0,0,False,True,True,0.5683022,0,False,04:58:00 PM,160.5432,196.4512,-286.3843,1.119484,2.385766,-1.960006,-0.07332533,0.8910296,0.09331609,0.4381575,-0.01088835,0.9932752,0.07631472,-0.08638324,11/25/2021 17:02:06,Yes,iys,Male,20,No,Once a week,No experience,9,4,6,8
Avatars,1,iys,0,0,1,0,0,0,False,True,True,0.5781316,0,False,04:58:00 PM,160.543,196.4514,-286.3844,1.119347,2.385936,-1.959903,-0.0736593,0.8912188,0.09377909,0.4376176,-0.01091125,0.9931817,0.07688813,-0.08694462,11/25/2021 17:02:06,Yes,iys,Male,20,No,Once a week,No experience,9,4,6,8
