ExperimentType,ExpID,FolderID,GameObj,Focus,EyeDx,EyeDy,EyeDz,EyeOx,EyeOy,EyeOz,IsValid,LeftBlinking,RightBlinking,GameTime,ConvergenceDistance,ConvergenceDistanceIsValid,LocalTime,GameObjPx,GameObjPy,GameObjPz,CamPx,CamPy,CamPz,LocalCamPx,LocalCamPy,LocalCamPz,CamRx,CamRy,CamRz,CamRw,LocalCamRx,LocalCamRy,LocalCamRz,LocalCamRw,Timestamp,AreYouHappyToBePartOfOurExperiment,ExperimentID,Gender,AgeGroup,DoYouEncounterColourBlindness,GamingExperienceHowOftenDoYouPlayComputerGamesPCConsolemobile,ExperienceWithVirtualReality,Arrowsscene1HelpedMeToExploreTheEnvironment,Avatarsscene2HelpedMeToExploreTheEnvironment,ArrowsDistractMyAttention,AvatarsDistractMyAttention
Avatars,1,iys,Ch22_lady_Walk,FocusIn,-0.1324921,-0.1175995,0.9841766,-0.03155003,-0.006863648,-0.03281884,True,True,True,5.297571,0,False,04:58:05 PM,160.8276,193.437,-287.0529,160.5748,196.2753,-286.5707,0.9691994,2.200842,-2.059529,-0.01529481,0.9082052,-0.411256,0.0761449,-0.2086793,0.801572,-0.3779206,-0.4136561,11/25/2021 17:02:06,Yes,iys,Male,20,No,Once a week,No experience,9,4,6,8
Avatars,1,iys,Ch22_lady_Walk,FocusOut,0,0,1,0,0,0,False,True,True,5.312501,0,False,04:58:05 PM,160.8174,193.437,-287.0477,160.5748,196.2802,-286.5713,0.9686737,2.205737,-2.060279,-0.01487633,0.9126939,-0.4010914,0.07677537,-0.2029942,0.8060909,-0.3696193,-0.4152018,11/25/2021 17:02:06,Yes,iys,Male,20,No,Once a week,No experience,9,4,6,8
Avatars,1,iys,Ch22_lady_Walk,FocusIn,-0.1421814,-0.113205,0.9833374,-0.03150565,-0.006852234,-0.0328209,True,True,True,5.347729,0,False,04:58:05 PM,160.7831,193.4368,-287.0303,160.5746,196.2886,-286.572,0.9680068,2.214111,-2.061082,-0.01483603,0.9202506,-0.383152,0.07818764,-0.1935765,0.8139238,-0.3546011,-0.4175096,11/25/2021 17:02:06,Yes,iys,Male,20,No,Once a week,No experience,9,4,6,8
Avatars,1,iys,Ch22_lady_Walk,FocusOut,0,0,1,0,0,0,False,True,True,5.396665,0,False,04:58:05 PM,160.7401,193.4366,-287.0085,160.5741,196.3013,-286.5721,0.9676857,2.226785,-2.061722,-0.01603059,0.9314511,-0.3544206,0.0807969,-0.1796018,0.825904,-0.3298726,-0.4204876,11/25/2021 17:02:06,Yes,iys,Male,20,No,Once a week,No experience,9,4,6,8
Avatars,1,iys,Ch22_lady_Walk,FocusIn,-0.100708,-0.1293182,0.9864655,-0.03172461,-0.006918946,-0.03281603,True,True,True,5.408623,0,False,04:58:05 PM,160.7291,193.4366,-287.0028,160.5741,196.3049,-286.5716,0.9681077,2.230364,-2.061834,-0.01682029,0.9343182,-0.3465284,0.08176085,-0.1761713,0.8291534,-0.3228394,-0.4210025,11/25/2021 17:02:06,Yes,iys,Male,20,No,Once a week,No experience,9,4,6,8
Avatars,1,iys,Ch22_lady_Walk,FocusOut,-0.07469177,-0.0243988,0.9969025,-0.03187757,-0.006310471,-0.03275722,True,True,False,5.444267,0,False,04:58:05 PM,160.6971,193.4364,-286.9866,160.5732,196.3207,-286.5705,0.9686208,2.246256,-2.061812,-0.02051659,0.9469126,-0.3094625,0.08466789,-0.1600094,0.842832,-0.2897476,-0.4243555,11/25/2021 17:02:06,Yes,iys,Male,20,No,Once a week,No experience,9,4,6,8
Avatars,1,iys,OilPaint_4278229590_vrexplore1_5261,FocusIn,0.003799438,-0.05352783,0.9985504,-0.02997354,-0.006586182,-0.03316344,True,True,False,16.01063,0,False,04:58:15 PM,173,183.5142,-299.6,158.8284,196.2567,-285.8489,0.7962177,2.339599,-0.1827992,-0.1831908,0.6090616,-0.04037154,-0.7706201,-0.1367511,0.1251048,0.05501227,-0.9811328,11/25/2021 17:02:06,Yes,iys,Male,20,No,Once a week,No experience,9,4,6,8
Avatars,1,iys,OilPaint_4278229590_vrexplore1_5261,FocusOut,0,0,1,0,0,0,False,True,False,16.14069,0,False,04:58:16 PM,173,183.5142,-299.6,158.7954,196.2609,-285.8769,0.7560878,2.34515,-0.1670184,-0.1690192,0.6054952,-0.0364849,-0.7768379,-0.122479,0.1186746,0.0512746,-0.9840153,11/25/2021 17:02:06,Yes,iys,Male,20,No,Once a week,No experience,9,4,6,8
Avatars,1,iys,OilPaint_4278229590_vrexplore1_5261,FocusIn,-0.1681366,-0.09870911,0.9808044,-0.03024317,-0.007391953,-0.03310252,True,True,False,16.22253,0,False,04:58:16 PM,173,183.5142,-299.6,158.7758,196.2605,-285.8917,0.7338965,2.345574,-0.1565776,-0.163495,0.610014,-0.03489116,-0.7745547,-0.1169156,0.123656,0.0495716,-0.984166,11/25/2021 17:02:06,Yes,iys,Male,20,No,Once a week,No experience,9,4,6,8
Avatars,1,iys,OilPaint_4278229590_vrexplore1_5261,FocusOut,0,0,1,0,0,0,False,True,False,16.3148,0,False,04:58:16 PM,173,183.5142,-299.6,158.7543,196.261,-285.9038,0.7131116,2.347219,-0.1432132,-0.1611315,0.6203365,-0.03083436,-0.7669867,-0.1128458,0.1364879,0.05128603,-0.9828564,11/25/2021 17:02:06,Yes,iys,Male,20,No,Once a week,No experience,9,4,6,8
