ExperimentType,ExpID,FolderID,EyeDx,EyeDy,EyeDz,EyeOx,EyeOy,EyeOz,IsValid,LeftBlinking,RightBlinking,GameTime,ConvergenceDistance,ConvergenceDistanceIsValid,LocalTime,CamPx,CamPy,CamPz,LocalCamPx,LocalCamPy,LocalCamPz,CamRx,CamRy,CamRz,CamRw,LocalCamRx,LocalCamRy,LocalCamRz,LocalCamRw,Timestamp,AreYouHappyToBePartOfOurExperiment,ExperimentID,Gender,AgeGroup,DoYouEncounterColourBlindness,GamingExperienceHowOftenDoYouPlayComputerGamesPCConsolemobile,ExperienceWithVirtualReality,Arrowsscene1HelpedMeToExploreTheEnvironment,Avatarsscene2HelpedMeToExploreTheEnvironment,ArrowsDistractMyAttention,AvatarsDistractMyAttention
Avatars,1,qpp,0.01374817,-0.5365906,0.8437195,0.004265671,0.003865372,-0.03660575,True,False,False,0,0.1,True,05:18:05 PM,158.47,193.91,-286.56,0,0,0,0.03579477,-0.5167606,0.02163157,0.8551078,0,0,0,1,11/25/2021 17:22:03,Yes,qpp,Male,20,No,Once a day,Some experience,4,7,4,6
Avatars,1,qpp,0.01344299,-0.5375061,0.8431396,0.004348374,0.003870865,-0.03659259,True,False,False,0.02,0.1,True,05:18:05 PM,158.47,193.91,-286.56,0,0,0,0.03579477,-0.5167606,0.02163157,0.8551078,0,0,0,1,11/25/2021 17:22:03,Yes,qpp,Male,20,No,Once a day,Some experience,4,7,4,6
Avatars,1,qpp,0.07347107,-0.2940674,0.9529419,0.02238301,0.005614151,-0.03360541,True,False,False,0.3533334,0.2786237,True,05:18:05 PM,159.3118,196.3622,-288.0412,-0.9199343,2.323767,-1.633873,-0.04121504,0.7923735,0.1195989,0.5967762,0.02233951,0.9911277,0.08229621,0.1019524,11/25/2021 17:22:03,Yes,qpp,Male,20,No,Once a day,Some experience,4,7,4,6
Avatars,1,qpp,0.06344604,-0.2950287,0.9533691,0.01298206,0.005132538,-0.03496958,True,False,False,0.4035662,0.1328378,True,05:18:05 PM,159.306,196.3621,-288.0372,-0.9191213,2.324238,-1.626956,-0.04104684,0.7922463,0.1237111,0.596118,0.02462919,0.9908223,0.08574448,0.1015503,11/25/2021 17:22:03,Yes,qpp,Male,20,No,Once a day,Some experience,4,7,4,6
Avatars,1,qpp,0.06738281,-0.2793274,0.9578247,0.02285574,0.005511872,-0.03359062,True,False,False,0.4188886,0.1349444,True,05:18:05 PM,159.3059,196.3622,-288.0371,-0.9190927,2.324329,-1.626823,-0.04149556,0.7922488,0.1237409,0.5960773,0.02426241,0.9908143,0.08600265,0.1014988,11/25/2021 17:22:03,Yes,qpp,Male,20,No,Once a day,Some experience,4,7,4,6
Avatars,1,qpp,0.0703125,-0.2841949,0.9561768,0.02935889,0.005806229,-0.03265798,True,False,False,0.4303156,0.1,True,05:18:05 PM,159.3057,196.3622,-288.0371,-0.9191494,2.324389,-1.626653,-0.04162078,0.792197,0.1236547,0.5961553,0.02410685,0.9908099,0.08599377,0.1015858,11/25/2021 17:22:03,Yes,qpp,Male,20,No,Once a day,Some experience,4,7,4,6
Avatars,1,qpp,0.06700134,-0.2819977,0.9570618,0.02981868,0.005824402,-0.0325923,True,False,False,0.4395694,0.4386602,True,05:18:05 PM,159.3057,196.3622,-288.037,-0.9190993,2.324424,-1.626582,-0.0417038,0.7922919,0.1234028,0.5960757,0.02391058,0.9908426,0.08581959,0.1014603,11/25/2021 17:22:03,Yes,qpp,Male,20,No,Once a day,Some experience,4,7,4,6
Avatars,1,qpp,0.07046509,-0.2829742,0.9565277,0.03009926,0.005833679,-0.03255254,True,False,False,0.4509203,0.3741236,True,05:18:05 PM,159.3056,196.3622,-288.0371,-0.9191828,2.324395,-1.626569,-0.04170386,0.792271,0.1234852,0.5960864,0.02395227,0.9908333,0.08589059,0.101482,11/25/2021 17:22:03,Yes,qpp,Male,20,No,Once a day,Some experience,4,7,4,6
Avatars,1,qpp,0.06755066,-0.2818756,0.9570618,0.02965843,0.005808487,-0.03261749,True,False,False,0.4614635,0.6557668,True,05:18:05 PM,159.3056,196.3622,-288.0371,-0.9191771,2.324373,-1.626537,-0.04148785,0.7923204,0.1234767,0.5960376,0.02413541,0.9908453,0.08577099,0.1014224,11/25/2021 17:22:03,Yes,qpp,Male,20,No,Once a day,Some experience,4,7,4,6
Avatars,1,qpp,0.07067871,-0.2761536,0.9584961,0.02287715,0.005467133,-0.03360043,True,False,False,0.4726597,0.1235073,True,05:18:05 PM,159.3055,196.3622,-288.0371,-0.91924,2.324348,-1.626472,-0.04133002,0.7923531,0.1236289,0.5959735,0.02435205,0.9908422,0.08581983,0.1013596,11/25/2021 17:22:03,Yes,qpp,Male,20,No,Once a day,Some experience,4,7,4,6
