ExperimentType,ExpID,FolderID,EyeDx,EyeDy,EyeDz,EyeOx,EyeOy,EyeOz,IsValid,LeftBlinking,RightBlinking,GameTime,ConvergenceDistance,ConvergenceDistanceIsValid,LocalTime,CamPx,CamPy,CamPz,LocalCamPx,LocalCamPy,LocalCamPz,CamRx,CamRy,CamRz,CamRw,LocalCamRx,LocalCamRy,LocalCamRz,LocalCamRw,Timestamp,AreYouHappyToBePartOfOurExperiment,ExperimentID,Gender,AgeGroup,DoYouEncounterColourBlindness,GamingExperienceHowOftenDoYouPlayComputerGamesPCConsolemobile,ExperienceWithVirtualReality,Arrowsscene1HelpedMeToExploreTheEnvironment,Avatarsscene2HelpedMeToExploreTheEnvironment,ArrowsDistractMyAttention,AvatarsDistractMyAttention
Arrows,1,ynn,0.03129578,0.4360504,0.8993683,0.03340591,0.006976349,-0.04295961,True,False,False,0,0,False,05:09:27 PM,158.96,193.96,-286.82,0,0,0,0.03579477,-0.5167606,0.02163157,0.8551078,0,0,0,1,11/25/2021 17:15:20,Yes,ynn,Male,20,No,Once a week,Very experienced,7,4,1,4
Arrows,1,ynn,-0.01931763,0.5210266,0.853302,0.0334016,0.007006119,-0.04312477,True,False,False,0.02,0,False,05:09:27 PM,158.96,193.96,-286.82,0,0,0,0.03579477,-0.5167606,0.02163157,0.8551078,0,0,0,1,11/25/2021 17:15:20,Yes,ynn,Male,20,No,Once a week,Very experienced,7,4,1,4
Arrows,1,ynn,0.03346252,0.253067,0.9668579,0.03300238,0.007197617,-0.04268013,True,False,False,0.3533334,0,False,05:09:28 PM,160.5723,196.322,-286.8357,0.7357299,2.233817,-1.627065,-0.03269618,0.9828864,0.1689593,0.06571382,0.07826193,0.8811871,0.1247708,-0.4492401,11/25/2021 17:15:20,Yes,ynn,Male,20,No,Once a week,Very experienced,7,4,1,4
Arrows,1,ynn,0.1156464,0.2236938,0.9677582,0.03297176,0.007123413,-0.04265041,True,False,False,0.404467,0,False,05:09:28 PM,160.6389,196.3005,-286.8308,0.7711036,2.207677,-1.681797,-0.01288527,0.9196429,0.06453125,0.3872037,0.02836237,0.989074,0.02054555,-0.1431997,11/25/2021 17:15:20,Yes,ynn,Male,20,No,Once a week,Very experienced,7,4,1,4
Arrows,1,ynn,0.002487183,0.3333435,0.9427948,0.03295497,0.007124802,-0.04279369,True,False,False,0.4192297,0,False,05:09:28 PM,160.6392,196.3015,-286.8316,0.7705483,2.208625,-1.682501,-0.01765677,0.9183379,0.06526218,0.3899802,0.02453232,0.9895223,0.02362294,-0.1403061,11/25/2021 17:15:20,Yes,ynn,Male,20,No,Once a week,Very experienced,7,4,1,4
Arrows,1,ynn,-0.0533905,0.4183807,0.9066925,0.03295898,0.0071624,-0.04293576,True,False,False,0.4300656,0,False,05:09:28 PM,160.6393,196.3023,-286.832,0.7702389,2.209425,-1.682863,-0.02041898,0.91752,0.06668806,0.3915263,0.02283414,0.9897326,0.02626545,-0.1386294,11/25/2021 17:15:20,Yes,ynn,Male,20,No,Once a week,Very experienced,7,4,1,4
Arrows,1,ynn,-0.03593445,0.4303589,0.9019318,0.03297327,0.006985642,-0.04294264,True,False,False,0.4447109,0,False,05:09:28 PM,160.6395,196.3032,-286.8324,0.7699485,2.210231,-1.683234,-0.023425,0.9166459,0.06850115,0.3930893,0.02112575,0.9899228,0.02936672,-0.1369095,11/25/2021 17:15:20,Yes,ynn,Male,20,No,Once a week,Very experienced,7,4,1,4
Arrows,1,ynn,0.05752563,0.4357147,0.8982391,0.03298822,0.006859299,-0.04294519,True,False,False,0.4559538,0,False,05:09:28 PM,160.6396,196.3039,-286.8327,0.769654,2.210935,-1.683536,-0.02709898,0.9156677,0.07064672,0.3947499,0.01901225,0.9901007,0.03309907,-0.1350691,11/25/2021 17:15:20,Yes,ynn,Male,20,No,Once a week,Very experienced,7,4,1,4
Arrows,1,ynn,0.07606506,0.3261719,0.9422302,0.03296681,0.006654968,-0.04276456,True,False,False,0.4665291,0,False,05:09:28 PM,160.6396,196.3044,-286.8332,0.7692616,2.211351,-1.683816,-0.03069239,0.9147497,0.0719343,0.3963793,0.01652669,0.9902815,0.03605463,-0.1333022,11/25/2021 17:15:20,Yes,ynn,Male,20,No,Once a week,Very experienced,7,4,1,4
Arrows,1,ynn,0.0005950928,0.4482422,0.8938904,0.03298339,0.006593933,-0.04295332,True,False,False,0.477587,0,False,05:09:28 PM,160.6397,196.3045,-286.8336,0.7689865,2.211456,-1.684057,-0.03348777,0.9137196,0.07290126,0.3983471,0.0145433,0.9905127,0.03832034,-0.1311663,11/25/2021 17:15:20,Yes,ynn,Male,20,No,Once a week,Very experienced,7,4,1,4
