ExperimentType,ExpID,FolderID,GameObj,Focus,EyeDx,EyeDy,EyeDz,EyeOx,EyeOy,EyeOz,IsValid,LeftBlinking,RightBlinking,GameTime,ConvergenceDistance,ConvergenceDistanceIsValid,LocalTime,GameObjPx,GameObjPy,GameObjPz,CamPx,CamPy,CamPz,LocalCamPx,LocalCamPy,LocalCamPz,CamRx,CamRy,CamRz,CamRw,LocalCamRx,LocalCamRy,LocalCamRz,LocalCamRw,Timestamp,AreYouHappyToBePartOfOurExperiment,ExperimentID,Gender,AgeGroup,DoYouEncounterColourBlindness,GamingExperienceHowOftenDoYouPlayComputerGamesPCConsolemobile,ExperienceWithVirtualReality,Arrowsscene1HelpedMeToExploreTheEnvironment,Avatarsscene2HelpedMeToExploreTheEnvironment,ArrowsDistractMyAttention,AvatarsDistractMyAttention
Arrows,1,ynn,MainArrow,FocusIn,-0.0533905,0.4183807,0.9066925,0.03295898,0.0071624,-0.04293576,True,False,False,0.4300656,0,False,05:09:28 PM,161.4785,196.67,-287.6341,160.6393,196.3023,-286.832,0.7702389,2.209425,-1.682863,-0.02041898,0.91752,0.06668806,0.3915263,0.02283414,0.9897326,0.02626545,-0.1386294,11/25/2021 17:15:20,Yes,ynn,Male,20,No,Once a week,Very experienced,7,4,1,4
Arrows,1,ynn,MainArrow,FocusOut,0,0,1,0,0,0,False,False,False,1.085707,0.1,False,05:09:28 PM,161.6045,196.7848,-287.4128,160.6541,196.3077,-286.8188,0.788758,2.214137,-1.690271,-0.06864955,0.8671002,0.09032479,0.4850425,-0.01063171,0.996833,0.07118292,-0.03382304,11/25/2021 17:15:20,Yes,ynn,Male,20,No,Once a week,Very experienced,7,4,1,4
Arrows,1,ynn,MainArrow,FocusIn,0.1058807,0.339859,0.9344788,0.03255483,0.006712784,-0.04283727,True,False,False,1.386917,0.1,False,05:09:29 PM,161.675,196.3016,-287.5232,160.673,196.2669,-286.8326,0.7853162,2.171547,-1.709908,0.003906196,0.8816141,-0.08130541,0.4648988,-0.03624546,0.9911216,-0.1131571,-0.05966385,11/25/2021 17:15:20,Yes,ynn,Male,20,No,Once a week,Very experienced,7,4,1,4
Arrows,1,ynn,MainArrow,FocusOut,0.1345215,0.0506897,0.9896088,0.03214492,0.006848633,-0.04252436,True,False,False,1.408936,0.1,False,05:09:29 PM,161.6711,196.2932,-287.5317,160.6741,196.2662,-286.8335,0.7850347,2.170802,-1.711204,0.002477821,0.8828312,-0.08619358,0.4617074,-0.03985232,0.9903691,-0.1165734,-0.0631787,11/25/2021 17:15:20,Yes,ynn,Male,20,No,Once a week,Very experienced,7,4,1,4
Arrows,1,ynn,MainArrow,FocusIn,0.1400452,0.2424316,0.9599915,0.03034041,0.006029999,-0.04247554,True,False,False,1.453438,0.1405207,True,05:09:29 PM,161.6621,196.269,-287.5501,160.6766,196.2643,-286.8354,0.7845521,2.168605,-1.714176,0.003278094,0.8863142,-0.09663145,0.4528787,-0.04417052,0.9883941,-0.1258462,-0.07272511,11/25/2021 17:15:20,Yes,ynn,Male,20,No,Once a week,Very experienced,7,4,1,4
Arrows,1,ynn,MainArrow,FocusOut,0.05612183,0.07411194,0.9956665,-0.02143781,0.007197663,-0.03695443,True,False,False,1.520061,0.1155043,True,05:09:29 PM,161.6443,196.2304,-287.5826,160.6813,196.2608,-286.8385,0.7839549,2.164693,-1.719477,0.01071613,0.8924903,-0.1072257,0.4380057,-0.04261893,0.9854495,-0.1386485,-0.08859761,11/25/2021 17:15:20,Yes,ynn,Male,20,No,Once a week,Very experienced,7,4,1,4
Arrows,1,ynn,MainArrow,FocusIn,-0.495285,0.1269531,0.8593903,-0.01990058,0.006973755,-0.03737062,True,False,False,1.531439,0.1110907,True,05:09:29 PM,161.6405,196.225,-287.5887,160.6819,196.2605,-286.8392,0.7836556,2.164327,-1.720306,0.01063387,0.8938993,-0.1090664,0.4346672,-0.0434905,0.984865,-0.1401582,-0.09222335,11/25/2021 17:15:20,Yes,ynn,Male,20,No,Once a week,Very experienced,7,4,1,4
Arrows,1,ynn,MainArrow,FocusOut,-0.03517151,0.05552673,0.9978333,-0.02618843,0.007455399,-0.03643361,True,False,False,1.553296,0.1,False,05:09:29 PM,161.6293,196.2192,-287.6052,160.6828,196.2608,-286.8406,0.7827826,2.164529,-1.721714,0.008714138,0.8977976,-0.1092868,0.4265443,-0.04487088,0.9840346,-0.1393184,-0.1012572,11/25/2021 17:15:20,Yes,ynn,Male,20,No,Once a week,Very experienced,7,4,1,4
Arrows,1,ynn,MainArrow,FocusIn,0.3040924,0.3414154,0.8893433,0.0318786,0.006626557,-0.04299294,True,False,False,1.72058,0.1,False,05:09:29 PM,161.3957,196.3297,-287.836,160.672,196.2756,-286.8577,0.7627003,2.179377,-1.721363,-0.02056001,0.9497848,-0.07040502,0.3041865,-0.04430651,0.9672845,-0.09015663,-0.2329581,11/25/2021 17:15:20,Yes,ynn,Male,20,No,Once a week,Very experienced,7,4,1,4
Arrows,1,ynn,MainArrow,FocusOut,0.09063721,0.04888916,0.9946747,-0.02678056,0.008066299,-0.03603474,True,False,False,1.731929,0.1013806,True,05:09:29 PM,161.3697,196.3379,-287.8544,160.6704,196.2761,-286.8587,0.7610226,2.179921,-1.720413,-0.02270076,0.9534689,-0.06793541,0.2928596,-0.04437575,0.9647162,-0.08682545,-0.2445707,11/25/2021 17:15:20,Yes,ynn,Male,20,No,Once a week,Very experienced,7,4,1,4
