ExperimentType,ExpID,FolderID,EyeDx,EyeDy,EyeDz,EyeOx,EyeOy,EyeOz,IsValid,LeftBlinking,RightBlinking,GameTime,ConvergenceDistance,ConvergenceDistanceIsValid,LocalTime,CamPx,CamPy,CamPz,LocalCamPx,LocalCamPy,LocalCamPz,CamRx,CamRy,CamRz,CamRw,LocalCamRx,LocalCamRy,LocalCamRz,LocalCamRw,Timestamp,AreYouHappyToBePartOfOurExperiment,ExperimentID,Gender,AgeGroup,DoYouEncounterColourBlindness,GamingExperienceHowOftenDoYouPlayComputerGamesPCConsolemobile,ExperienceWithVirtualReality,Arrowsscene1HelpedMeToExploreTheEnvironment,Avatarsscene2HelpedMeToExploreTheEnvironment,ArrowsDistractMyAttention,AvatarsDistractMyAttention
Avatars,1,ynn,0.05989075,0.0847168,0.9945984,-0.02472624,0.01059361,-0.03573531,True,False,False,0,0.1,True,05:12:07 PM,158.47,193.91,-286.56,0,0,0,0.03579477,-0.5167606,0.02163157,0.8551078,0,0,0,1,11/25/2021 17:15:20,Yes,ynn,Male,20,No,Once a week,Very experienced,7,4,1,4
Avatars,1,ynn,0.1083374,-0.08628845,0.9903564,0.01914026,0.01179474,-0.0457085,True,False,False,0.02,0.1,True,05:12:07 PM,158.47,193.91,-286.56,0,0,0,0.03579477,-0.5167606,0.02163157,0.8551078,0,0,0,1,11/25/2021 17:15:20,Yes,ynn,Male,20,No,Once a week,Very experienced,7,4,1,4
Avatars,1,ynn,0.2765503,-0.2121429,0.9372864,0.03218596,0.01126041,-0.04789894,True,False,False,0.3533334,0.1,True,05:12:07 PM,159.5245,196.2063,-287.0954,0.01629972,2.189455,-1.37026,-0.07461929,0.8675426,0.06691921,0.487159,-0.02789776,0.9975964,0.05419195,-0.03296182,11/25/2021 17:15:20,Yes,ynn,Male,20,No,Once a week,Very experienced,7,4,1,4
Avatars,1,ynn,0.2880249,-0.2546692,0.9231262,0.03223177,0.01177257,-0.04778617,True,False,False,0.4202355,0.1,True,05:12:07 PM,159.5012,196.2317,-287.0878,0.01219416,2.216797,-1.348346,-0.1174689,0.8963041,0.187162,0.3844614,0.001896157,0.9743515,0.1803475,-0.1345749,11/25/2021 17:15:20,Yes,ynn,Male,20,No,Once a week,Very experienced,7,4,1,4
Avatars,1,ynn,0.2863617,-0.2566528,0.9230957,0.03223544,0.01180045,-0.04777745,True,False,False,0.4436537,0.1,True,05:12:07 PM,159.5018,196.2311,-287.0903,0.01021481,2.216033,-1.349959,-0.114443,0.9014994,0.1795527,0.3767792,0.0009388627,0.9744864,0.1722573,-0.143885,11/25/2021 17:15:20,Yes,ynn,Male,20,No,Once a week,Very experienced,7,4,1,4
Avatars,1,ynn,0.2847748,-0.2572937,0.9234009,0.03223326,0.01180302,-0.04777541,True,False,False,0.4592105,0.1,True,05:12:07 PM,159.502,196.2303,-287.0922,0.008708954,2.215139,-1.350984,-0.1116749,0.9053033,0.1736942,0.3711941,0.0005605843,0.9745834,0.1658018,-0.1506542,11/25/2021 17:15:20,Yes,ynn,Male,20,No,Once a week,Very experienced,7,4,1,4
Avatars,1,ynn,0.2846527,-0.2503967,0.9253387,0.03224957,0.01180447,-0.0477759,True,False,False,0.4749928,0.1,True,05:12:07 PM,159.5022,196.2298,-287.0929,0.00813961,2.214643,-1.351435,-0.1103316,0.9072751,0.1708827,0.3680736,0.0004107319,0.9745272,0.1627004,-0.1543543,11/25/2021 17:15:20,Yes,ynn,Male,20,No,Once a week,Very experienced,7,4,1,4
Avatars,1,ynn,0.04109192,0.1046906,0.9936523,-0.02572881,0.01042308,-0.03733419,True,False,False,0.4893147,0.3158581,True,05:12:07 PM,159.5024,196.229,-287.0946,0.006731033,2.21372,-1.35229,-0.10778,0.9114709,0.1649993,0.3610811,-0.0001066565,0.9742359,0.156352,-0.1625378,11/25/2021 17:15:20,Yes,ynn,Male,20,No,Once a week,Very experienced,7,4,1,4
Avatars,1,ynn,-0.0385437,-0.07040405,0.9967651,-0.02586618,0.01110921,-0.03909181,True,True,False,0.5090247,0.3158581,False,05:12:07 PM,159.5022,196.2285,-287.0955,0.005862236,2.213153,-1.352575,-0.1066116,0.9139866,0.1614086,0.3566648,-0.0007505335,0.9739511,0.1526832,-0.16765,11/25/2021 17:15:20,Yes,ynn,Male,20,No,Once a week,Very experienced,7,4,1,4
Avatars,1,ynn,0,0,1,0,0,0,False,True,True,0.5256007,0.3158581,False,05:12:07 PM,159.5017,196.2271,-287.0977,0.003615379,2.211733,-1.352993,-0.103141,0.919678,0.1531477,0.3465551,-0.001566739,0.9732227,0.1438407,-0.1792905,11/25/2021 17:15:20,Yes,ynn,Male,20,No,Once a week,Very experienced,7,4,1,4
