ExperimentType,ExpID,FolderID,GameObj,Focus,EyeDx,EyeDy,EyeDz,EyeOx,EyeOy,EyeOz,IsValid,LeftBlinking,RightBlinking,GameTime,ConvergenceDistance,ConvergenceDistanceIsValid,LocalTime,GameObjPx,GameObjPy,GameObjPz,CamPx,CamPy,CamPz,LocalCamPx,LocalCamPy,LocalCamPz,CamRx,CamRy,CamRz,CamRw,LocalCamRx,LocalCamRy,LocalCamRz,LocalCamRw,Timestamp,AreYouHappyToBePartOfOurExperiment,ExperimentID,Gender,AgeGroup,DoYouEncounterColourBlindness,GamingExperienceHowOftenDoYouPlayComputerGamesPCConsolemobile,ExperienceWithVirtualReality,Arrowsscene1HelpedMeToExploreTheEnvironment,Avatarsscene2HelpedMeToExploreTheEnvironment,ArrowsDistractMyAttention,AvatarsDistractMyAttention
Avatars,1,ynn,OilPaint_4279739679_vrexplore1_3910,FocusIn,0.2765503,-0.2121429,0.9372864,0.03218596,0.01126041,-0.04789894,True,False,False,0.3533334,0.1,True,05:12:07 PM,173,183.5142,-299.6,159.5245,196.2063,-287.0954,0.01629972,2.189455,-1.37026,-0.07461929,0.8675426,0.06691921,0.487159,-0.02789776,0.9975964,0.05419195,-0.03296182,11/25/2021 17:15:20,Yes,ynn,Male,20,No,Once a week,Very experienced,7,4,1,4
Avatars,1,ynn,OilPaint_4279739679_vrexplore1_3910,FocusOut,-0.0385437,-0.07040405,0.9967651,-0.02586618,0.01110921,-0.03909181,True,True,False,0.5090247,0.3158581,False,05:12:07 PM,173,183.5142,-299.6,159.5022,196.2285,-287.0955,0.005862236,2.213153,-1.352575,-0.1066116,0.9139866,0.1614086,0.3566648,-0.0007505335,0.9739511,0.1526832,-0.16765,11/25/2021 17:15:20,Yes,ynn,Male,20,No,Once a week,Very experienced,7,4,1,4
Avatars,1,ynn,OilPaint_4279739679_vrexplore1_3910,FocusIn,0.155426,-0.09483337,0.9832764,-0.0258165,0.009393631,-0.03729677,True,True,True,0.6153997,0.3158581,False,05:12:08 PM,173,183.5142,-299.6,159.4963,196.2139,-287.11,-0.009674549,2.198503,-1.352815,-0.0819702,0.9518936,0.08529301,0.2826744,-0.0155446,0.9648727,0.07510618,-0.2512731,11/25/2021 17:15:20,Yes,ynn,Male,20,No,Once a week,Very experienced,7,4,1,4
Avatars,1,ynn,OilPaint_4279739679_vrexplore1_3910,FocusOut,0.03938293,-0.002578735,0.9992065,-0.025314,0.01045049,-0.03783414,True,False,False,0.7581134,0.282276,True,05:12:08 PM,173,183.5142,-299.6,159.4994,196.1939,-287.1202,-0.0172801,2.177961,-1.3586,-0.05046622,0.9720472,0.0002395511,0.229298,-0.03021102,0.9507974,-0.01347048,-0.3080424,11/25/2021 17:15:20,Yes,ynn,Male,20,No,Once a week,Very experienced,7,4,1,4
Avatars,1,ynn,OilPaint_4282123404_vrexplore1_5921,FocusIn,0.03938293,-0.002578735,0.9992065,-0.025314,0.01045049,-0.03783414,True,False,False,0.7581134,0.282276,True,05:12:08 PM,173,183.5142,-299.6,159.4994,196.1939,-287.1202,-0.0172801,2.177961,-1.3586,-0.05046622,0.9720472,0.0002395511,0.229298,-0.03021102,0.9507974,-0.01347048,-0.3080424,11/25/2021 17:15:20,Yes,ynn,Male,20,No,Once a week,Very experienced,7,4,1,4
Avatars,1,ynn,OilPaint_4282123404_vrexplore1_5921,FocusOut,0.02272034,0.006942749,0.9997101,-0.02532587,0.01053108,-0.03781633,True,False,False,0.769708,0.3016367,True,05:12:08 PM,173,183.5142,-299.6,159.4999,196.1919,-287.1205,-0.01734114,2.17595,-1.359042,-0.04835271,0.9727701,-0.006918963,0.2265673,-0.0319896,0.9497025,-0.02065076,-0.3108302,11/25/2021 17:15:20,Yes,ynn,Male,20,No,Once a week,Very experienced,7,4,1,4
Avatars,1,ynn,OilPaint_4279739679_vrexplore1_3910,FocusIn,0.02272034,0.006942749,0.9997101,-0.02532587,0.01053108,-0.03781633,True,False,False,0.769708,0.3016367,True,05:12:08 PM,173,183.5142,-299.6,159.4999,196.1919,-287.1205,-0.01734114,2.17595,-1.359042,-0.04835271,0.9727701,-0.006918963,0.2265673,-0.0319896,0.9497025,-0.02065076,-0.3108302,11/25/2021 17:15:20,Yes,ynn,Male,20,No,Once a week,Very experienced,7,4,1,4
Avatars,1,ynn,OilPaint_4279739679_vrexplore1_3910,FocusOut,0.01296997,0.01069641,0.9998474,-0.02531088,0.01052435,-0.03745322,True,False,False,0.7812119,0.3098242,True,05:12:08 PM,173,183.5142,-299.6,159.5003,196.1902,-287.1212,-0.01777601,2.17414,-1.359576,-0.04638191,0.9735153,-0.01409577,0.2234236,-0.03388439,0.9484157,-0.02776482,-0.3139883,11/25/2021 17:15:20,Yes,ynn,Male,20,No,Once a week,Very experienced,7,4,1,4
Avatars,1,ynn,OilPaint_4282123404_vrexplore1_5988,FocusIn,0.01296997,0.01069641,0.9998474,-0.02531088,0.01052435,-0.03745322,True,False,False,0.7812119,0.3098242,True,05:12:08 PM,173,183.5142,-299.6,159.5003,196.1902,-287.1212,-0.01777601,2.17414,-1.359576,-0.04638191,0.9735153,-0.01409577,0.2234236,-0.03388439,0.9484157,-0.02776482,-0.3139883,11/25/2021 17:15:20,Yes,ynn,Male,20,No,Once a week,Very experienced,7,4,1,4
Avatars,1,ynn,OilPaint_4282123404_vrexplore1_5988,FocusOut,0.01437378,-0.02236938,0.9996338,-0.0254364,0.01147325,-0.04002023,True,False,False,0.8044121,0.2818106,True,05:12:08 PM,173,183.5142,-299.6,159.5009,196.1871,-287.1226,-0.01875401,2.171032,-1.360485,-0.04343897,0.9747614,-0.02669127,0.2173502,-0.03763238,0.9458282,-0.03996934,-0.3199926,11/25/2021 17:15:20,Yes,ynn,Male,20,No,Once a week,Very experienced,7,4,1,4
