ExperimentType,ExpID,FolderID,EyeDx,EyeDy,EyeDz,EyeOx,EyeOy,EyeOz,IsValid,LeftBlinking,RightBlinking,GameTime,ConvergenceDistance,ConvergenceDistanceIsValid,LocalTime,CamPx,CamPy,CamPz,LocalCamPx,LocalCamPy,LocalCamPz,CamRx,CamRy,CamRz,CamRw,LocalCamRx,LocalCamRy,LocalCamRz,LocalCamRw,Timestamp,AreYouHappyToBePartOfOurExperiment,ExperimentID,Gender,AgeGroup,DoYouEncounterColourBlindness,GamingExperienceHowOftenDoYouPlayComputerGamesPCConsolemobile,ExperienceWithVirtualReality,Arrowsscene1HelpedMeToExploreTheEnvironment,Avatarsscene2HelpedMeToExploreTheEnvironment,ArrowsDistractMyAttention,AvatarsDistractMyAttention
Arrows,1,sth,-0.06893921,-0.2260742,0.9716644,-0.007577408,0.001624436,-0.03518431,True,True,True,0,0.2465205,True,05:28:30 PM,158.96,193.96,-286.82,0,0,0,0.03579477,-0.5167606,0.02163157,0.8551078,0,0,0,1,11/25/2021 17:34:33,Yes,sth,Male,16,No,Once a day,Some experience,3,3,4,1
Arrows,1,sth,-0.07450867,-0.2171021,0.9732971,-0.003198624,0.002168442,-0.03488257,True,True,True,0.02,0.2548531,True,05:28:30 PM,158.96,193.96,-286.82,0,0,0,0.03579477,-0.5167606,0.02163157,0.8551078,0,0,0,1,11/25/2021 17:34:33,Yes,sth,Male,16,No,Once a day,Some experience,3,3,4,1
Arrows,1,sth,0.1441498,0.1379547,0.9798889,0.02615416,0.007107788,-0.03119354,True,False,False,0.3533334,0.1328473,True,05:28:31 PM,160.2943,196.487,-287.0028,0.4585221,2.412326,-1.47308,0.03360433,0.9418564,-0.05376466,0.32998,0.009514135,0.9732579,-0.1041915,-0.2045059,11/25/2021 17:34:33,Yes,sth,Male,16,No,Once a day,Some experience,3,3,4,1
Arrows,1,sth,0.102829,0.07398987,0.9919281,0.03080556,0.007252838,-0.030866,True,False,False,0.430678,0.1,True,05:28:31 PM,160.2963,196.4875,-286.995,0.4664409,2.412961,-1.471265,0.03397395,0.9433938,-0.05230124,0.3257586,0.0107708,0.9724355,-0.1030948,-0.2088653,11/25/2021 17:34:33,Yes,sth,Male,16,No,Once a day,Some experience,3,3,4,1
Arrows,1,sth,0.08822632,0.02694702,0.9957275,0.003602097,0.003470505,-0.03206291,True,False,False,0.4972861,0.1454334,True,05:28:31 PM,160.2958,196.4874,-286.9942,0.4668336,2.412959,-1.470431,0.03378239,0.9436977,-0.05161836,0.3250064,0.01099339,0.9723352,-0.1024065,-0.2096577,11/25/2021 17:34:33,Yes,sth,Male,16,No,Once a day,Some experience,3,3,4,1
Arrows,1,sth,0.08868408,0.02734375,0.9956818,0.004110962,0.00354216,-0.03203661,True,False,False,0.5177317,0.1438687,True,05:28:31 PM,160.2956,196.4875,-286.9933,0.4675789,2.413105,-1.469835,0.03354646,0.9438846,-0.05071895,0.3246292,0.01127397,0.9723375,-0.101514,-0.2100658,11/25/2021 17:34:33,Yes,sth,Male,16,No,Once a day,Some experience,3,3,4,1
Arrows,1,sth,0.090271,0.02934265,0.9954834,0.00604335,0.003815445,-0.03196448,True,False,False,0.5295894,0.1408043,True,05:28:31 PM,160.2956,196.4876,-286.9932,0.467684,2.413214,-1.469803,0.0333553,0.9439335,-0.05039427,0.3245574,0.01128191,0.9723579,-0.1011378,-0.2101523,11/25/2021 17:34:33,Yes,sth,Male,16,No,Once a day,Some experience,3,3,4,1
Arrows,1,sth,0.08944702,0.03312683,0.9954376,0.006638275,0.003900437,-0.03196247,True,False,False,0.5413141,0.2041373,True,05:28:31 PM,160.2955,196.4877,-286.9929,0.4678755,2.413282,-1.469617,0.03292315,0.9439639,-0.05033349,0.3245225,0.0109457,0.9723774,-0.1008628,-0.2102121,11/25/2021 17:34:33,Yes,sth,Male,16,No,Once a day,Some experience,3,3,4,1
Arrows,1,sth,0.09016418,0.03215027,0.9954071,0.009597245,0.004315018,-0.03184833,True,False,False,0.5524516,0.1603369,True,05:28:31 PM,160.2954,196.4877,-286.9928,0.4679654,2.413315,-1.469462,0.03294601,0.9439968,-0.05041942,0.3244112,0.01092554,0.9723445,-0.1009469,-0.2103252,11/25/2021 17:34:33,Yes,sth,Male,16,No,Once a day,Some experience,3,3,4,1
Arrows,1,sth,0.09259033,0.03691101,0.9950104,0.01444362,0.004991852,-0.03163553,True,False,False,0.563059,0.1525554,True,05:28:31 PM,160.2953,196.4877,-286.9926,0.4681344,2.41332,-1.469272,0.03304533,0.944003,-0.0503578,0.3243927,0.0110431,0.9723402,-0.1009454,-0.2103393,11/25/2021 17:34:33,Yes,sth,Male,16,No,Once a day,Some experience,3,3,4,1
Arrows,1,sth,0.1025238,0.06106567,0.9928436,0.03084682,0.007282441,-0.03092243,True,False,False,0.5738333,0.1,True,05:28:31 PM,160.2952,196.4877,-286.9923,0.468261,2.413325,-1.469069,0.03320664,0.9440267,-0.05038605,0.3243027,0.01117018,0.9723095,-0.1010518,-0.2104234,11/25/2021 17:34:33,Yes,sth,Male,16,No,Once a day,Some experience,3,3,4,1
