ExperimentType,ExpID,FolderID,EyeDx,EyeDy,EyeDz,EyeOx,EyeOy,EyeOz,IsValid,LeftBlinking,RightBlinking,GameTime,ConvergenceDistance,ConvergenceDistanceIsValid,LocalTime,CamPx,CamPy,CamPz,LocalCamPx,LocalCamPy,LocalCamPz,CamRx,CamRy,CamRz,CamRw,LocalCamRx,LocalCamRy,LocalCamRz,LocalCamRw,Timestamp,AreYouHappyToBePartOfOurExperiment,ExperimentID,Gender,AgeGroup,DoYouEncounterColourBlindness,GamingExperienceHowOftenDoYouPlayComputerGamesPCConsolemobile,ExperienceWithVirtualReality,Arrowsscene1HelpedMeToExploreTheEnvironment,Avatarsscene2HelpedMeToExploreTheEnvironment,ArrowsDistractMyAttention,AvatarsDistractMyAttention
Avatars,1,sth,-0.2082214,0.2451782,0.9468384,0.03262706,0.01017014,-0.03083618,True,False,False,0,0.2169466,True,05:30:49 PM,158.47,193.91,-286.56,0,0,0,0.03579477,-0.5167606,0.02163157,0.8551078,0,0,0,1,11/25/2021 17:34:33,Yes,sth,Male,16,No,Once a day,Some experience,3,3,4,1
Avatars,1,sth,-0.1784363,0.1712341,0.9689331,0.03236234,0.009831253,-0.0306993,True,False,False,0.02,0.3203892,True,05:30:49 PM,158.47,193.91,-286.56,0,0,0,0.03579477,-0.5167606,0.02163157,0.8551078,0,0,0,1,11/25/2021 17:34:33,Yes,sth,Male,16,No,Once a day,Some experience,3,3,4,1
Avatars,1,sth,0.09289551,0.2308807,0.9685211,0.03089771,0.00957161,-0.03012691,True,False,False,0.3533334,0.1255922,True,05:30:50 PM,159.1597,196.2818,-284.6137,2.04378,2.388071,0.09510557,-0.07090277,-0.1292208,-0.07375126,-0.9863243,-0.06623126,-0.6212975,-0.0004643357,-0.7807706,11/25/2021 17:34:33,Yes,sth,Male,16,No,Once a day,Some experience,3,3,4,1
Avatars,1,sth,-0.1508026,0.1509247,0.9769592,0.0319406,0.00909015,-0.03012946,True,False,False,0.4114695,0.1780112,True,05:30:50 PM,159.1955,196.2664,-284.6113,2.06254,2.370162,0.06596385,-0.1252474,-0.03366247,-0.05640226,-0.9899489,-0.1015397,-0.5396612,0.03911201,-0.8348207,11/25/2021 17:34:33,Yes,sth,Male,16,No,Once a day,Some experience,3,3,4,1
Avatars,1,sth,-0.1526947,0.1669159,0.9740601,0.03197803,0.009227158,-0.03012813,True,False,False,0.4262049,0.1798821,True,05:30:50 PM,159.2009,196.2666,-284.6126,2.063945,2.369934,0.06055497,-0.1268977,-0.02179974,-0.05373859,-0.9902192,-0.1013081,-0.529526,0.04182379,-0.8411835,11/25/2021 17:34:33,Yes,sth,Male,16,No,Once a day,Some experience,3,3,4,1
Avatars,1,sth,-0.1421356,0.1611481,0.9766388,0.03197325,0.00925705,-0.03011656,True,False,False,0.4396018,0.1590089,True,05:30:50 PM,159.2029,196.2673,-284.6127,2.064752,2.370542,0.05866157,-0.1260232,-0.01743129,-0.05420836,-0.9903918,-0.1007024,-0.5259154,0.04081751,-0.8435674,11/25/2021 17:34:33,Yes,sth,Male,16,No,Once a day,Some experience,3,3,4,1
Avatars,1,sth,-0.1225739,0.1638489,0.9788361,0.03193103,0.009287293,-0.03009198,True,False,False,0.4522946,0.1478862,True,05:30:50 PM,159.205,196.2681,-284.6129,2.065505,2.371123,0.05668055,-0.124994,-0.01304585,-0.0549426,-0.9905493,-0.1001012,-0.5222953,0.03950422,-0.8459473,11/25/2021 17:34:33,Yes,sth,Male,16,No,Once a day,Some experience,3,3,4,1
Avatars,1,sth,-0.1034698,0.1593933,0.9817657,0.0318875,0.009250779,-0.03004863,True,False,False,0.4651988,0.1383524,True,05:30:50 PM,159.2071,196.2689,-284.613,2.066425,2.371777,0.05466484,-0.1237082,-0.008663327,-0.05569401,-0.9907167,-0.09928928,-0.518689,0.03804404,-0.8483254,11/25/2021 17:34:33,Yes,sth,Male,16,No,Once a day,Some experience,3,3,4,1
Avatars,1,sth,-0.09521484,0.1459351,0.9846954,0.03069713,0.00908397,-0.03006433,True,False,False,0.477544,0.1635226,True,05:30:50 PM,159.2093,196.2696,-284.6134,2.067098,2.372275,0.0525503,-0.1230458,-0.004817575,-0.05583397,-0.9908174,-0.09870833,-0.5154719,0.03744654,-0.8503783,11/25/2021 17:34:33,Yes,sth,Male,16,No,Once a day,Some experience,3,3,4,1
Avatars,1,sth,-0.09466553,0.1481628,0.9844208,0.02899909,0.008859299,-0.03011826,True,False,False,0.489567,0.1696994,True,05:30:50 PM,159.2115,196.2702,-284.6137,2.067858,2.372725,0.050418,-0.1227776,-0.001335084,-0.05521633,-0.9908962,-0.09808167,-0.5125183,0.03771313,-0.8522223,11/25/2021 17:34:33,Yes,sth,Male,16,No,Once a day,Some experience,3,3,4,1
