ExperimentType,ExpID,FolderID,GameObj,Focus,EyeDx,EyeDy,EyeDz,EyeOx,EyeOy,EyeOz,IsValid,LeftBlinking,RightBlinking,GameTime,ConvergenceDistance,ConvergenceDistanceIsValid,LocalTime,GameObjPx,GameObjPy,GameObjPz,CamPx,CamPy,CamPz,LocalCamPx,LocalCamPy,LocalCamPz,CamRx,CamRy,CamRz,CamRw,LocalCamRx,LocalCamRy,LocalCamRz,LocalCamRw,Timestamp,AreYouHappyToBePartOfOurExperiment,ExperimentID,Gender,AgeGroup,DoYouEncounterColourBlindness,GamingExperienceHowOftenDoYouPlayComputerGamesPCConsolemobile,ExperienceWithVirtualReality,Arrowsscene1HelpedMeToExploreTheEnvironment,Avatarsscene2HelpedMeToExploreTheEnvironment,ArrowsDistractMyAttention,AvatarsDistractMyAttention
Avatars,1,sth,OilPaint_4281599152_vrexplore1_5074,FocusIn,0.09289551,0.2308807,0.9685211,0.03089771,0.00957161,-0.03012691,True,False,False,0.3533334,0.1255922,True,05:30:50 PM,173,183.5142,-299.6,159.1597,196.2818,-284.6137,2.04378,2.388071,0.09510557,-0.07090277,-0.1292208,-0.07375126,-0.9863243,-0.06623126,-0.6212975,-0.0004643357,-0.7807706,11/25/2021 17:34:33,Yes,sth,Male,16,No,Once a day,Some experience,3,3,4,1
Avatars,1,sth,OilPaint_4281599152_vrexplore1_5074,FocusOut,-0.1508026,0.1509247,0.9769592,0.0319406,0.00909015,-0.03012946,True,False,False,0.4114695,0.1780112,True,05:30:50 PM,173,183.5142,-299.6,159.1955,196.2664,-284.6113,2.06254,2.370162,0.06596385,-0.1252474,-0.03366247,-0.05640226,-0.9899489,-0.1015397,-0.5396612,0.03911201,-0.8348207,11/25/2021 17:34:33,Yes,sth,Male,16,No,Once a day,Some experience,3,3,4,1
Avatars,1,sth,OilPaint_4281599152_vrexplore1_5176,FocusIn,-0.1508026,0.1509247,0.9769592,0.0319406,0.00909015,-0.03012946,True,False,False,0.4114695,0.1780112,True,05:30:50 PM,173,183.5142,-299.6,159.1955,196.2664,-284.6113,2.06254,2.370162,0.06596385,-0.1252474,-0.03366247,-0.05640226,-0.9899489,-0.1015397,-0.5396612,0.03911201,-0.8348207,11/25/2021 17:34:33,Yes,sth,Male,16,No,Once a day,Some experience,3,3,4,1
Avatars,1,sth,OilPaint_4281599152_vrexplore1_5176,FocusOut,0.2754669,0.0390625,0.9605103,-0.0003536987,0.005450699,-0.03319272,True,False,False,1.084867,0.1442945,True,05:30:51 PM,173,183.5142,-299.6,159.3198,196.2769,-284.6408,2.094262,2.370355,-0.05825497,-0.146324,0.04860237,-0.05438269,-0.9865444,-0.1168612,-0.4670284,0.04871222,-0.8751315,11/25/2021 17:34:33,Yes,sth,Male,16,No,Once a day,Some experience,3,3,4,1
Avatars,1,sth,OilPaint_4281599152_vrexplore1_5274,FocusIn,0.2754669,0.0390625,0.9605103,-0.0003536987,0.005450699,-0.03319272,True,False,False,1.084867,0.1442945,True,05:30:51 PM,173,183.5142,-299.6,159.3198,196.2769,-284.6408,2.094262,2.370355,-0.05825497,-0.146324,0.04860237,-0.05438269,-0.9865444,-0.1168612,-0.4670284,0.04871222,-0.8751315,11/25/2021 17:34:33,Yes,sth,Male,16,No,Once a day,Some experience,3,3,4,1
Avatars,1,sth,OilPaint_4281599152_vrexplore1_5274,FocusOut,0.2757721,0.03970337,0.9603882,0.0009615326,0.005551499,-0.0330591,True,False,False,1.100116,0.1736045,True,05:30:51 PM,173,183.5142,-299.6,159.321,196.2772,-284.6412,2.09446,2.37047,-0.05946638,-0.1466329,0.04877776,-0.0540188,-0.9865097,-0.1169347,-0.4668409,0.04917597,-0.8751957,11/25/2021 17:34:33,Yes,sth,Male,16,No,Once a day,Some experience,3,3,4,1
Avatars,1,sth,OilPaint_4281599152_vrexplore1_5074,FocusIn,0.2757721,0.03970337,0.9603882,0.0009615326,0.005551499,-0.0330591,True,False,False,1.100116,0.1736045,True,05:30:51 PM,173,183.5142,-299.6,159.321,196.2772,-284.6412,2.09446,2.37047,-0.05946638,-0.1466329,0.04877776,-0.0540188,-0.9865097,-0.1169347,-0.4668409,0.04917597,-0.8751957,11/25/2021 17:34:33,Yes,sth,Male,16,No,Once a day,Some experience,3,3,4,1
Avatars,1,sth,OilPaint_4281599152_vrexplore1_5074,FocusOut,0.06335449,0.2574768,0.9641876,0.02270657,0.008665497,-0.03090421,True,False,False,1.474913,0.1573189,True,05:30:51 PM,173,183.5142,-299.6,159.3452,196.2791,-284.6554,2.093102,2.370025,-0.08762337,-0.150456,0.03530991,-0.04710206,-0.9868625,-0.1169082,-0.4782093,0.05755585,-0.868525,11/25/2021 17:34:33,Yes,sth,Male,16,No,Once a day,Some experience,3,3,4,1
Avatars,1,sth,OilPaint_4279129348_vrexplore1_5053,FocusIn,0.04464722,0.2997284,0.9529724,0.02423532,0.008970231,-0.03081401,True,False,False,1.489605,0.1393948,True,05:30:51 PM,173,183.5142,-299.6,159.3455,196.2792,-284.6559,2.092786,2.370144,-0.08808602,-0.1502025,0.03498831,-0.04731382,-0.9869025,-0.1168064,-0.478518,0.05725616,-0.8683885,11/25/2021 17:34:33,Yes,sth,Male,16,No,Once a day,Some experience,3,3,4,1
Avatars,1,sth,OilPaint_4279129348_vrexplore1_5053,FocusOut,0.03930664,0.2993164,0.9533386,0.01936684,0.008537766,-0.03131821,True,False,False,1.504147,0.1207157,True,05:30:51 PM,173,183.5142,-299.6,159.346,196.2797,-284.6567,2.092339,2.370535,-0.08893098,-0.14916,0.03472546,-0.04774987,-0.9870489,-0.1161408,-0.4788566,0.05635717,-0.8683499,11/25/2021 17:34:33,Yes,sth,Male,16,No,Once a day,Some experience,3,3,4,1
Avatars,1,sth,OilPaint_4279219307_vrexplore1_5175,FocusIn,0.03930664,0.2993164,0.9533386,0.01936684,0.008537766,-0.03131821,True,False,False,1.504147,0.1207157,True,05:30:51 PM,173,183.5142,-299.6,159.346,196.2797,-284.6567,2.092339,2.370535,-0.08893098,-0.14916,0.03472546,-0.04774987,-0.9870489,-0.1161408,-0.4788566,0.05635717,-0.8683499,11/25/2021 17:34:33,Yes,sth,Male,16,No,Once a day,Some experience,3,3,4,1
Avatars,1,sth,OilPaint_4279219307_vrexplore1_5175,FocusOut,0.0453186,0.2382813,0.9701233,-0.002868469,0.005947083,-0.03343286,True,False,False,1.533619,0.1598128,True,05:30:51 PM,173,183.5142,-299.6,159.3465,196.28,-284.6575,2.091856,2.370756,-0.08976115,-0.1482242,0.03455344,-0.04755166,-0.9872054,-0.1152362,-0.4790978,0.05605259,-0.8683571,11/25/2021 17:34:33,Yes,sth,Male,16,No,Once a day,Some experience,3,3,4,1
Avatars,1,sth,OilPaint_4279129348_vrexplore1_5053,FocusIn,0.0453186,0.2382813,0.9701233,-0.002868469,0.005947083,-0.03343286,True,False,False,1.533619,0.1598128,True,05:30:51 PM,173,183.5142,-299.6,159.3465,196.28,-284.6575,2.091856,2.370756,-0.08976115,-0.1482242,0.03455344,-0.04755166,-0.9872054,-0.1152362,-0.4790978,0.05605259,-0.8683571,11/25/2021 17:34:33,Yes,sth,Male,16,No,Once a day,Some experience,3,3,4,1
Avatars,1,sth,OilPaint_4279129348_vrexplore1_5053,FocusOut,-0.1608276,0.2954865,0.9416962,-0.02436383,0.0039814,-0.03580141,True,False,False,1.692847,0.2100682,True,05:30:51 PM,173,183.5142,-299.6,159.3495,196.2811,-284.6633,2.088129,2.371479,-0.09525038,-0.1448656,0.03262943,-0.04335683,-0.9879623,-0.1102111,-0.4810566,0.0579893,-0.8677991,11/25/2021 17:34:33,Yes,sth,Male,16,No,Once a day,Some experience,3,3,4,1
Avatars,1,sth,OilPaint_4281599152_vrexplore1_5176,FocusIn,-0.1608276,0.2954865,0.9416962,-0.02436383,0.0039814,-0.03580141,True,False,False,1.692847,0.2100682,True,05:30:51 PM,173,183.5142,-299.6,159.3495,196.2811,-284.6633,2.088129,2.371479,-0.09525038,-0.1448656,0.03262943,-0.04335683,-0.9879623,-0.1102111,-0.4810566,0.0579893,-0.8677991,11/25/2021 17:34:33,Yes,sth,Male,16,No,Once a day,Some experience,3,3,4,1
