ExperimentType,ExpID,FolderID,EyeDx,EyeDy,EyeDz,EyeOx,EyeOy,EyeOz,IsValid,LeftBlinking,RightBlinking,GameTime,ConvergenceDistance,ConvergenceDistanceIsValid,LocalTime,CamPx,CamPy,CamPz,LocalCamPx,LocalCamPy,LocalCamPz,CamRx,CamRy,CamRz,CamRw,LocalCamRx,LocalCamRy,LocalCamRz,LocalCamRw,Timestamp,AreYouHappyToBePartOfOurExperiment,ExperimentID,Gender,AgeGroup,DoYouEncounterColourBlindness,GamingExperienceHowOftenDoYouPlayComputerGamesPCConsolemobile,ExperienceWithVirtualReality,Arrowsscene1HelpedMeToExploreTheEnvironment,Avatarsscene2HelpedMeToExploreTheEnvironment,ArrowsDistractMyAttention,AvatarsDistractMyAttention
Avatars,1,tfs,-0.4143372,0.02818298,0.909668,0.03069168,0.002022385,-0.01846837,True,False,True,0,0,False,12:59:55 PM,159.84,193.96,-288.13,-4.8,-2,0.86,0,-0.6427876,0,0.7660445,0,-0.6427876,0,0.7660445,11/23/2021 13:04:00,Yes,tfs,Female,26,No,Not at all,No experience,5,5,1,1
Avatars,1,tfs,-0.4100342,0.0488739,0.9107513,0.03048287,0.001883606,-0.01846047,True,False,True,0.02,0,False,12:59:55 PM,159.84,193.96,-288.13,-4.8,-2,0.86,0,-0.6427876,0,0.7660445,0,-0.6427876,0,0.7660445,11/23/2021 13:04:00,Yes,tfs,Female,26,No,Not at all,No experience,5,5,1,1
Avatars,1,tfs,0,0,1,0,0,0,False,False,False,0.3533334,0,False,12:59:56 PM,159.683,195.5008,-289.4937,-4.956987,-0.459187,-0.5037262,0.04252532,0.006233175,-0.01380357,-0.9989806,0.04252532,0.006233175,-0.01380357,-0.9989806,11/23/2021 13:04:00,Yes,tfs,Female,26,No,Not at all,No experience,5,5,1,1
Avatars,1,tfs,0.4552612,0.03768921,0.8895416,0.02543829,0.003031891,-0.02217145,True,False,False,0.4222386,0.4614479,True,12:59:56 PM,159.6872,195.5016,-289.493,-4.952836,-0.4584485,-0.5030425,0.05154747,-0.1077786,-0.002316991,-0.992835,0.05154747,-0.1077786,-0.002316991,-0.992835,11/23/2021 13:04:00,Yes,tfs,Female,26,No,Not at all,No experience,5,5,1,1
Avatars,1,tfs,0.4639587,0.00553894,0.8858337,0.02592407,0.003084656,-0.02200064,True,False,False,0.4389958,1.026237,True,12:59:56 PM,159.6976,195.5008,-289.4961,-4.942436,-0.4591647,-0.5061029,0.05074337,-0.1719734,0.002630539,-0.9837903,0.05074337,-0.1719734,0.002630539,-0.9837903,11/23/2021 13:04:00,Yes,tfs,Female,26,No,Not at all,No experience,5,5,1,1
Avatars,1,tfs,0.416214,0.01997375,0.9090424,0.0261339,0.003090058,-0.02189555,True,False,False,0.4511395,1.291797,True,12:59:56 PM,159.6999,195.5008,-289.4969,-4.940137,-0.4591672,-0.506943,0.05076413,-0.1862169,0.003145878,-0.9811913,0.05076413,-0.1862169,0.003145878,-0.9811913,11/23/2021 13:04:00,Yes,tfs,Female,26,No,Not at all,No experience,5,5,1,1
Avatars,1,tfs,0.4210968,-0.03944397,0.9061432,0.02659471,0.003124039,-0.02172833,True,False,False,0.4631319,0.2976525,True,12:59:56 PM,159.702,195.5007,-289.4977,-4.938005,-0.4592656,-0.5076903,0.05117094,-0.1988242,0.003432947,-0.9786924,0.05117094,-0.1988242,0.003432947,-0.9786924,11/23/2021 13:04:00,Yes,tfs,Female,26,No,Not at all,No experience,5,5,1,1
Avatars,1,tfs,0.3864136,-0.01150513,0.9222412,0.02675867,0.003095276,-0.02168706,True,False,False,0.4763335,0.4997541,True,12:59:56 PM,159.704,195.5007,-289.4985,-4.936015,-0.4593126,-0.5085361,0.05166822,-0.2107028,0.003801483,-0.9761764,0.05166822,-0.2107028,0.003801483,-0.9761764,11/23/2021 13:04:00,Yes,tfs,Female,26,No,Not at all,No experience,5,5,1,1
Avatars,1,tfs,0.3396301,-0.008514404,0.940506,0.02711415,0.003073548,-0.02159337,True,False,False,0.4882267,0.6442787,True,12:59:56 PM,159.7058,195.5006,-289.4992,-4.934185,-0.4594029,-0.5092492,0.05225115,-0.2211722,0.004159752,-0.9738252,0.05225115,-0.2211722,0.004159752,-0.9738252,11/23/2021 13:04:00,Yes,tfs,Female,26,No,Not at all,No experience,5,5,1,1
Avatars,1,tfs,0.3467255,-0.0100708,0.9378967,0.02724503,0.00305748,-0.02157225,True,False,False,0.499054,0.8107116,True,12:59:56 PM,159.7075,195.5005,-289.5001,-4.932492,-0.4594712,-0.5100778,0.05263504,-0.2310796,0.004419016,-0.9715,0.05263504,-0.2310796,0.004419016,-0.9715,11/23/2021 13:04:00,Yes,tfs,Female,26,No,Not at all,No experience,5,5,1,1
