ExperimentType,ExpID,FolderID,GameObj,Focus,EyeDx,EyeDy,EyeDz,EyeOx,EyeOy,EyeOz,IsValid,LeftBlinking,RightBlinking,GameTime,ConvergenceDistance,ConvergenceDistanceIsValid,LocalTime,GameObjPx,GameObjPy,GameObjPz,CamPx,CamPy,CamPz,LocalCamPx,LocalCamPy,LocalCamPz,CamRx,CamRy,CamRz,CamRw,LocalCamRx,LocalCamRy,LocalCamRz,LocalCamRw,Timestamp,AreYouHappyToBePartOfOurExperiment,ExperimentID,Gender,AgeGroup,DoYouEncounterColourBlindness,GamingExperienceHowOftenDoYouPlayComputerGamesPCConsolemobile,ExperienceWithVirtualReality,Arrowsscene1HelpedMeToExploreTheEnvironment,Avatarsscene2HelpedMeToExploreTheEnvironment,ArrowsDistractMyAttention,AvatarsDistractMyAttention
Avatars,1,tfs,OilPaint_4285441043_vrexplore1_5082,FocusIn,-0.02581787,0.2795105,0.9597778,-0.03048497,0.001628006,-0.02177539,True,False,False,1.12218,1.431596,True,12:59:56 PM,173,183.5142,-299.6,159.7184,195.5099,-289.5098,-4.921589,-0.4501199,-0.5198491,0.1049016,-0.2787977,-0.01941759,-0.9544058,0.1049016,-0.2787977,-0.01941759,-0.9544058,11/23/2021 13:04:00,Yes,tfs,Female,26,No,Not at all,No experience,5,5,1,1
Avatars,1,tfs,OilPaint_4285441043_vrexplore1_5082,FocusOut,-0.1682739,0.3918152,0.9045105,0.003452164,0.002741226,-0.02084593,True,False,False,1.155202,0.6142347,True,12:59:56 PM,173,183.5142,-299.6,159.7176,195.5125,-289.5105,-4.922407,-0.4474673,-0.5205108,0.1202855,-0.2762252,-0.02497575,-0.9532089,0.1202855,-0.2762252,-0.02497575,-0.9532089,11/23/2021 13:04:00,Yes,tfs,Female,26,No,Not at all,No experience,5,5,1,1
Avatars,1,tfs,OilPaint_4278913804_vrexplore1_3787,FocusIn,-0.1682739,0.3918152,0.9045105,0.003452164,0.002741226,-0.02084593,True,False,False,1.155202,0.6142347,True,12:59:56 PM,173,183.5142,-299.6,159.7176,195.5125,-289.5105,-4.922407,-0.4474673,-0.5205108,0.1202855,-0.2762252,-0.02497575,-0.9532089,0.1202855,-0.2762252,-0.02497575,-0.9532089,11/23/2021 13:04:00,Yes,tfs,Female,26,No,Not at all,No experience,5,5,1,1
Avatars,1,tfs,OilPaint_4278913804_vrexplore1_3787,FocusOut,-0.1167908,0.3050385,0.9451447,-0.01248468,0.002015976,-0.02122598,True,False,False,1.261135,1.514803,True,12:59:56 PM,173,183.5142,-299.6,159.7117,195.5206,-289.5143,-4.928292,-0.4393551,-0.5242555,0.1747373,-0.2529884,-0.03828637,-0.9507881,0.1747373,-0.2529884,-0.03828637,-0.9507881,11/23/2021 13:04:00,Yes,tfs,Female,26,No,Not at all,No experience,5,5,1,1
Avatars,1,tfs,OilPaint_4279219307_vrexplore1_5187,FocusIn,-0.1167908,0.3050385,0.9451447,-0.01248468,0.002015976,-0.02122598,True,False,False,1.261135,1.514803,True,12:59:56 PM,173,183.5142,-299.6,159.7117,195.5206,-289.5143,-4.928292,-0.4393551,-0.5242555,0.1747373,-0.2529884,-0.03828637,-0.9507881,0.1747373,-0.2529884,-0.03828637,-0.9507881,11/23/2021 13:04:00,Yes,tfs,Female,26,No,Not at all,No experience,5,5,1,1
Avatars,1,tfs,OilPaint_4279219307_vrexplore1_5187,FocusOut,-0.1204834,0.2946014,0.9479828,-0.001851944,0.002276016,-0.02085898,True,False,False,1.276831,0.7718542,True,12:59:56 PM,173,183.5142,-299.6,159.7112,195.5213,-289.5146,-4.928845,-0.4387143,-0.524574,0.1793761,-0.2500717,-0.03866553,-0.9506805,0.1793761,-0.2500717,-0.03866553,-0.9506805,11/23/2021 13:04:00,Yes,tfs,Female,26,No,Not at all,No experience,5,5,1,1
Avatars,1,tfs,OilPaint_4285441043_vrexplore1_5082,FocusIn,-0.1204834,0.2946014,0.9479828,-0.001851944,0.002276016,-0.02085898,True,False,False,1.276831,0.7718542,True,12:59:56 PM,173,183.5142,-299.6,159.7112,195.5213,-289.5146,-4.928845,-0.4387143,-0.524574,0.1793761,-0.2500717,-0.03866553,-0.9506805,0.1793761,-0.2500717,-0.03866553,-0.9506805,11/23/2021 13:04:00,Yes,tfs,Female,26,No,Not at all,No experience,5,5,1,1
Avatars,1,tfs,OilPaint_4285441043_vrexplore1_5082,FocusOut,-0.1229095,0.296463,0.9470978,0.003556366,0.002526489,-0.0206904,True,False,False,1.291535,2.37477,True,12:59:56 PM,173,183.5142,-299.6,159.7108,195.5219,-289.5146,-4.929197,-0.4381193,-0.5246091,0.1836962,-0.2474126,-0.03914429,-0.9505317,0.1836962,-0.2474126,-0.03914429,-0.9505317,11/23/2021 13:04:00,Yes,tfs,Female,26,No,Not at all,No experience,5,5,1,1
Avatars,1,tfs,OilPaint_4278913804_vrexplore1_3787,FocusIn,-0.1017151,0.3656311,0.9251709,0.002310639,0.002646073,-0.02080632,True,False,False,1.306378,1.537854,True,12:59:56 PM,173,183.5142,-299.6,159.7096,195.5232,-289.5155,-4.930413,-0.4367967,-0.5255111,0.1930571,-0.2420939,-0.04082793,-0.949975,0.1930571,-0.2420939,-0.04082793,-0.949975,11/23/2021 13:04:00,Yes,tfs,Female,26,No,Not at all,No experience,5,5,1,1
Avatars,1,tfs,OilPaint_4278913804_vrexplore1_3787,FocusOut,0.03317261,-0.2172394,0.9755402,0.02897258,0.002541992,-0.02284494,True,False,False,1.897336,0.1,True,12:59:57 PM,173,183.5142,-299.6,159.6941,195.5116,-289.5088,-4.945866,-0.4484479,-0.5188206,0.1118848,-0.1204407,-0.02310977,-0.9861247,0.1118848,-0.1204407,-0.02310977,-0.9861247,11/23/2021 13:04:00,Yes,tfs,Female,26,No,Not at all,No experience,5,5,1,1
