ExperimentType,ExpID,FolderID,EyeDx,EyeDy,EyeDz,EyeOx,EyeOy,EyeOz,IsValid,LeftBlinking,RightBlinking,GameTime,ConvergenceDistance,ConvergenceDistanceIsValid,LocalTime,CamPx,CamPy,CamPz,LocalCamPx,LocalCamPy,LocalCamPz,CamRx,CamRy,CamRz,CamRw,LocalCamRx,LocalCamRy,LocalCamRz,LocalCamRw,Timestamp,AreYouHappyToBePartOfOurExperiment,ExperimentID,Gender,AgeGroup,DoYouEncounterColourBlindness,GamingExperienceHowOftenDoYouPlayComputerGamesPCConsolemobile,ExperienceWithVirtualReality,Arrowsscene1HelpedMeToExploreTheEnvironment,Avatarsscene2HelpedMeToExploreTheEnvironment,ArrowsDistractMyAttention,AvatarsDistractMyAttention
Arrows,1,ybf,-0.1928864,0.02253723,0.980957,-0.02863045,0.009058777,-0.02503061,True,False,False,0,0.8708459,True,12:50:47 PM,159.84,193.96,-288.39,-4.8,-2,0.6000049,0,0.9864722,0,0.1639286,0,0.9864722,0,0.1639286,11/23/2021 13:01:42,Yes,ybf,Female,20,No,Not at all,Some experience,4,7,3,2
Arrows,1,ybf,-0.2197723,0.03625488,0.9748688,-0.02840148,0.009032242,-0.02522461,True,False,False,0.02,0.5319154,True,12:50:47 PM,159.84,193.96,-288.39,-4.8,-2,0.6000049,0,0.9864722,0,0.1639286,0,0.9864722,0,0.1639286,11/23/2021 13:01:42,Yes,ybf,Female,20,No,Not at all,Some experience,4,7,3,2
Arrows,1,ybf,0.1757965,-0.06159973,0.9824829,-0.03088416,0.008952896,-0.02463673,True,False,False,0.3533334,0.7956268,True,12:50:47 PM,161.1608,195.584,-287.5481,-3.479216,-0.3760262,1.44186,0.02050014,-0.4871567,-0.005911643,-0.873054,0.02050014,-0.4871567,-0.005911643,-0.873054,11/23/2021 13:01:42,Yes,ybf,Female,20,No,Not at all,Some experience,4,7,3,2
Arrows,1,ybf,0.3104553,-0.02841187,0.9501495,-0.02068437,0.008055359,-0.02564333,True,False,False,0.4088995,0.535261,True,12:50:47 PM,161.1487,195.5904,-287.5491,-3.491299,-0.3696074,1.440871,0.06359263,-0.3865883,0.0007056518,-0.920057,0.06359263,-0.3865883,0.0007056518,-0.920057,11/23/2021 13:01:42,Yes,ybf,Female,20,No,Not at all,Some experience,4,7,3,2
Arrows,1,ybf,0.2923279,-0.04685974,0.9551544,-0.004790955,0.00662793,-0.02657115,True,False,False,0.4209564,0.4924735,True,12:50:47 PM,161.1507,195.5904,-287.5514,-3.489329,-0.369597,1.438643,0.06397305,-0.3979007,0.002559727,-0.9151918,0.06397305,-0.3979007,0.002559727,-0.9151918,11/23/2021 13:01:42,Yes,ybf,Female,20,No,Not at all,Some experience,4,7,3,2
Arrows,1,ybf,0.2481995,-0.08148193,0.965271,0.02383005,0.004093613,-0.02824333,True,False,False,0.4306456,0.5040825,True,12:50:47 PM,161.1518,195.5904,-287.5525,-3.488193,-0.3696227,1.437538,0.06439966,-0.404171,0.00386687,-0.9124054,0.06439966,-0.404171,0.00386687,-0.9124054,11/23/2021 13:01:42,Yes,ybf,Female,20,No,Not at all,Some experience,4,7,3,2
Arrows,1,ybf,0.2409058,-0.08999634,0.9663544,0.02937869,0.003616959,-0.02855919,True,False,False,0.4402128,0.5594609,True,12:50:47 PM,161.1527,195.5903,-287.5536,-3.487303,-0.3696647,1.43644,0.06470202,-0.4102542,0.005196951,-0.9096584,0.06470202,-0.4102542,0.005196951,-0.9096584,11/23/2021 13:01:42,Yes,ybf,Female,20,No,Not at all,Some experience,4,7,3,2
Arrows,1,ybf,0.2435608,-0.06347656,0.9677887,0.005844208,0.005696579,-0.02709541,True,False,False,0.4507738,0.6915361,True,12:50:47 PM,161.1536,195.5903,-287.5546,-3.486374,-0.3696711,1.435356,0.06488011,-0.4167015,0.006473297,-0.906702,0.06488011,-0.4167015,0.006473297,-0.906702,11/23/2021 13:01:42,Yes,ybf,Female,20,No,Not at all,Some experience,4,7,3,2
Arrows,1,ybf,0.2356567,-0.05993652,0.9699707,0.003720017,0.005883744,-0.02693892,True,False,False,0.4594311,0.769173,True,12:50:47 PM,161.1546,195.5902,-287.5558,-3.485409,-0.3697904,1.434234,0.06486441,-0.4229832,0.007561927,-0.9037813,0.06486441,-0.4229832,0.007561927,-0.9037813,11/23/2021 13:01:42,Yes,ybf,Female,20,No,Not at all,Some experience,4,7,3,2
Arrows,1,ybf,0.2376404,-0.06607056,0.9690857,6.263733e-05,0.006204651,-0.026698,True,False,False,0.4692006,0.6600619,True,12:50:47 PM,161.1556,195.5901,-287.5569,-3.484393,-0.3699014,1.433034,0.06473935,-0.4293565,0.008481686,-0.9007719,0.06473935,-0.4293565,0.008481686,-0.9007719,11/23/2021 13:01:42,Yes,ybf,Female,20,No,Not at all,Some experience,4,7,3,2
Arrows,1,ybf,0.2278595,-0.05764771,0.9719696,0.0005792084,0.006152634,-0.02669489,True,False,False,0.4801669,0.6180065,True,12:50:47 PM,161.1566,195.5899,-287.5581,-3.483372,-0.3700799,1.431848,0.06436607,-0.4359581,0.008939992,-0.8976178,0.06436607,-0.4359581,0.008939992,-0.8976178,11/23/2021 13:01:42,Yes,ybf,Female,20,No,Not at all,Some experience,4,7,3,2
Arrows,1,ybf,0.2350159,-0.02577209,0.9716339,-0.02920291,0.008827591,-0.02486595,True,False,False,0.4912363,0.7169262,True,12:50:47 PM,161.1579,195.5898,-287.5594,-3.482069,-0.3702427,1.430543,0.06401242,-0.4426099,0.00916246,-0.8943797,0.06401242,-0.4426099,0.00916246,-0.8943797,11/23/2021 13:01:42,Yes,ybf,Female,20,No,Not at all,Some experience,4,7,3,2
Arrows,1,ybf,0.2276306,-0.05187988,0.9723511,-0.03124031,0.009037522,-0.02473242,True,False,False,0.5022166,0.9483219,True,12:50:47 PM,161.159,195.5897,-287.5607,-3.481009,-0.3703411,1.429329,0.06369009,-0.4492531,0.008973183,-0.8910863,0.06369009,-0.4492531,0.008973183,-0.8910863,11/23/2021 13:01:42,Yes,ybf,Female,20,No,Not at all,Some experience,4,7,3,2
Arrows,1,ybf,0.2178802,-0.04151917,0.9750824,-0.03114691,0.009050461,-0.02471237,True,False,False,0.5134419,0.7884556,True,12:50:47 PM,161.16,195.5897,-287.5618,-3.480035,-0.3702948,1.428147,0.06349615,-0.4556522,0.008808819,-0.8878467,0.06349615,-0.4556522,0.008808819,-0.8878467,11/23/2021 13:01:42,Yes,ybf,Female,20,No,Not at all,Some experience,4,7,3,2
Arrows,1,ybf,0.1971283,-0.04977417,0.9791107,-0.03093538,0.00905568,-0.0246518,True,False,False,0.5246831,1.102477,True,12:50:47 PM,161.1609,195.5897,-287.5628,-3.479066,-0.37029,1.427187,0.06339881,-0.4615361,0.008415672,-0.8848131,0.06339881,-0.4615361,0.008415672,-0.8848131,11/23/2021 13:01:42,Yes,ybf,Female,20,No,Not at all,Some experience,4,7,3,2
Arrows,1,ybf,0.1771393,-0.05986023,0.9823608,-0.03083382,0.009046723,-0.02459598,True,False,False,0.5355431,1.279029,True,12:50:47 PM,161.1618,195.5897,-287.5638,-3.478156,-0.3702637,1.426198,0.06336842,-0.4668438,0.008202903,-0.8820283,0.06336842,-0.4668438,0.008202903,-0.8820283,11/23/2021 13:01:42,Yes,ybf,Female,20,No,Not at all,Some experience,4,7,3,2
Arrows,1,ybf,0.1662598,-0.05633545,0.9844666,-0.03071352,0.009024887,-0.02452615,True,False,False,0.5467572,0.9508775,True,12:50:47 PM,161.1627,195.5898,-287.5646,-3.477341,-0.3702196,1.425368,0.06351948,-0.471685,0.007837543,-0.8794414,0.06351948,-0.471685,0.007837543,-0.8794414,11/23/2021 13:01:42,Yes,ybf,Female,20,No,Not at all,Some experience,4,7,3,2
Arrows,1,ybf,0.1548157,-0.0629425,0.9859314,-0.030627,0.00899469,-0.02436998,True,False,False,0.5577781,1.114601,True,12:50:47 PM,161.1634,195.5898,-287.5655,-3.47658,-0.3701606,1.424514,0.06407338,-0.4759895,0.007237214,-0.877084,0.06407338,-0.4759895,0.007237214,-0.877084,11/23/2021 13:01:42,Yes,ybf,Female,20,No,Not at all,Some experience,4,7,3,2
Arrows,1,ybf,0.10289,-0.06459045,0.9925842,0.01966329,0.004423325,-0.02711281,True,False,False,0.5688273,1.044857,True,12:50:48 PM,161.1644,195.5899,-287.5663,-3.475646,-0.3700844,1.423648,0.06468774,-0.4804375,0.006406927,-0.8746167,0.06468774,-0.4804375,0.006406927,-0.8746167,11/23/2021 13:01:42,Yes,ybf,Female,20,No,Not at all,Some experience,4,7,3,2
Arrows,1,ybf,0.08737183,-0.07507324,0.9933319,0.03177913,0.003324997,-0.02788619,True,False,False,0.5799513,0.9434393,True,12:50:48 PM,161.1649,195.5901,-287.5672,-3.475075,-0.3699529,1.42276,0.06536914,-0.4846153,0.005078319,-0.8722667,0.06536914,-0.4846153,0.005078319,-0.8722667,11/23/2021 13:01:42,Yes,ybf,Female,20,No,Not at all,Some experience,4,7,3,2
Arrows,1,ybf,0.07139587,-0.07603455,0.9945374,0.03188837,0.003429154,-0.02822194,True,False,False,0.5910618,0.89284,True,12:50:48 PM,161.1658,195.5902,-287.5682,-3.474178,-0.3697666,1.421824,0.0662436,-0.4889086,0.003585323,-0.8698088,0.0662436,-0.4889086,0.003585323,-0.8698088,11/23/2021 13:01:42,Yes,ybf,Female,20,No,Not at all,Some experience,4,7,3,2
Arrows,1,ybf,0.06632996,-0.08811951,0.9938965,0.03194893,0.003406525,-0.0281088,True,False,False,0.6021509,0.7747393,True,12:50:48 PM,161.1662,195.5905,-287.569,-3.473797,-0.3694912,1.420998,0.0670314,-0.4930496,0.001727716,-0.8674133,0.0670314,-0.4930496,0.001727716,-0.8674133,11/23/2021 13:01:42,Yes,ybf,Female,20,No,Not at all,Some experience,4,7,3,2
Arrows,1,ybf,0.05497742,-0.09263611,0.9941711,0.03199114,0.003518478,-0.02851189,True,False,False,0.6131986,0.7500592,True,12:50:48 PM,161.1667,195.5909,-287.5698,-3.473298,-0.3691523,1.42017,0.06805907,-0.49682,-1.056008e-06,-0.8651809,0.06805907,-0.49682,-1.056008e-06,-0.8651809,11/23/2021 13:01:42,Yes,ybf,Female,20,No,Not at all,Some experience,4,7,3,2
Arrows,1,ybf,0.04325867,-0.09953308,0.9940796,0.03212918,0.003456101,-0.02835176,True,False,False,0.628188,0.9101661,True,12:50:48 PM,161.1673,195.5912,-287.5706,-3.472748,-0.3687816,1.419399,0.06928828,-0.4999033,-0.001736079,-0.8633035,0.06928828,-0.4999033,-0.001736079,-0.8633035,11/23/2021 13:01:42,Yes,ybf,Female,20,No,Not at all,Some experience,4,7,3,2
Arrows,1,ybf,0.03886414,-0.09684753,0.9945374,0.03218501,0.00342952,-0.02830968,True,False,False,0.6369475,1.099743,True,12:50:48 PM,161.1675,195.5915,-287.5713,-3.472508,-0.3684697,1.418745,0.07056291,-0.5027158,-0.003359848,-0.8615605,0.07056291,-0.5027158,-0.003359848,-0.8615605,11/23/2021 13:01:42,Yes,ybf,Female,20,No,Not at all,Some experience,4,7,3,2
Arrows,1,ybf,0.02970886,-0.09927368,0.9946136,0.03221836,0.003422608,-0.02839516,True,False,False,0.6471797,0.9451799,True,12:50:48 PM,161.1678,195.5919,-287.572,-3.472246,-0.3681437,1.41799,0.07171819,-0.505354,-0.004881325,-0.8599128,0.07171819,-0.505354,-0.004881325,-0.8599128,11/23/2021 13:01:42,Yes,ybf,Female,20,No,Not at all,Some experience,4,7,3,2
