ExperimentType,ExpID,FolderID,GameObj,Focus,EyeDx,EyeDy,EyeDz,EyeOx,EyeOy,EyeOz,IsValid,LeftBlinking,RightBlinking,GameTime,ConvergenceDistance,ConvergenceDistanceIsValid,LocalTime,GameObjPx,GameObjPy,GameObjPz,CamPx,CamPy,CamPz,LocalCamPx,LocalCamPy,LocalCamPz,CamRx,CamRy,CamRz,CamRw,LocalCamRx,LocalCamRy,LocalCamRz,LocalCamRw,Timestamp,AreYouHappyToBePartOfOurExperiment,ExperimentID,Gender,AgeGroup,DoYouEncounterColourBlindness,GamingExperienceHowOftenDoYouPlayComputerGamesPCConsolemobile,ExperienceWithVirtualReality,Arrowsscene1HelpedMeToExploreTheEnvironment,Avatarsscene2HelpedMeToExploreTheEnvironment,ArrowsDistractMyAttention,AvatarsDistractMyAttention
Arrows,1,ybf,MainArrow,FocusIn,-0.02604675,0.3176727,0.9478302,-0.02920664,0.01159444,-0.02447159,True,False,False,0.8246759,1.322223,True,12:50:48 PM,162.1833,196.053,-287.0803,161.1671,195.5996,-287.576,-3.472914,-0.3604214,1.414,0.1126022,-0.5191389,-0.03550617,-0.8464957,0.1126022,-0.5191389,-0.03550617,-0.8464957,11/23/2021 13:01:42,Yes,ybf,Female,20,No,Not at all,Some experience,4,7,3,2
Arrows,1,ybf,MainArrow,FocusOut,-0.02729797,0.2896729,0.9567261,-0.02950121,0.01122112,-0.02439876,True,False,False,0.8591952,0.2408841,True,12:50:48 PM,162.1549,196.13,-287.0989,161.1652,195.6045,-287.5777,-3.474777,-0.3555489,1.41225,0.1386115,-0.518239,-0.05488288,-0.842142,0.1386115,-0.518239,-0.05488288,-0.842142,11/23/2021 13:01:42,Yes,ybf,Female,20,No,Not at all,Some experience,4,7,3,2
Arrows,1,ybf,MainArrow,FocusIn,-0.04092407,0.2414093,0.9695587,-0.02977768,0.01014713,-0.02429456,True,False,False,0.9579977,0.2682838,True,12:50:48 PM,162.114,196.2341,-287.1603,161.1569,195.6095,-287.5837,-3.483108,-0.3505394,1.406264,0.1692094,-0.5304492,-0.07922222,-0.826871,0.1692094,-0.5304492,-0.07922222,-0.826871,11/23/2021 13:01:42,Yes,ybf,Female,20,No,Not at all,Some experience,4,7,3,2
Arrows,1,ybf,MainArrow,FocusOut,-0.06416321,0.1924591,0.9792023,-0.02395639,0.009592591,-0.02450974,True,False,False,1.051156,0.1155821,True,12:50:48 PM,162.0675,196.3443,-287.2546,161.1482,195.6177,-287.5905,-3.49176,-0.3422859,1.399523,0.2083957,-0.5496475,-0.1158918,-0.8006422,0.2083957,-0.5496475,-0.1158918,-0.8006422,11/23/2021 13:01:42,Yes,ybf,Female,20,No,Not at all,Some experience,4,7,3,2
Arrows,1,ybf,MainArrow,FocusIn,-0.08331299,0.177597,0.9805603,-0.02834461,0.009462083,-0.02438347,True,False,False,1.117795,0.6220948,True,12:50:48 PM,162.0275,196.4033,-287.3,161.1402,195.6209,-287.595,-3.49975,-0.3391187,1.395,0.2246821,-0.5588976,-0.1367693,-0.7864132,0.2246821,-0.5588976,-0.1367693,-0.7864132,11/23/2021 13:01:42,Yes,ybf,Female,20,No,Not at all,Some experience,4,7,3,2
Arrows,1,ybf,MainArrow,FocusOut,-0.07928467,0.1727295,0.9817657,-0.02596707,0.009188981,-0.02440058,True,False,False,1.129077,0.1,True,12:50:48 PM,162.0234,196.4093,-287.308,161.1394,195.6211,-287.5957,-3.500606,-0.3389297,1.394253,0.2266943,-0.5611145,-0.1386672,-0.7839206,0.2266943,-0.5611145,-0.1386672,-0.7839206,11/23/2021 13:01:42,Yes,ybf,Female,20,No,Not at all,Some experience,4,7,3,2
Arrows,1,ybf,MainArrow,FocusIn,-0.09016418,0.1604614,0.9829102,-0.02888381,0.009653306,-0.02450054,True,False,False,1.206728,1.611522,True,12:50:48 PM,162.006,196.4456,-287.3823,161.1339,195.6229,-287.6021,-3.506092,-0.3371375,1.387881,0.2356782,-0.5861192,-0.1574069,-0.7590408,0.2356782,-0.5861192,-0.1574069,-0.7590408,11/23/2021 13:01:42,Yes,ybf,Female,20,No,Not at all,Some experience,4,7,3,2
Arrows,1,ybf,MainArrow,FocusOut,-0.06088257,0.1808624,0.9816132,-0.0009397736,0.00714148,-0.02570807,True,False,False,1.307233,2.727224,True,12:50:48 PM,161.9915,196.4764,-287.5009,161.1269,195.6245,-287.6094,-3.513127,-0.3354927,1.380568,0.2480024,-0.6207101,-0.1684153,-0.7244654,0.2480024,-0.6207101,-0.1684153,-0.7244654,11/23/2021 13:01:42,Yes,ybf,Female,20,No,Not at all,Some experience,4,7,3,2
Arrows,1,ybf,MainArrow,FocusIn,0.08656311,0.1847992,0.9789429,-0.02985774,0.009876038,-0.02447505,True,False,False,1.340798,0.3068237,True,12:50:48 PM,161.9858,196.4842,-287.5381,161.1245,195.6251,-287.6113,-3.515453,-0.3349049,1.378711,0.2501094,-0.6327744,-0.173463,-0.712006,0.2501094,-0.6327744,-0.173463,-0.712006,11/23/2021 13:01:42,Yes,ybf,Female,20,No,Not at all,Some experience,4,7,3,2
Arrows,1,ybf,MainArrow,FocusOut,0.09841919,-0.2509918,0.9629669,-0.001021576,0.004944428,-0.02551177,True,False,False,2.379632,0.6892377,True,12:50:49 PM,160.8374,196.4092,-288.5462,161.0907,195.6192,-287.6545,-3.549303,-0.3407897,1.335511,0.02456031,-0.9578807,-0.2658966,0.1056431,0.02456031,-0.9578807,-0.2658966,0.1056431,11/23/2021 13:01:42,Yes,ybf,Female,20,No,Not at all,Some experience,4,7,3,2
