ExperimentType,ExpID,FolderID,GameObj,Focus,EyeDx,EyeDy,EyeDz,EyeOx,EyeOy,EyeOz,IsValid,LeftBlinking,RightBlinking,GameTime,ConvergenceDistance,ConvergenceDistanceIsValid,LocalTime,GameObjPx,GameObjPy,GameObjPz,CamPx,CamPy,CamPz,LocalCamPx,LocalCamPy,LocalCamPz,CamRx,CamRy,CamRz,CamRw,LocalCamRx,LocalCamRy,LocalCamRz,LocalCamRw,Timestamp,AreYouHappyToBePartOfOurExperiment,ExperimentID,Gender,AgeGroup,DoYouEncounterColourBlindness,GamingExperienceHowOftenDoYouPlayComputerGamesPCConsolemobile,ExperienceWithVirtualReality,Arrowsscene1HelpedMeToExploreTheEnvironment,Avatarsscene2HelpedMeToExploreTheEnvironment,ArrowsDistractMyAttention,AvatarsDistractMyAttention
Avatars,1,ybf,claire,FocusIn,-0.2849884,-0.2613678,0.9221954,0.03274132,0.001149277,-0.02805379,True,False,False,1.175026,1.109373,True,12:46:00 PM,161.7032,193.7034,-281.8438,160.1584,195.5879,-289.8889,-4.481601,-0.3721277,-0.8989502,0.03667388,-0.2051924,0.0397284,-0.9772272,0.03667388,-0.2051924,0.0397284,-0.9772272,11/23/2021 13:01:42,Yes,ybf,Female,20,No,Not at all,Some experience,4,7,3,2
Avatars,1,ybf,claire,FocusOut,-0.3667603,-0.2874451,0.8847809,0.03317398,0.001015121,-0.02826402,True,False,False,1.190583,0.881216,True,12:46:00 PM,161.6868,193.7034,-281.8406,160.1572,195.5872,-289.8883,-4.482838,-0.3727499,-0.8983501,0.03296078,-0.1968108,0.04006076,-0.9790681,0.03296078,-0.1968108,0.04006076,-0.9790681,11/23/2021 13:01:42,Yes,ybf,Female,20,No,Not at all,Some experience,4,7,3,2
Avatars,1,ybf,OilPaint_4281599152_vrexplore1_5075,FocusIn,-0.3667603,-0.2874451,0.8847809,0.03317398,0.001015121,-0.02826402,True,False,False,1.190583,0.881216,True,12:46:00 PM,173,183.5142,-299.6,160.1572,195.5872,-289.8883,-4.482838,-0.3727499,-0.8983501,0.03296078,-0.1968108,0.04006076,-0.9790681,0.03296078,-0.1968108,0.04006076,-0.9790681,11/23/2021 13:01:42,Yes,ybf,Female,20,No,Not at all,Some experience,4,7,3,2
Avatars,1,ybf,OilPaint_4281599152_vrexplore1_5075,FocusOut,-0.03825378,-0.1266174,0.9912109,0.03120516,0.001847595,-0.02798821,True,False,False,1.413517,2.740224,True,12:46:00 PM,173,183.5142,-299.6,160.1389,195.58,-289.8811,-4.501076,-0.380007,-0.8910824,-0.002711032,-0.08479685,0.04509548,-0.9953736,-0.002711032,-0.08479685,0.04509548,-0.9953736,11/23/2021 13:01:42,Yes,ybf,Female,20,No,Not at all,Some experience,4,7,3,2
Avatars,1,ybf,claire,FocusIn,-0.03825378,-0.1266174,0.9912109,0.03120516,0.001847595,-0.02798821,True,False,False,1.413517,2.740224,True,12:46:00 PM,161.4662,193.7034,-281.7977,160.1389,195.58,-289.8811,-4.501076,-0.380007,-0.8910824,-0.002711032,-0.08479685,0.04509548,-0.9953736,-0.002711032,-0.08479685,0.04509548,-0.9953736,11/23/2021 13:01:42,Yes,ybf,Female,20,No,Not at all,Some experience,4,7,3,2
Avatars,1,ybf,claire,FocusOut,-0.04870605,0.01144409,0.9987335,0.01836461,0.003192856,-0.02733418,True,False,False,3.699831,0.7629173,True,12:46:02 PM,159.222,193.7034,-281.362,160.2146,195.55,-289.4093,-4.425421,-0.4099593,-0.4193127,-0.1063333,0.04496568,0.04322714,-0.9923723,-0.1063333,0.04496568,0.04322714,-0.9923723,11/23/2021 13:01:42,Yes,ybf,Female,20,No,Not at all,Some experience,4,7,3,2
Avatars,1,ybf,OilPaint_4278229590_vrexplore1_5069,FocusIn,-0.04870605,0.01144409,0.9987335,0.01836461,0.003192856,-0.02733418,True,False,False,3.699831,0.7629173,True,12:46:02 PM,173,183.5142,-299.6,160.2146,195.55,-289.4093,-4.425421,-0.4099593,-0.4193127,-0.1063333,0.04496568,0.04322714,-0.9923723,-0.1063333,0.04496568,0.04322714,-0.9923723,11/23/2021 13:01:42,Yes,ybf,Female,20,No,Not at all,Some experience,4,7,3,2
Avatars,1,ybf,OilPaint_4278229590_vrexplore1_5069,FocusOut,0.08094788,0.01264954,0.9966278,-0.0266023,0.007275071,-0.02645586,True,False,False,4.394474,0.8918707,True,12:46:03 PM,173,183.5142,-299.6,160.24,195.547,-289.0449,-4.399993,-0.4129565,-0.05493826,-0.1358694,0.05297348,0.06233416,-0.9873438,-0.1358694,0.05297348,0.06233416,-0.9873438,11/23/2021 13:01:42,Yes,ybf,Female,20,No,Not at all,Some experience,4,7,3,2
Avatars,1,ybf,OilPaint_4281599152_vrexplore1_5060,FocusIn,0.08094788,0.01264954,0.9966278,-0.0266023,0.007275071,-0.02645586,True,False,False,4.394474,0.8918707,True,12:46:03 PM,173,183.5142,-299.6,160.24,195.547,-289.0449,-4.399993,-0.4129565,-0.05493826,-0.1358694,0.05297348,0.06233416,-0.9873438,-0.1358694,0.05297348,0.06233416,-0.9873438,11/23/2021 13:01:42,Yes,ybf,Female,20,No,Not at all,Some experience,4,7,3,2
Avatars,1,ybf,OilPaint_4281599152_vrexplore1_5060,FocusOut,0.03599548,-0.1460571,0.9886169,0.02985098,0.001655273,-0.02837979,True,False,False,4.66432,0.7835733,True,12:46:03 PM,173,183.5142,-299.6,160.3184,195.53,-288.9434,-4.321639,-0.4300609,0.04655844,-0.1703491,-0.1491105,0.0666216,-0.9717556,-0.1703491,-0.1491105,0.0666216,-0.9717556,11/23/2021 13:01:42,Yes,ybf,Female,20,No,Not at all,Some experience,4,7,3,2
Avatars,1,ybf,Ch22_lady_Walk,FocusIn,0.03599548,-0.1460571,0.9886169,0.02985098,0.001655273,-0.02837979,True,False,False,4.66432,0.7835733,True,12:46:03 PM,161.1412,193.445,-287.9646,160.3184,195.53,-288.9434,-4.321639,-0.4300609,0.04655844,-0.1703491,-0.1491105,0.0666216,-0.9717556,-0.1703491,-0.1491105,0.0666216,-0.9717556,11/23/2021 13:01:42,Yes,ybf,Female,20,No,Not at all,Some experience,4,7,3,2
Avatars,1,ybf,Ch22_lady_Walk,FocusOut,-0.4034576,-0.208313,0.8909607,0.01441412,0.00230101,-0.02926476,True,False,False,6.245419,0.2774678,True,12:46:05 PM,159.6252,193.4416,-287.5202,160.2065,195.5277,-288.9907,-4.433455,-0.4322734,-0.0007355213,-0.2505762,0.2663242,-0.01846503,-0.9305601,-0.2505762,0.2663242,-0.01846503,-0.9305601,11/23/2021 13:01:42,Yes,ybf,Female,20,No,Not at all,Some experience,4,7,3,2
Avatars,1,ybf,OilPaint_4279477273_vrexplore1_5037,FocusIn,-0.4034576,-0.208313,0.8909607,0.01441412,0.00230101,-0.02926476,True,False,False,6.245419,0.2774678,True,12:46:05 PM,173,183.5142,-299.6,160.2065,195.5277,-288.9907,-4.433455,-0.4322734,-0.0007355213,-0.2505762,0.2663242,-0.01846503,-0.9305601,-0.2505762,0.2663242,-0.01846503,-0.9305601,11/23/2021 13:01:42,Yes,ybf,Female,20,No,Not at all,Some experience,4,7,3,2
Avatars,1,ybf,OilPaint_4279477273_vrexplore1_5037,FocusOut,-0.2098846,-0.07330322,0.9749603,0.02185318,0.002497284,-0.02909899,True,False,False,6.954506,0.4674992,True,12:46:05 PM,173,183.5142,-299.6,160.1937,195.5219,-289.0395,-4.446293,-0.4381037,-0.04946178,-0.2293708,0.4606662,-0.07791946,-0.8538761,-0.2293708,0.4606662,-0.07791946,-0.8538761,11/23/2021 13:01:42,Yes,ybf,Female,20,No,Not at all,Some experience,4,7,3,2
Avatars,1,ybf,OilPaint_4278229590_vrexplore1_6075,FocusIn,-0.2098846,-0.07330322,0.9749603,0.02185318,0.002497284,-0.02909899,True,False,False,6.954506,0.4674992,True,12:46:05 PM,173,183.5142,-299.6,160.1937,195.5219,-289.0395,-4.446293,-0.4381037,-0.04946178,-0.2293708,0.4606662,-0.07791946,-0.8538761,-0.2293708,0.4606662,-0.07791946,-0.8538761,11/23/2021 13:01:42,Yes,ybf,Female,20,No,Not at all,Some experience,4,7,3,2
Avatars,1,ybf,OilPaint_4278229590_vrexplore1_6075,FocusOut,-0.2285309,-0.08511353,0.9698029,0.03276076,0.001494019,-0.02992287,True,False,False,7.50645,0.5356344,True,12:46:06 PM,173,183.5142,-299.6,160.0425,195.532,-289.0693,-4.597535,-0.427969,-0.07930869,-0.1659841,0.7572234,-0.1156703,-0.6210334,-0.1659841,0.7572234,-0.1156703,-0.6210334,11/23/2021 13:01:42,Yes,ybf,Female,20,No,Not at all,Some experience,4,7,3,2
Avatars,1,ybf,OilPaint_4279477273_vrexplore1_5030,FocusIn,-0.2285309,-0.08511353,0.9698029,0.03276076,0.001494019,-0.02992287,True,False,False,7.50645,0.5356344,True,12:46:06 PM,173,183.5142,-299.6,160.0425,195.532,-289.0693,-4.597535,-0.427969,-0.07930869,-0.1659841,0.7572234,-0.1156703,-0.6210334,-0.1659841,0.7572234,-0.1156703,-0.6210334,11/23/2021 13:01:42,Yes,ybf,Female,20,No,Not at all,Some experience,4,7,3,2
Avatars,1,ybf,OilPaint_4279477273_vrexplore1_5030,FocusOut,-0.3429871,-0.02963257,0.938858,0.03077229,0.001863358,-0.03001576,True,False,False,7.543497,0.5386307,True,12:46:06 PM,173,183.5142,-299.6,160.0349,195.5363,-289.0703,-4.605084,-0.4237223,-0.08026588,-0.1553275,0.7824042,-0.1145267,-0.5921155,-0.1553275,0.7824042,-0.1145267,-0.5921155,11/23/2021 13:01:42,Yes,ybf,Female,20,No,Not at all,Some experience,4,7,3,2
