ExperimentType,ExpID,FolderID,EyeDx,EyeDy,EyeDz,EyeOx,EyeOy,EyeOz,IsValid,LeftBlinking,RightBlinking,GameTime,ConvergenceDistance,ConvergenceDistanceIsValid,LocalTime,CamPx,CamPy,CamPz,LocalCamPx,LocalCamPy,LocalCamPz,CamRx,CamRy,CamRz,CamRw,LocalCamRx,LocalCamRy,LocalCamRz,LocalCamRw,Timestamp,AreYouHappyToBePartOfOurExperiment,ExperimentID,Gender,AgeGroup,DoYouEncounterColourBlindness,GamingExperienceHowOftenDoYouPlayComputerGamesPCConsolemobile,ExperienceWithVirtualReality,Arrowsscene1HelpedMeToExploreTheEnvironment,Avatarsscene2HelpedMeToExploreTheEnvironment,ArrowsDistractMyAttention,AvatarsDistractMyAttention
Arrows,1,iys,0.2999268,0.2487793,0.9209442,-0.03400525,-0.007559311,-0.03339191,True,False,False,0,0,False,04:55:29 PM,158.96,193.96,-286.82,0,0,0,0.03579477,-0.5167606,0.02163157,0.8551078,0,0,0,1,11/25/2021 17:02:06,Yes,iys,Male,20,No,Once a week,No experience,9,4,6,8
Arrows,1,iys,0.1887817,0.4143219,0.8903198,-0.03393341,-0.008028367,-0.03128031,True,False,False,0.02,0,False,04:55:29 PM,158.96,193.96,-286.82,0,0,0,0.03579477,-0.5167606,0.02163157,0.8551078,0,0,0,1,11/25/2021 17:02:06,Yes,iys,Male,20,No,Once a week,No experience,9,4,6,8
Arrows,1,iys,-0.0736084,0.07762146,0.9942474,-0.03090132,-0.005612793,-0.03436539,True,True,False,0.3533334,0,False,04:55:30 PM,160.3333,196.4474,-286.9163,0.5532844,2.373334,-1.464046,-0.121619,0.9817911,0.04530076,-0.1387192,-0.05438455,0.7721049,0.06944264,-0.6293442,11/25/2021 17:02:06,Yes,iys,Male,20,No,Once a week,No experience,9,4,6,8
Arrows,1,iys,-0.09179688,-0.03862,0.9950256,-0.03088246,-0.005906327,-0.03357692,True,True,False,0.429884,0,False,04:55:30 PM,160.3351,196.4514,-286.8976,0.5706816,2.377925,-1.457321,-0.1012799,0.979865,0.06224728,-0.1604135,-0.02750027,0.7594137,0.07396154,-0.6458052,11/25/2021 17:02:06,Yes,iys,Male,20,No,Once a week,No experience,9,4,6,8
Arrows,1,iys,-0.09094238,0.04870605,0.9946594,-0.03088451,-0.005827347,-0.03377625,True,True,False,0.4590083,0,False,04:55:30 PM,160.3392,196.4533,-286.8944,0.5753829,2.379655,-1.45958,-0.101206,0.9821185,0.06961385,-0.1426702,-0.0242167,0.7707718,0.07975807,-0.6316353,11/25/2021 17:02:06,Yes,iys,Male,20,No,Once a week,No experience,9,4,6,8
Arrows,1,iys,-0.03840637,-0.03909302,0.9984894,-0.0308705,-0.00613884,-0.03299112,True,True,False,0.4790744,0,False,04:55:30 PM,160.3441,196.4549,-286.8929,0.5790567,2.380897,-1.463332,-0.09995753,0.9847553,0.07341338,-0.121968,-0.02186969,0.7838336,0.08181974,-0.6151685,11/25/2021 17:02:06,Yes,iys,Male,20,No,Once a week,No experience,9,4,6,8
Arrows,1,iys,-0.03451538,0.08596802,0.995697,-0.03083615,-0.006016052,-0.03316254,True,True,False,0.5006505,0,False,04:55:30 PM,160.3462,196.4556,-286.8925,0.5803909,2.381472,-1.465093,-0.09937372,0.9857207,0.07504773,-0.1133468,-0.02081362,0.7891601,0.08269455,-0.6082391,11/25/2021 17:02:06,Yes,iys,Male,20,No,Once a week,No experience,9,4,6,8
Arrows,1,iys,-0.05963135,0.05686951,0.9965973,-0.03059314,-0.005954437,-0.03347196,True,False,False,0.513474,0,False,04:55:30 PM,160.3514,196.4574,-286.8919,0.5833249,2.382881,-1.46956,-0.09814142,0.987851,0.07895727,-0.0910188,-0.01849272,0.8026333,0.08484158,-0.5901183,11/25/2021 17:02:06,Yes,iys,Male,20,No,Once a week,No experience,9,4,6,8
Arrows,1,iys,-0.0735321,0.1008301,0.9921722,-0.03023518,-0.005500366,-0.0343065,True,False,False,0.5249255,0,False,04:55:30 PM,160.3544,196.4583,-286.8915,0.5849967,2.383583,-1.472086,-0.09762669,0.9888466,0.08081234,-0.0782364,-0.01752994,0.8101454,0.08584973,-0.579644,11/25/2021 17:02:06,Yes,iys,Male,20,No,Once a week,No experience,9,4,6,8
Arrows,1,iys,-0.1122589,0.09628296,0.9889984,-0.0295029,-0.005675644,-0.03406087,True,True,False,0.5372217,0,False,04:55:30 PM,160.3613,196.4602,-286.891,0.5887103,2.385029,-1.47811,-0.0963501,0.9906507,0.08416529,-0.04737407,-0.01577134,0.8277289,0.08732499,-0.5540674,11/25/2021 17:02:06,Yes,iys,Male,20,No,Once a week,No experience,9,4,6,8
