ExperimentType,ExpID,FolderID,GameObj,Focus,EyeDx,EyeDy,EyeDz,EyeOx,EyeOy,EyeOz,IsValid,LeftBlinking,RightBlinking,GameTime,ConvergenceDistance,ConvergenceDistanceIsValid,LocalTime,GameObjPx,GameObjPy,GameObjPz,CamPx,CamPy,CamPz,LocalCamPx,LocalCamPy,LocalCamPz,CamRx,CamRy,CamRz,CamRw,LocalCamRx,LocalCamRy,LocalCamRz,LocalCamRw,Timestamp,AreYouHappyToBePartOfOurExperiment,ExperimentID,Gender,AgeGroup,DoYouEncounterColourBlindness,GamingExperienceHowOftenDoYouPlayComputerGamesPCConsolemobile,ExperienceWithVirtualReality,Arrowsscene1HelpedMeToExploreTheEnvironment,Avatarsscene2HelpedMeToExploreTheEnvironment,ArrowsDistractMyAttention,AvatarsDistractMyAttention
Arrows,1,iys,SoftHighlighter_4280844566_vrexplore1_3850,FocusIn,-0.0736084,0.07762146,0.9942474,-0.03090132,-0.005612793,-0.03436539,True,True,False,0.3533334,0,False,04:55:30 PM,173,183.5142,-299.6,160.3333,196.4474,-286.9163,0.5532844,2.373334,-1.464046,-0.121619,0.9817911,0.04530076,-0.1387192,-0.05438455,0.7721049,0.06944264,-0.6293442,11/25/2021 17:02:06,Yes,iys,Male,20,No,Once a week,No experience,9,4,6,8
Arrows,1,iys,SoftHighlighter_4280844566_vrexplore1_3850,FocusOut,-0.1584625,-0.06167603,0.9854279,-0.02925824,-0.005862381,-0.03379022,True,True,False,0.5498393,0,False,04:55:30 PM,173,183.5142,-299.6,160.3652,196.4613,-286.8906,0.5908835,2.385799,-1.481437,-0.09572834,0.9912505,0.08589089,-0.02968839,-0.01496802,0.8374293,0.08807523,-0.5391946,11/25/2021 17:02:06,Yes,iys,Male,20,No,Once a week,No experience,9,4,6,8
Arrows,1,iys,SoftHighlighter_4282652289_vrexplore1_3780,FocusIn,-0.1843719,-0.06480408,0.9807129,-0.02998572,-0.006015595,-0.03383835,True,True,False,0.5872495,0,False,04:55:30 PM,173,183.5142,-299.6,160.3774,196.4639,-286.8889,0.5979981,2.387633,-1.491654,-0.0964023,0.9906418,0.09257054,0.02768025,-0.01415922,0.8668084,0.09291613,-0.4897033,11/25/2021 17:02:06,Yes,iys,Male,20,No,Once a week,No experience,9,4,6,8
Arrows,1,iys,SoftHighlighter_4282652289_vrexplore1_3780,FocusOut,0.07899475,0.02175903,0.9966278,-0.03100595,-0.008799897,-0.02631618,True,True,False,0.6232449,0,False,04:55:30 PM,173,183.5142,-299.6,160.3885,196.4659,-286.886,0.6057239,2.388913,-1.500272,-0.09948389,0.9869912,0.09814938,0.07948732,-0.01584476,0.8907249,0.09828909,-0.4435058,11/25/2021 17:02:06,Yes,iys,Male,20,No,Once a week,No experience,9,4,6,8
Arrows,1,iys,MainArrow,FocusIn,0.07899475,0.02175903,0.9966278,-0.03100595,-0.008799897,-0.02631618,True,True,False,0.6232449,0,False,04:55:30 PM,160.4689,196.9114,-288.0179,160.3885,196.4659,-286.886,0.6057239,2.388913,-1.500272,-0.09948389,0.9869912,0.09814938,0.07948732,-0.01584476,0.8907249,0.09828909,-0.4435058,11/25/2021 17:02:06,Yes,iys,Male,20,No,Once a week,No experience,9,4,6,8
Arrows,1,iys,MainArrow,FocusOut,0.2647095,-0.03399658,0.9637146,-0.03295447,-0.005945405,-0.03367577,True,True,False,0.9188187,0,False,04:55:30 PM,161.0176,196.916,-287.8314,160.4256,196.466,-286.8663,0.6404295,2.38697,-1.523862,-0.08882393,0.9495627,0.07941774,0.2900585,-0.0247561,0.9666333,0.07354764,-0.2441268,11/25/2021 17:02:06,Yes,iys,Male,20,No,Once a week,No experience,9,4,6,8
Arrows,1,iys,OilPaint_4279739679_vrexplore1_4035,FocusIn,0.2647095,-0.03399658,0.9637146,-0.03295447,-0.005945405,-0.03367577,True,True,False,0.9188187,0,False,04:55:30 PM,173,183.5142,-299.6,160.4256,196.466,-286.8663,0.6404295,2.38697,-1.523862,-0.08882393,0.9495627,0.07941774,0.2900585,-0.0247561,0.9666333,0.07354764,-0.2441268,11/25/2021 17:02:06,Yes,iys,Male,20,No,Once a week,No experience,9,4,6,8
Arrows,1,iys,OilPaint_4279739679_vrexplore1_4035,FocusOut,0.230957,0.008178711,0.9729156,-0.03260703,-0.005969452,-0.03362134,True,True,False,0.9314556,0,False,04:55:30 PM,173,183.5142,-299.6,160.426,196.4659,-286.866,0.6409678,2.386878,-1.524092,-0.08829148,0.94876,0.07839167,0.2931107,-0.02495765,0.967476,0.07235779,-0.2411052,11/25/2021 17:02:06,Yes,iys,Male,20,No,Once a week,No experience,9,4,6,8
Arrows,1,iys,MainArrow,FocusIn,0.230957,0.008178711,0.9729156,-0.03260703,-0.005969452,-0.03362134,True,True,False,0.9314556,0,False,04:55:30 PM,161.0246,196.9129,-287.8284,160.426,196.4659,-286.866,0.6409678,2.386878,-1.524092,-0.08829148,0.94876,0.07839167,0.2931107,-0.02495765,0.967476,0.07235779,-0.2411052,11/25/2021 17:02:06,Yes,iys,Male,20,No,Once a week,No experience,9,4,6,8
Arrows,1,iys,MainArrow,FocusOut,0.1535339,-0.01106262,0.9880676,-0.03222061,-0.005974396,-0.03349752,True,True,False,0.9444534,0,False,04:55:30 PM,161.032,196.9107,-287.8247,160.4264,196.4657,-286.8656,0.6414723,2.386655,-1.524251,-0.08750291,0.9479878,0.07735026,0.2961071,-0.02494546,0.9683098,0.0710226,-0.2381382,11/25/2021 17:02:06,Yes,iys,Male,20,No,Once a week,No experience,9,4,6,8
