ExperimentType,ExpID,FolderID,EyeDx,EyeDy,EyeDz,EyeOx,EyeOy,EyeOz,IsValid,LeftBlinking,RightBlinking,GameTime,ConvergenceDistance,ConvergenceDistanceIsValid,LocalTime,CamPx,CamPy,CamPz,LocalCamPx,LocalCamPy,LocalCamPz,CamRx,CamRy,CamRz,CamRw,LocalCamRx,LocalCamRy,LocalCamRz,LocalCamRw,Timestamp,AreYouHappyToBePartOfOurExperiment,ExperimentID,Gender,AgeGroup,DoYouEncounterColourBlindness,GamingExperienceHowOftenDoYouPlayComputerGamesPCConsolemobile,ExperienceWithVirtualReality,Arrowsscene1HelpedMeToExploreTheEnvironment,Avatarsscene2HelpedMeToExploreTheEnvironment,ArrowsDistractMyAttention,AvatarsDistractMyAttention
Arrows,1,qpp,-0.06530762,-0.2378845,0.9690857,0.009647172,0.004825546,-0.04062262,True,False,False,0,0.1,True,05:15:37 PM,158.96,193.96,-286.82,0,0,0,0.03579477,-0.5167606,0.02163157,0.8551078,0,0,0,1,11/25/2021 17:22:03,Yes,qpp,Male,20,No,Once a day,Some experience,4,7,4,6
Arrows,1,qpp,-0.06443787,-0.2540131,0.9650421,0.006364167,0.004506653,-0.04013452,True,False,False,0.02,0.1,True,05:15:37 PM,158.96,193.96,-286.82,0,0,0,0.03579477,-0.5167606,0.02163157,0.8551078,0,0,0,1,11/25/2021 17:22:03,Yes,qpp,Male,20,No,Once a day,Some experience,4,7,4,6
Arrows,1,qpp,0,0,1,0,0,0,False,False,False,0.3533334,0.1,False,05:15:37 PM,160.3429,196.4118,-287.0462,0.4427404,2.332137,-1.52972,-0.03194433,0.9392608,0.1079722,0.3242081,0.03719267,0.9752629,0.06820168,-0.206948,11/25/2021 17:22:03,Yes,qpp,Male,20,No,Once a day,Some experience,4,7,4,6
Arrows,1,qpp,-0.05038452,-0.05393982,0.9972687,0.03241982,0.004658096,-0.03289993,True,False,False,0.4100581,0.1,False,05:15:37 PM,160.3497,196.4115,-287.05,0.4425561,2.331167,-1.537519,-0.02838604,0.9387108,0.103149,0.3276838,0.03760665,0.9763392,0.06218305,-0.2036686,11/25/2021 17:22:03,Yes,qpp,Male,20,No,Once a day,Some experience,4,7,4,6
Arrows,1,qpp,-0.09439087,-0.1501007,0.9841461,0.009026947,0.005021332,-0.03826897,True,False,False,0.425108,0.1,True,05:15:37 PM,160.3501,196.4115,-287.0499,0.4428251,2.331085,-1.537752,-0.02758239,0.9386744,0.1023758,0.328099,0.03787865,0.9764775,0.06109892,-0.2032828,11/25/2021 17:22:03,Yes,qpp,Male,20,No,Once a day,Some experience,4,7,4,6
Arrows,1,qpp,-0.1027374,-0.1597748,0.981781,0.007046509,0.004854691,-0.03803851,True,False,False,0.4367926,0.1,True,05:15:37 PM,160.3502,196.4115,-287.0499,0.4428616,2.331151,-1.537845,-0.02776235,0.9386117,0.1026055,0.3281914,0.0378388,0.9764838,0.06138857,-0.2031728,11/25/2021 17:22:03,Yes,qpp,Male,20,No,Once a day,Some experience,4,7,4,6
Arrows,1,qpp,-0.09046936,-0.1406403,0.9859161,0.00754535,0.004899628,-0.03815018,True,False,False,0.446319,0.1,True,05:15:37 PM,160.3502,196.4116,-287.0498,0.4429414,2.331238,-1.537877,-0.02815957,0.9384355,0.1030982,0.3285068,0.03773862,0.9765223,0.06201461,-0.2028155,11/25/2021 17:22:03,Yes,qpp,Male,20,No,Once a day,Some experience,4,7,4,6
Arrows,1,qpp,-0.08268738,-0.2794342,0.9565887,0.008857559,0.00449791,-0.0336713,True,False,False,0.4582016,0.1,True,05:15:37 PM,160.3503,196.4117,-287.0498,0.4429767,2.331294,-1.537914,-0.02835613,0.9382441,0.1033242,0.3289653,0.03766681,0.9766079,0.0623064,-0.2023267,11/25/2021 17:22:03,Yes,qpp,Male,20,No,Once a day,Some experience,4,7,4,6
Arrows,1,qpp,-0.09146118,-0.3132782,0.9452362,-0.03167628,0.001627655,-0.03423702,True,False,False,0.4696077,0.1,True,05:15:37 PM,160.3503,196.4117,-287.0497,0.4431312,2.331283,-1.537892,-0.02867122,0.938112,0.1033448,0.3293082,0.03739286,0.9766797,0.06248413,-0.201976,11/25/2021 17:22:03,Yes,qpp,Male,20,No,Once a day,Some experience,4,7,4,6
Arrows,1,qpp,-0.09681702,-0.3118744,0.9451599,-0.03167897,0.001613983,-0.03419847,True,False,False,0.4806213,0.1,True,05:15:38 PM,160.3504,196.4117,-287.0495,0.4433,2.331301,-1.537879,-0.02881865,0.9379979,0.1031196,0.3296906,0.03713426,0.9767749,0.06236355,-0.2016003,11/25/2021 17:22:03,Yes,qpp,Male,20,No,Once a day,Some experience,4,7,4,6
Arrows,1,qpp,-0.09924316,-0.3076935,0.9462891,-0.03168039,0.001599777,-0.03415558,True,False,False,0.4929208,0.1,True,05:15:38 PM,160.3504,196.4116,-287.0494,0.4433951,2.331249,-1.537844,-0.02888365,0.9379101,0.1028627,0.3300148,0.03693242,0.9768596,0.0621736,-0.2012856,11/25/2021 17:22:03,Yes,qpp,Male,20,No,Once a day,Some experience,4,7,4,6
Arrows,1,qpp,-0.09313965,-0.3192596,0.9430695,-0.0316834,0.001586639,-0.03412836,True,False,False,0.50367,0.1,True,05:15:38 PM,160.3504,196.4116,-287.0493,0.44347,2.331239,-1.537834,-0.02898964,0.9378231,0.1026128,0.3303303,0.03669951,0.9769416,0.06201102,-0.2009801,11/25/2021 17:22:03,Yes,qpp,Male,20,No,Once a day,Some experience,4,7,4,6
Arrows,1,qpp,-0.08924866,-0.3271637,0.9407349,-0.031685,0.001587708,-0.03414404,True,False,False,0.5146126,0.2167784,True,05:15:38 PM,160.3505,196.4116,-287.0493,0.4434838,2.331221,-1.537846,-0.02932897,0.9377798,0.1025147,0.3304539,0.03635327,0.9769722,0.06210136,-0.2008662,11/25/2021 17:22:03,Yes,qpp,Male,20,No,Once a day,Some experience,4,7,4,6
Arrows,1,qpp,-0.08589172,-0.3291321,0.9403534,-0.0316834,0.00158786,-0.03414768,True,False,False,0.5253158,0.1,True,05:15:38 PM,160.3504,196.4116,-287.0493,0.4435256,2.331234,-1.537812,-0.02936495,0.9377592,0.1025563,0.3304964,0.03634201,0.9769788,0.06215529,-0.2008196,11/25/2021 17:22:03,Yes,qpp,Male,20,No,Once a day,Some experience,4,7,4,6
Arrows,1,qpp,-0.08248901,-0.3268585,0.941452,-0.0316834,0.001590531,-0.03414768,True,False,False,0.5370216,0.1,True,05:15:38 PM,160.3504,196.4116,-287.0492,0.4436235,2.331237,-1.537762,-0.02947135,0.937716,0.1026426,0.3305824,0.03629165,0.9769918,0.06228381,-0.2007257,11/25/2021 17:22:03,Yes,qpp,Male,20,No,Once a day,Some experience,4,7,4,6
