ExperimentType,ExpID,FolderID,GameObj,Focus,EyeDx,EyeDy,EyeDz,EyeOx,EyeOy,EyeOz,IsValid,LeftBlinking,RightBlinking,GameTime,ConvergenceDistance,ConvergenceDistanceIsValid,LocalTime,GameObjPx,GameObjPy,GameObjPz,CamPx,CamPy,CamPz,LocalCamPx,LocalCamPy,LocalCamPz,CamRx,CamRy,CamRz,CamRw,LocalCamRx,LocalCamRy,LocalCamRz,LocalCamRw,Timestamp,AreYouHappyToBePartOfOurExperiment,ExperimentID,Gender,AgeGroup,DoYouEncounterColourBlindness,GamingExperienceHowOftenDoYouPlayComputerGamesPCConsolemobile,ExperienceWithVirtualReality,Arrowsscene1HelpedMeToExploreTheEnvironment,Avatarsscene2HelpedMeToExploreTheEnvironment,ArrowsDistractMyAttention,AvatarsDistractMyAttention
Arrows,1,qpp,OilPaint_4279739679_vrexplore1_3910,FocusIn,0.2165833,-0.2386322,0.94664,-0.03206935,0.001293213,-0.03470781,True,False,False,0.8136784,0.6777636,True,05:15:38 PM,173,183.5142,-299.6,160.3461,196.4119,-287.045,0.4453304,2.331999,-1.532015,-0.03104319,0.9390696,0.1020574,0.3267553,0.03481138,0.9761845,0.06262994,-0.2047667,11/25/2021 17:22:03,Yes,qpp,Male,20,No,Once a day,Some experience,4,7,4,6
Arrows,1,qpp,OilPaint_4279739679_vrexplore1_3910,FocusOut,0,0,1,0,0,0,False,False,False,0.9765351,0.1,False,05:15:38 PM,173,183.5142,-299.6,160.3433,196.4118,-287.043,0.4457161,2.332182,-1.528612,-0.03007501,0.939573,0.1015493,0.3255547,0.03543059,0.9759555,0.06170309,-0.2060299,11/25/2021 17:22:03,Yes,qpp,Male,20,No,Once a day,Some experience,4,7,4,6
Arrows,1,qpp,OilPaint_4282123404_vrexplore1_5214,FocusIn,0.22435,-0.1925659,0.9552765,0.03073676,0.006471161,-0.03328568,True,False,False,1.228608,0.1,False,05:15:38 PM,173,183.5142,-299.6,160.3331,196.4118,-287.0421,0.4418488,2.332984,-1.519151,-0.02841043,0.9446466,0.1008313,0.3109161,0.03711667,0.9726676,0.06036398,-0.2211252,11/25/2021 17:22:03,Yes,qpp,Male,20,No,Once a day,Some experience,4,7,4,6
Arrows,1,qpp,OilPaint_4282123404_vrexplore1_5214,FocusOut,0.2192688,-0.1893311,0.9571075,0.03073634,0.006465943,-0.03326711,True,False,False,1.240602,0.1,False,05:15:38 PM,173,183.5142,-299.6,160.3325,196.4118,-287.0421,0.4415462,2.333003,-1.518639,-0.02832453,0.9450219,0.100936,0.3097474,0.03729418,0.9723864,0.06042096,-0.2223132,11/25/2021 17:22:03,Yes,qpp,Male,20,No,Once a day,Some experience,4,7,4,6
Arrows,1,qpp,OilPaint_4282123404_vrexplore1_5983,FocusIn,0.2192688,-0.1893311,0.9571075,0.03073634,0.006465943,-0.03326711,True,False,False,1.240602,0.1,False,05:15:38 PM,173,183.5142,-299.6,160.3325,196.4118,-287.0421,0.4415462,2.333003,-1.518639,-0.02832453,0.9450219,0.100936,0.3097474,0.03729418,0.9723864,0.06042096,-0.2223132,11/25/2021 17:22:03,Yes,qpp,Male,20,No,Once a day,Some experience,4,7,4,6
Arrows,1,qpp,OilPaint_4282123404_vrexplore1_5983,FocusOut,0.1968384,-0.1846771,0.9628754,0.03081062,0.006340424,-0.03282405,True,False,False,1.309634,0.1,False,05:15:38 PM,173,183.5142,-299.6,160.3282,196.4116,-287.0432,0.4385676,2.333148,-1.515345,-0.02778142,0.9476601,0.1010328,0.3015974,0.03815744,0.9704225,0.06030498,-0.230624,11/25/2021 17:22:03,Yes,qpp,Male,20,No,Once a day,Some experience,4,7,4,6
Arrows,1,qpp,OilPaint_4279739679_vrexplore1_3910,FocusIn,0.1968384,-0.1846771,0.9628754,0.03081062,0.006340424,-0.03282405,True,False,False,1.309634,0.1,False,05:15:38 PM,173,183.5142,-299.6,160.3282,196.4116,-287.0432,0.4385676,2.333148,-1.515345,-0.02778142,0.9476601,0.1010328,0.3015974,0.03815744,0.9704225,0.06030498,-0.230624,11/25/2021 17:22:03,Yes,qpp,Male,20,No,Once a day,Some experience,4,7,4,6
Arrows,1,qpp,OilPaint_4279739679_vrexplore1_3910,FocusOut,0,0,1,0,0,0,False,False,False,1.344541,0.1,False,05:15:38 PM,173,183.5142,-299.6,160.3257,196.4116,-287.0439,0.4367168,2.333243,-1.513479,-0.0275603,0.9494337,0.1010423,0.2959844,0.03859069,0.9690341,0.06025674,-0.2363322,11/25/2021 17:22:03,Yes,qpp,Male,20,No,Once a day,Some experience,4,7,4,6
Arrows,1,qpp,SoftHighlighter_4282652289_vrexplore1_3780,FocusIn,0.3177795,-0.1615906,0.9342804,0.03030763,0.006783051,-0.03398374,True,False,False,1.581008,0.1,False,05:15:39 PM,173,183.5142,-299.6,160.3014,196.4108,-287.0539,0.4166098,2.333904,-1.496617,-0.02606635,0.966228,0.09967469,0.2361972,0.04166482,0.9524181,0.05900744,-0.2961114,11/25/2021 17:22:03,Yes,qpp,Male,20,No,Once a day,Some experience,4,7,4,6
Arrows,1,qpp,SoftHighlighter_4282652289_vrexplore1_3780,FocusOut,0.1439362,-0.3662415,0.9193115,-0.02966475,0.001404678,-0.03507634,True,False,False,1.616967,0.1250204,True,05:15:39 PM,173,183.5142,-299.6,160.2976,196.4106,-287.0558,0.4131629,2.333923,-1.494153,-0.02500079,0.9684773,0.09844727,0.2274531,0.04230336,0.9497559,0.05751586,-0.3047394,11/25/2021 17:22:03,Yes,qpp,Male,20,No,Once a day,Some experience,4,7,4,6
