ExperimentType,ExpID,FolderID,GameObj,Focus,EyeDx,EyeDy,EyeDz,EyeOx,EyeOy,EyeOz,IsValid,LeftBlinking,RightBlinking,GameTime,ConvergenceDistance,ConvergenceDistanceIsValid,LocalTime,GameObjPx,GameObjPy,GameObjPz,CamPx,CamPy,CamPz,LocalCamPx,LocalCamPy,LocalCamPz,CamRx,CamRy,CamRz,CamRw,LocalCamRx,LocalCamRy,LocalCamRz,LocalCamRw,Timestamp,AreYouHappyToBePartOfOurExperiment,ExperimentID,Gender,AgeGroup,DoYouEncounterColourBlindness,GamingExperienceHowOftenDoYouPlayComputerGamesPCConsolemobile,ExperienceWithVirtualReality,Arrowsscene1HelpedMeToExploreTheEnvironment,Avatarsscene2HelpedMeToExploreTheEnvironment,ArrowsDistractMyAttention,AvatarsDistractMyAttention
Avatars,1,qpp,Ch22_lady_Walk,FocusIn,-0.1031799,-0.4460754,0.8890076,0.01909671,0.00487265,-0.03442359,True,False,False,1.379695,0.4965344,True,05:18:06 PM,164.2932,193.4517,-288.8842,159.3095,196.3633,-288.0395,-0.9194269,2.325086,-1.631201,-0.04338668,0.793351,0.1252447,0.5941596,0.02351486,0.9908605,0.08826781,0.09925413,11/25/2021 17:22:03,Yes,qpp,Male,20,No,Once a day,Some experience,4,7,4,6
Avatars,1,qpp,Ch22_lady_Walk,FocusOut,-0.1682587,-0.3717499,0.9129486,0.003398651,0.004280304,-0.03666142,True,False,False,2.154293,0.166687,True,05:18:07 PM,163.552,193.4495,-288.6581,159.3166,196.3623,-288.0463,-0.9222064,2.323306,-1.640522,-0.03775575,0.7925889,0.1183057,0.5969766,0.02462678,0.9912944,0.07939069,0.1021082,11/25/2021 17:22:03,Yes,qpp,Male,20,No,Once a day,Some experience,4,7,4,6
Avatars,1,qpp,Ch22_lady_Walk,FocusIn,-0.142807,-0.464798,0.8738098,0.03219428,0.005191483,-0.0327074,True,False,False,3.355078,1.042897,False,05:18:08 PM,162.4035,193.4462,-288.3079,159.3118,196.3449,-288.0387,-0.9176693,2.306655,-1.631344,0.004570371,0.7487174,0.05393042,0.6606762,0.02432446,0.983477,0.002662902,0.1793719,11/25/2021 17:22:03,Yes,qpp,Male,20,No,Once a day,Some experience,4,7,4,6
Avatars,1,qpp,Ch22_lady_Walk,FocusOut,0,0,1,0,0,0,False,False,False,4.599597,0.2442416,False,05:18:10 PM,161.2237,193.4426,-287.9481,159.3238,196.3395,-288.038,-0.9115396,2.300358,-1.641123,0.02235209,0.743022,0.03380171,0.6680392,0.02874127,0.9813066,-0.02369361,0.1888123,11/25/2021 17:22:03,Yes,qpp,Male,20,No,Once a day,Some experience,4,7,4,6
Avatars,1,qpp,SoftHighlighter_4282652289_vrexplore1_3780,FocusIn,0.6321259,-0.04374695,0.7736206,0.02800226,0.005688416,-0.03390589,True,False,False,6.814986,0.4544205,False,05:18:12 PM,173,183.5142,-299.6,159.3216,196.3635,-288.0586,-0.9307837,2.32363,-1.650765,-0.03093128,0.8155344,0.1166917,0.5659772,0.03123436,0.9946905,0.0743332,0.06395255,11/25/2021 17:22:03,Yes,qpp,Male,20,No,Once a day,Some experience,4,7,4,6
Avatars,1,qpp,SoftHighlighter_4282652289_vrexplore1_3780,FocusOut,0,0,1,0,0,0,False,False,False,6.82667,0.4544205,False,05:18:12 PM,173,183.5142,-299.6,159.321,196.3641,-288.0606,-0.9328284,2.324197,-1.651188,-0.03138257,0.8222017,0.1187716,0.5557813,0.03243246,0.9952072,0.07632685,0.05181735,11/25/2021 17:22:03,Yes,qpp,Male,20,No,Once a day,Some experience,4,7,4,6
Avatars,1,qpp,SoftHighlighter_4282652289_vrexplore1_3780,FocusIn,0.6323547,-0.05082703,0.772995,0.02804303,0.005564988,-0.03390651,True,False,False,6.837967,0.4544205,False,05:18:12 PM,173,183.5142,-299.6,159.3201,196.3647,-288.0627,-0.9350452,2.324775,-1.65142,-0.03192594,0.8289211,0.1209458,0.5451998,0.03361549,0.9955744,0.07845521,0.03932424,11/25/2021 17:22:03,Yes,qpp,Male,20,No,Once a day,Some experience,4,7,4,6
Avatars,1,qpp,SoftHighlighter_4282652289_vrexplore1_3780,FocusOut,0.480957,-0.2405701,0.8430786,0.02601642,0.005493729,-0.03351782,True,False,False,8.543841,0.1270991,True,05:18:14 PM,173,183.5142,-299.6,159.2011,196.3651,-288.2134,-1.12388,2.328201,-1.616314,-0.05049516,0.9930596,0.1038443,0.02234504,0.03116545,0.8655294,0.07886227,-0.4936278,11/25/2021 17:22:03,Yes,qpp,Male,20,No,Once a day,Some experience,4,7,4,6
Avatars,1,qpp,OilPaint_4278217990_vrexplore1_3851,FocusIn,0.480957,-0.2405701,0.8430786,0.02601642,0.005493729,-0.03351782,True,False,False,8.543841,0.1270991,True,05:18:14 PM,173,183.5142,-299.6,159.2011,196.3651,-288.2134,-1.12388,2.328201,-1.616314,-0.05049516,0.9930596,0.1038443,0.02234504,0.03116545,0.8655294,0.07886227,-0.4936278,11/25/2021 17:22:03,Yes,qpp,Male,20,No,Once a day,Some experience,4,7,4,6
Avatars,1,qpp,OilPaint_4278217990_vrexplore1_3851,FocusOut,0.475708,-0.2565308,0.8413544,0.02262509,0.005347488,-0.03381734,True,False,False,8.558355,0.1,True,05:18:14 PM,173,183.5142,-299.6,159.1985,196.3647,-288.2161,-1.127444,2.327817,-1.615212,-0.05093358,0.9933383,0.1022216,0.01535007,0.03020843,0.8621044,0.07784259,-0.499804,11/25/2021 17:22:03,Yes,qpp,Male,20,No,Once a day,Some experience,4,7,4,6
Avatars,1,qpp,OilPaint_4278913804_vrexplore1_4072,FocusIn,0.475708,-0.2565308,0.8413544,0.02262509,0.005347488,-0.03381734,True,False,False,8.558355,0.1,True,05:18:14 PM,173,183.5142,-299.6,159.1985,196.3647,-288.2161,-1.127444,2.327817,-1.615212,-0.05093358,0.9933383,0.1022216,0.01535007,0.03020843,0.8621044,0.07784259,-0.499804,11/25/2021 17:22:03,Yes,qpp,Male,20,No,Once a day,Some experience,4,7,4,6
