ExperimentType,ExpID,FolderID,GameObj,Focus,EyeDx,EyeDy,EyeDz,EyeOx,EyeOy,EyeOz,IsValid,LeftBlinking,RightBlinking,GameTime,ConvergenceDistance,ConvergenceDistanceIsValid,LocalTime,GameObjPx,GameObjPy,GameObjPz,CamPx,CamPy,CamPz,LocalCamPx,LocalCamPy,LocalCamPz,CamRx,CamRy,CamRz,CamRw,LocalCamRx,LocalCamRy,LocalCamRz,LocalCamRw,Timestamp,AreYouHappyToBePartOfOurExperiment,ExperimentID,Gender,AgeGroup,DoYouEncounterColourBlindness,GamingExperienceHowOftenDoYouPlayComputerGamesPCConsolemobile,ExperienceWithVirtualReality,Arrowsscene1HelpedMeToExploreTheEnvironment,Avatarsscene2HelpedMeToExploreTheEnvironment,ArrowsDistractMyAttention,AvatarsDistractMyAttention
Arrows,1,sth,OilPaint_4279739679_vrexplore1_3910,FocusIn,0.1441498,0.1379547,0.9798889,0.02615416,0.007107788,-0.03119354,True,False,False,0.3533334,0.1328473,True,05:28:31 PM,173,183.5142,-299.6,160.2943,196.487,-287.0028,0.4585221,2.412326,-1.47308,0.03360433,0.9418564,-0.05376466,0.32998,0.009514135,0.9732579,-0.1041915,-0.2045059,11/25/2021 17:34:33,Yes,sth,Male,16,No,Once a day,Some experience,3,3,4,1
Arrows,1,sth,OilPaint_4279739679_vrexplore1_3910,FocusOut,-0.05265808,0.1893158,0.9804993,0.03156467,0.008010956,-0.03089484,True,False,False,1.49182,0.2793344,True,05:28:32 PM,173,183.5142,-299.6,160.2944,196.4875,-286.989,0.4708841,2.413329,-1.466794,0.03182086,0.9455991,-0.05024152,0.3198526,0.01025317,0.9713896,-0.1001721,-0.2150877,11/25/2021 17:34:33,Yes,sth,Male,16,No,Once a day,Some experience,3,3,4,1
Arrows,1,sth,MainArrow,FocusIn,-0.05265808,0.1893158,0.9804993,0.03156467,0.008010956,-0.03089484,True,False,False,1.49182,0.2793344,True,05:28:32 PM,161.0358,196.5576,-287.9531,160.2944,196.4875,-286.989,0.4708841,2.413329,-1.466794,0.03182086,0.9455991,-0.05024152,0.3198526,0.01025317,0.9713896,-0.1001721,-0.2150877,11/25/2021 17:34:33,Yes,sth,Male,16,No,Once a day,Some experience,3,3,4,1
Arrows,1,sth,MainArrow,FocusOut,-0.03030396,0.1491547,0.9883423,0.007524567,0.004982788,-0.03294908,True,False,False,1.57429,0.2635024,True,05:28:32 PM,161.0353,196.5559,-287.9536,160.2941,196.4873,-286.9893,0.4704247,2.413143,-1.466612,0.03153944,0.9455873,-0.05096859,0.3198005,0.009638412,0.9713326,-0.1006468,-0.215152,11/25/2021 17:34:33,Yes,sth,Male,16,No,Once a day,Some experience,3,3,4,1
Arrows,1,sth,OilPaint_4279739679_vrexplore1_3910,FocusIn,-0.03004456,0.1483002,0.9884796,0.007380036,0.004965485,-0.032955,True,False,False,1.585701,0.2589357,True,05:28:32 PM,173,183.5142,-299.6,160.2941,196.4873,-286.9893,0.4703605,2.413125,-1.466609,0.03150839,0.9456116,-0.05104204,0.3197198,0.009577321,0.9713098,-0.1006927,-0.2152362,11/25/2021 17:34:33,Yes,sth,Male,16,No,Once a day,Some experience,3,3,4,1
Arrows,1,sth,OilPaint_4279739679_vrexplore1_3910,FocusOut,-0.135788,0.1689911,0.9762115,0.02465378,0.007087845,-0.03162813,True,False,False,1.753544,0.3097421,True,05:28:32 PM,173,183.5142,-299.6,160.2935,196.4871,-286.9906,0.4690332,2.41297,-1.466688,0.03115352,0.9456778,-0.05153561,0.3194796,0.009028848,0.9712322,-0.1009286,-0.2154992,11/25/2021 17:34:33,Yes,sth,Male,16,No,Once a day,Some experience,3,3,4,1
Arrows,1,sth,MainArrow,FocusIn,-0.135788,0.1689911,0.9762115,0.02465378,0.007087845,-0.03162813,True,False,False,1.753544,0.3097421,True,05:28:32 PM,161.0341,196.5542,-287.9554,160.2935,196.4871,-286.9906,0.4690332,2.41297,-1.466688,0.03115352,0.9456778,-0.05153561,0.3194796,0.009028848,0.9712322,-0.1009286,-0.2154992,11/25/2021 17:34:33,Yes,sth,Male,16,No,Once a day,Some experience,3,3,4,1
Arrows,1,sth,MainArrow,FocusOut,-0.1801605,0.1757202,0.967804,0.03213518,0.007953598,-0.03103774,True,False,False,1.76523,0.2885244,True,05:28:32 PM,161.0341,196.5547,-287.9555,160.2935,196.4872,-286.9907,0.468945,2.413019,-1.466717,0.03111976,0.9456561,-0.051322,0.3195814,0.009106241,0.9712747,-0.1007299,-0.2153976,11/25/2021 17:34:33,Yes,sth,Male,16,No,Once a day,Some experience,3,3,4,1
Arrows,1,sth,MainArrow,FocusIn,-0.1801605,0.1757202,0.967804,0.03213518,0.007953598,-0.03103774,True,False,False,1.76523,0.2885244,True,05:28:32 PM,161.0341,196.5547,-287.9555,160.2935,196.4872,-286.9907,0.468945,2.413019,-1.466717,0.03111976,0.9456561,-0.051322,0.3195814,0.009106241,0.9712747,-0.1007299,-0.2153976,11/25/2021 17:34:33,Yes,sth,Male,16,No,Once a day,Some experience,3,3,4,1
Arrows,1,sth,MainArrow,FocusOut,-0.1507263,0.119812,0.9812775,0.00532988,0.004632111,-0.03339299,True,False,False,1.922017,0.2970088,True,05:28:32 PM,161.0371,196.5557,-287.9541,160.2934,196.4872,-286.9916,0.4680059,2.413042,-1.467082,0.03113065,0.945137,-0.05146803,0.3210889,0.008974907,0.9716043,-0.1008744,-0.213843,11/25/2021 17:34:33,Yes,sth,Male,16,No,Once a day,Some experience,3,3,4,1
