ExperimentType,ExpID,FolderID,GameObj,Focus,EyeDx,EyeDy,EyeDz,EyeOx,EyeOy,EyeOz,IsValid,LeftBlinking,RightBlinking,GameTime,ConvergenceDistance,ConvergenceDistanceIsValid,LocalTime,GameObjPx,GameObjPy,GameObjPz,CamPx,CamPy,CamPz,LocalCamPx,LocalCamPy,LocalCamPz,CamRx,CamRy,CamRz,CamRw,LocalCamRx,LocalCamRy,LocalCamRz,LocalCamRw,Timestamp,AreYouHappyToBePartOfOurExperiment,ExperimentID,Gender,AgeGroup,DoYouEncounterColourBlindness,GamingExperienceHowOftenDoYouPlayComputerGamesPCConsolemobile,ExperienceWithVirtualReality,Arrowsscene1HelpedMeToExploreTheEnvironment,Avatarsscene2HelpedMeToExploreTheEnvironment,ArrowsDistractMyAttention,AvatarsDistractMyAttention
Arrows,1,tfs,MainArrow,FocusIn,-0.009750366,0.2342834,0.9721069,-0.01406715,0.005392426,-0.02597522,True,False,False,0.4742554,0.7933081,True,12:56:55 PM,161.3425,196.0349,-286.0621,160.4061,195.4928,-286.6217,-4.233905,-0.4671723,2.368282,0.1221363,-0.4897322,-0.07528871,-0.8599865,0.1221363,-0.4897322,-0.07528871,-0.8599865,11/23/2021 13:04:00,Yes,tfs,Female,26,No,Not at all,No experience,5,5,1,1
Arrows,1,tfs,MainArrow,FocusOut,-0.03395081,0.2975159,0.9541016,-0.0007679901,0.005754486,-0.02494028,True,False,False,0.5616338,0.7559732,True,12:56:55 PM,161.3452,196.0313,-286.0622,160.4067,195.4926,-286.6218,-4.233315,-0.4674139,2.368205,0.1205872,-0.4905519,-0.07556438,-0.8597137,0.1205872,-0.4905519,-0.07556438,-0.8597137,11/23/2021 13:04:00,Yes,tfs,Female,26,No,Not at all,No experience,5,5,1,1
Arrows,1,tfs,MainArrow,FocusIn,-0.03395081,0.2975159,0.9541016,-0.0007679901,0.005754486,-0.02494028,True,False,False,0.5616338,0.7559732,True,12:56:55 PM,161.3452,196.0313,-286.0622,160.4067,195.4926,-286.6218,-4.233315,-0.4674139,2.368205,0.1205872,-0.4905519,-0.07556438,-0.8597137,0.1205872,-0.4905519,-0.07556438,-0.8597137,11/23/2021 13:04:00,Yes,tfs,Female,26,No,Not at all,No experience,5,5,1,1
Arrows,1,tfs,MainArrow,FocusOut,-0.001358032,-0.1183014,0.9929657,0.02890282,0.004892197,-0.02095094,True,False,False,1.20043,1.234497,True,12:56:55 PM,161.3167,196.0084,-285.9882,160.4075,195.4921,-286.6132,-4.23247,-0.4679161,2.376797,0.1104643,-0.4665082,-0.07374831,-0.8744879,0.1104643,-0.4665082,-0.07374831,-0.8744879,11/23/2021 13:04:00,Yes,tfs,Female,26,No,Not at all,No experience,5,5,1,1
Arrows,1,tfs,MainArrow,FocusIn,0.2767944,-0.0008087158,0.9609222,0.02751642,0.005301392,-0.02177754,True,False,False,1.25589,2.584386,True,12:56:55 PM,161.3209,196.0172,-286.0007,160.407,195.4929,-286.6124,-4.233028,-0.4671217,2.377581,0.1132429,-0.4708563,-0.07731251,-0.871489,0.1132429,-0.4708563,-0.07731251,-0.871489,11/23/2021 13:04:00,Yes,tfs,Female,26,No,Not at all,No experience,5,5,1,1
Arrows,1,tfs,MainArrow,FocusOut,0.2558594,-0.0188446,0.9665222,-0.03117731,0.003803742,-0.02417558,True,False,False,1.3002,1.072205,True,12:56:55 PM,161.3172,196.0235,-286.0017,160.4057,195.4931,-286.6118,-4.234338,-0.466912,2.378196,0.1159592,-0.4702611,-0.07767593,-0.8714209,0.1159592,-0.4702611,-0.07767593,-0.8714209,11/23/2021 13:04:00,Yes,tfs,Female,26,No,Not at all,No experience,5,5,1,1
Arrows,1,tfs,MainArrow,FocusIn,0.271759,0.003814697,0.9623566,-0.01261136,0.004207474,-0.02344714,True,False,False,1.3113,1.537222,True,12:56:55 PM,161.3162,196.0251,-286.0019,160.4055,195.4932,-286.6117,-4.234538,-0.4667817,2.378295,0.1169095,-0.4701384,-0.07820948,-0.8713124,0.1169095,-0.4701384,-0.07820948,-0.8713124,11/23/2021 13:04:00,Yes,tfs,Female,26,No,Not at all,No experience,5,5,1,1
Arrows,1,tfs,MainArrow,FocusOut,0.2688446,-0.01156616,0.9631042,-0.003035935,0.004369949,-0.02303297,True,False,False,1.344619,1.609643,True,12:56:55 PM,161.312,196.034,-286.0038,160.4045,195.4938,-286.6115,-4.235501,-0.4662281,2.378512,0.1203823,-0.4699382,-0.07941832,-0.870838,0.1203823,-0.4699382,-0.07941832,-0.870838,11/23/2021 13:04:00,Yes,tfs,Female,26,No,Not at all,No experience,5,5,1,1
Arrows,1,tfs,MainArrow,FocusIn,0.2708435,-0.0007476807,0.962616,-0.003278641,0.004320679,-0.02304883,True,False,False,1.355867,1.949075,True,12:56:55 PM,161.3109,196.0362,-286.0046,160.4041,195.4939,-286.6115,-4.235896,-0.4661597,2.378522,0.1208959,-0.4704433,-0.07942825,-0.8704933,0.1208959,-0.4704433,-0.07942825,-0.8704933,11/23/2021 13:04:00,Yes,tfs,Female,26,No,Not at all,No experience,5,5,1,1
Arrows,1,tfs,MainArrow,FocusOut,-0.04321289,0.2484436,0.9676666,-0.02979813,0.003212967,-0.02122452,True,False,False,1.544923,1.163115,True,12:56:56 PM,161.3079,196.0566,-286.0226,160.4005,195.4958,-286.6104,-4.239488,-0.4642318,2.379538,0.1243002,-0.4772208,-0.09116375,-0.8651583,0.1243002,-0.4772208,-0.09116375,-0.8651583,11/23/2021 13:04:00,Yes,tfs,Female,26,No,Not at all,No experience,5,5,1,1
