ExperimentType,ExpID,FolderID,GameObj,Focus,EyeDx,EyeDy,EyeDz,EyeOx,EyeOy,EyeOz,IsValid,LeftBlinking,RightBlinking,GameTime,ConvergenceDistance,ConvergenceDistanceIsValid,LocalTime,GameObjPx,GameObjPy,GameObjPz,CamPx,CamPy,CamPz,LocalCamPx,LocalCamPy,LocalCamPz,CamRx,CamRy,CamRz,CamRw,LocalCamRx,LocalCamRy,LocalCamRz,LocalCamRw,Timestamp,AreYouHappyToBePartOfOurExperiment,ExperimentID,Gender,AgeGroup,DoYouEncounterColourBlindness,GamingExperienceHowOftenDoYouPlayComputerGamesPCConsolemobile,ExperienceWithVirtualReality,Arrowsscene1HelpedMeToExploreTheEnvironment,Avatarsscene2HelpedMeToExploreTheEnvironment,ArrowsDistractMyAttention,AvatarsDistractMyAttention
Arrows,1,uaa,OilPaint_4287675169_vrexplore1_5141,FocusIn,-0.3191376,0.1061401,0.9417419,0.006566971,0.009165207,-0.02843285,True,False,False,0.7421843,0.1,True,12:29:31 PM,173,183.5142,-299.6,160.332,195.6595,-286.4086,-4.307956,-0.3005486,2.581353,-0.04114347,-0.2175644,0.002662057,-0.9751748,-0.04114347,-0.2175644,0.002662057,-0.9751748,11/23/2021 12:55:55,Yes,uaa,Male,20,No,Once a day,No experience,4,8,4,8
Arrows,1,uaa,OilPaint_4287675169_vrexplore1_5141,FocusOut,-0.3230743,0.07102966,0.9436951,0.01684342,0.009310624,-0.02802853,True,False,False,0.7984347,0.1408688,True,12:29:31 PM,173,183.5142,-299.6,160.3215,195.6597,-286.4067,-4.318486,-0.3002912,2.583311,-0.04093554,-0.1867498,0.002065934,-0.9815521,-0.04093554,-0.1867498,0.002065934,-0.9815521,11/23/2021 12:55:55,Yes,uaa,Male,20,No,Once a day,No experience,4,8,4,8
Arrows,1,uaa,OilPaint_4287675169_vrexplore1_5951,FocusIn,-0.3230743,0.07102966,0.9436951,0.01684342,0.009310624,-0.02802853,True,False,False,0.7984347,0.1408688,True,12:29:31 PM,173,183.5142,-299.6,160.3215,195.6597,-286.4067,-4.318486,-0.3002912,2.583311,-0.04093554,-0.1867498,0.002065934,-0.9815521,-0.04093554,-0.1867498,0.002065934,-0.9815521,11/23/2021 12:55:55,Yes,uaa,Male,20,No,Once a day,No experience,4,8,4,8
Arrows,1,uaa,OilPaint_4287675169_vrexplore1_5951,FocusOut,-0.3180237,0.06182861,0.9460602,0.01340009,0.009286682,-0.02812566,True,False,False,0.8130925,0.4958198,True,12:29:31 PM,173,183.5142,-299.6,160.3195,195.6599,-286.4063,-4.320542,-0.3001288,2.583699,-0.04048415,-0.1814544,0.002020648,-0.9825637,-0.04048415,-0.1814544,0.002020648,-0.9825637,11/23/2021 12:55:55,Yes,uaa,Male,20,No,Once a day,No experience,4,8,4,8
Arrows,1,uaa,OilPaint_4279370837_vrexplore1_5254,FocusIn,-0.3180237,0.06182861,0.9460602,0.01340009,0.009286682,-0.02812566,True,False,False,0.8130925,0.4958198,True,12:29:31 PM,173,183.5142,-299.6,160.3195,195.6599,-286.4063,-4.320542,-0.3001288,2.583699,-0.04048415,-0.1814544,0.002020648,-0.9825637,-0.04048415,-0.1814544,0.002020648,-0.9825637,11/23/2021 12:55:55,Yes,uaa,Male,20,No,Once a day,No experience,4,8,4,8
Arrows,1,uaa,OilPaint_4279370837_vrexplore1_5254,FocusOut,-0.2988434,0.08955383,0.9500732,0.01415289,0.009319321,-0.02809476,True,False,False,0.8277439,0.1,True,12:29:31 PM,173,183.5142,-299.6,160.3154,195.6605,-286.4055,-4.324613,-0.2995359,2.584471,-0.03881447,-0.1713883,0.002085458,-0.9844365,-0.03881447,-0.1713883,0.002085458,-0.9844365,11/23/2021 12:55:55,Yes,uaa,Male,20,No,Once a day,No experience,4,8,4,8
Arrows,1,uaa,OilPaint_4285441043_vrexplore1_1452,FocusIn,-0.2988434,0.08955383,0.9500732,0.01415289,0.009319321,-0.02809476,True,False,False,0.8277439,0.1,True,12:29:31 PM,173,183.5142,-299.6,160.3154,195.6605,-286.4055,-4.324613,-0.2995359,2.584471,-0.03881447,-0.1713883,0.002085458,-0.9844365,-0.03881447,-0.1713883,0.002085458,-0.9844365,11/23/2021 12:55:55,Yes,uaa,Male,20,No,Once a day,No experience,4,8,4,8
Arrows,1,uaa,OilPaint_4285441043_vrexplore1_1452,FocusOut,-0.2728119,0.09555054,0.9573059,0.01349442,0.009284104,-0.02805412,True,False,False,0.8573405,0.1,True,12:29:31 PM,173,183.5142,-299.6,160.3114,195.6611,-286.4048,-4.328636,-0.2989434,2.585237,-0.03747838,-0.1625734,0.002342111,-0.9859816,-0.03747838,-0.1625734,0.002342111,-0.9859816,11/23/2021 12:55:55,Yes,uaa,Male,20,No,Once a day,No experience,4,8,4,8
Arrows,1,uaa,OilPaint_4281599152_vrexplore1_5086,FocusIn,-0.2728119,0.09555054,0.9573059,0.01349442,0.009284104,-0.02805412,True,False,False,0.8573405,0.1,True,12:29:31 PM,173,183.5142,-299.6,160.3114,195.6611,-286.4048,-4.328636,-0.2989434,2.585237,-0.03747838,-0.1625734,0.002342111,-0.9859816,-0.03747838,-0.1625734,0.002342111,-0.9859816,11/23/2021 12:55:55,Yes,uaa,Male,20,No,Once a day,No experience,4,8,4,8
Arrows,1,uaa,OilPaint_4281599152_vrexplore1_5086,FocusOut,-0.2342834,0.05137634,0.9707947,0.01030452,0.009208024,-0.0280759,True,False,False,0.9148086,0.285773,True,12:29:31 PM,173,183.5142,-299.6,160.3016,195.6628,-286.4026,-4.338356,-0.297169,2.587327,-0.03588906,-0.1455261,0.002362421,-0.9887005,-0.03588906,-0.1455261,0.002362421,-0.9887005,11/23/2021 12:55:55,Yes,uaa,Male,20,No,Once a day,No experience,4,8,4,8
Arrows,1,uaa,OilPaint_4281599152_vrexplore1_5075,FocusIn,-0.2342834,0.05137634,0.9707947,0.01030452,0.009208024,-0.0280759,True,False,False,0.9148086,0.285773,True,12:29:31 PM,173,183.5142,-299.6,160.3016,195.6628,-286.4026,-4.338356,-0.297169,2.587327,-0.03588906,-0.1455261,0.002362421,-0.9887005,-0.03588906,-0.1455261,0.002362421,-0.9887005,11/23/2021 12:55:55,Yes,uaa,Male,20,No,Once a day,No experience,4,8,4,8
Arrows,1,uaa,OilPaint_4281599152_vrexplore1_5075,FocusOut,-0.2127991,0.07484436,0.9742126,0.01057515,0.009211762,-0.02806996,True,False,False,0.9294198,0.1,True,12:29:31 PM,173,183.5142,-299.6,160.2978,195.6635,-286.4017,-4.342197,-0.2965426,2.588245,-0.03550373,-0.138757,0.001894287,-0.989688,-0.03550373,-0.138757,0.001894287,-0.989688,11/23/2021 12:55:55,Yes,uaa,Male,20,No,Once a day,No experience,4,8,4,8
Arrows,1,uaa,OilPaint_4281599152_vrexplore1_5086,FocusIn,-0.2127991,0.07484436,0.9742126,0.01057515,0.009211762,-0.02806996,True,False,False,0.9294198,0.1,True,12:29:31 PM,173,183.5142,-299.6,160.2978,195.6635,-286.4017,-4.342197,-0.2965426,2.588245,-0.03550373,-0.138757,0.001894287,-0.989688,-0.03550373,-0.138757,0.001894287,-0.989688,11/23/2021 12:55:55,Yes,uaa,Male,20,No,Once a day,No experience,4,8,4,8
Arrows,1,uaa,OilPaint_4281599152_vrexplore1_5086,FocusOut,-0.19664,0.06781006,0.9781189,0.01013524,0.009205109,-0.02801689,True,False,False,0.9735444,0.1,True,12:29:31 PM,173,183.5142,-299.6,160.29,195.6652,-286.399,-4.350022,-0.2948009,2.590938,-0.03251548,-0.1271045,0.0002428527,-0.9913563,-0.03251548,-0.1271045,0.0002428527,-0.9913563,11/23/2021 12:55:55,Yes,uaa,Male,20,No,Once a day,No experience,4,8,4,8
Arrows,1,uaa,OilPaint_4281599152_vrexplore1_5075,FocusIn,-0.19664,0.06781006,0.9781189,0.01013524,0.009205109,-0.02801689,True,False,False,0.9735444,0.1,True,12:29:31 PM,173,183.5142,-299.6,160.29,195.6652,-286.399,-4.350022,-0.2948009,2.590938,-0.03251548,-0.1271045,0.0002428527,-0.9913563,-0.03251548,-0.1271045,0.0002428527,-0.9913563,11/23/2021 12:55:55,Yes,uaa,Male,20,No,Once a day,No experience,4,8,4,8
Arrows,1,uaa,OilPaint_4281599152_vrexplore1_5075,FocusOut,-0.1837921,0.0977478,0.9780884,0.01813661,0.009755234,-0.02769626,True,False,False,1.028689,0.2987251,True,12:29:31 PM,173,183.5142,-299.6,160.2802,195.6683,-286.3947,-4.359821,-0.2917325,2.595305,-0.02701105,-0.1139861,-0.0006133229,-0.9931149,-0.02701105,-0.1139861,-0.0006133229,-0.9931149,11/23/2021 12:55:55,Yes,uaa,Male,20,No,Once a day,No experience,4,8,4,8
Arrows,1,uaa,OilPaint_4281599152_vrexplore1_5136,FocusIn,-0.1689911,0.104248,0.9800873,0.01773297,0.009958833,-0.02770563,True,False,False,1.042872,1.053172,True,12:29:31 PM,173,183.5142,-299.6,160.2783,195.669,-286.3937,-4.361715,-0.2909812,2.596266,-0.02517342,-0.1118973,-0.000923399,-0.9934005,-0.02517342,-0.1118973,-0.000923399,-0.9934005,11/23/2021 12:55:55,Yes,uaa,Male,20,No,Once a day,No experience,4,8,4,8
Arrows,1,uaa,OilPaint_4281599152_vrexplore1_5136,FocusOut,-0.1650696,0.1496429,0.9748535,0.02314864,0.0104055,-0.02752562,True,False,False,1.055821,2.376745,True,12:29:31 PM,173,183.5142,-299.6,160.2764,195.6698,-286.3927,-4.363602,-0.2902074,2.597246,-0.02319727,-0.1102336,-0.001472557,-0.9936339,-0.02319727,-0.1102336,-0.001472557,-0.9936339,11/23/2021 12:55:55,Yes,uaa,Male,20,No,Once a day,No experience,4,8,4,8
Arrows,1,uaa,MainArrow,FocusIn,-0.1639709,0.1633606,0.9728394,0.02421706,0.01051207,-0.02748468,True,False,False,1.06892,0.9614637,True,12:29:31 PM,160.5398,195.8246,-285.2134,160.2745,195.6706,-286.3918,-4.365468,-0.289417,2.598194,-0.02116469,-0.1087165,-0.001948901,-0.9938456,-0.02116469,-0.1087165,-0.001948901,-0.9938456,11/23/2021 12:55:55,Yes,uaa,Male,20,No,Once a day,No experience,4,8,4,8
Arrows,1,uaa,MainArrow,FocusOut,-0.0881958,0.1299133,0.9875793,0.01222055,0.009735566,-0.02739649,True,False,False,1.456844,4.173985,True,12:29:32 PM,160.4196,196.1305,-285.2411,160.204,195.704,-286.3615,-4.436003,-0.2560186,2.628464,0.09622535,-0.08947352,0.002916554,-0.9913257,0.09622535,-0.08947352,0.002916554,-0.9913257,11/23/2021 12:55:55,Yes,uaa,Male,20,No,Once a day,No experience,4,8,4,8
