ExperimentType,ExpID,FolderID,GameObj,Focus,EyeDx,EyeDy,EyeDz,EyeOx,EyeOy,EyeOz,IsValid,LeftBlinking,RightBlinking,GameTime,ConvergenceDistance,ConvergenceDistanceIsValid,LocalTime,GameObjPx,GameObjPy,GameObjPz,CamPx,CamPy,CamPz,LocalCamPx,LocalCamPy,LocalCamPz,CamRx,CamRy,CamRz,CamRw,LocalCamRx,LocalCamRy,LocalCamRz,LocalCamRw,Timestamp,AreYouHappyToBePartOfOurExperiment,ExperimentID,Gender,AgeGroup,DoYouEncounterColourBlindness,GamingExperienceHowOftenDoYouPlayComputerGamesPCConsolemobile,ExperienceWithVirtualReality,Arrowsscene1HelpedMeToExploreTheEnvironment,Avatarsscene2HelpedMeToExploreTheEnvironment,ArrowsDistractMyAttention,AvatarsDistractMyAttention
Avatars,1,uaa,OilPaint_4279739679_vrexplore1_3910,FocusIn,-0.2719269,-0.07836914,0.9591064,-0.002003479,0.001957947,-0.02933594,True,False,False,0.3533334,1.994085,True,12:33:38 PM,173,183.5142,-299.6,160.6738,195.672,-289.313,-3.966242,-0.2879891,-0.322955,0.01609165,0.9838378,0.01426669,0.1777658,0.01609165,0.9838378,0.01426669,0.1777658,11/23/2021 12:55:55,Yes,uaa,Male,20,No,Once a day,No experience,4,8,4,8
Avatars,1,uaa,OilPaint_4279739679_vrexplore1_3910,FocusOut,0.1708679,-0.1368103,0.9757385,-0.02205737,0.001626694,-0.02939916,True,False,False,0.8254986,3.668661,True,12:33:38 PM,173,183.5142,-299.6,160.6444,195.6785,-289.2912,-3.995629,-0.2815156,-0.3011689,0.01766819,0.9923747,0.03484667,0.1169024,0.01766819,0.9923747,0.03484667,0.1169024,11/23/2021 12:55:55,Yes,uaa,Male,20,No,Once a day,No experience,4,8,4,8
Avatars,1,uaa,OilPaint_4279739679_vrexplore1_5393,FocusIn,0.1708679,-0.1368103,0.9757385,-0.02205737,0.001626694,-0.02939916,True,False,False,0.8254986,3.668661,True,12:33:38 PM,173,183.5142,-299.6,160.6444,195.6785,-289.2912,-3.995629,-0.2815156,-0.3011689,0.01766819,0.9923747,0.03484667,0.1169024,0.01766819,0.9923747,0.03484667,0.1169024,11/23/2021 12:55:55,Yes,uaa,Male,20,No,Once a day,No experience,4,8,4,8
Avatars,1,uaa,OilPaint_4279739679_vrexplore1_5393,FocusOut,0.3178406,-0.1381073,0.9380188,0.01064842,0.002209274,-0.03032349,True,False,False,0.8591033,2.483052,True,12:33:38 PM,173,183.5142,-299.6,160.6395,195.6783,-289.2914,-4.000527,-0.2817193,-0.3013842,0.01871866,0.9944937,0.03269729,0.09778903,0.01871866,0.9944937,0.03269729,0.09778903,11/23/2021 12:55:55,Yes,uaa,Male,20,No,Once a day,No experience,4,8,4,8
Avatars,1,uaa,SoftHighlighter_4282652289_vrexplore1_3780,FocusIn,0.3178406,-0.1381073,0.9380188,0.01064842,0.002209274,-0.03032349,True,False,False,0.8591033,2.483052,True,12:33:38 PM,173,183.5142,-299.6,160.6395,195.6783,-289.2914,-4.000527,-0.2817193,-0.3013842,0.01871866,0.9944937,0.03269729,0.09778903,0.01871866,0.9944937,0.03269729,0.09778903,11/23/2021 12:55:55,Yes,uaa,Male,20,No,Once a day,No experience,4,8,4,8
Avatars,1,uaa,SoftHighlighter_4282652289_vrexplore1_3780,FocusOut,0.2893829,-0.1244507,0.9490814,-0.03387551,0.001385345,-0.02960106,True,False,False,1.045815,0.4062141,True,12:33:39 PM,173,183.5142,-299.6,160.5929,195.6747,-289.2916,-4.047104,-0.2853203,-0.3016436,0.03813202,0.9952565,0.01394463,-0.08840824,0.03813202,0.9952565,0.01394463,-0.08840824,11/23/2021 12:55:55,Yes,uaa,Male,20,No,Once a day,No experience,4,8,4,8
Avatars,1,uaa,OilPaint_4278217990_vrexplore1_3851,FocusIn,0.2893829,-0.1244507,0.9490814,-0.03387551,0.001385345,-0.02960106,True,False,False,1.045815,0.4062141,True,12:33:39 PM,173,183.5142,-299.6,160.5929,195.6747,-289.2916,-4.047104,-0.2853203,-0.3016436,0.03813202,0.9952565,0.01394463,-0.08840824,0.03813202,0.9952565,0.01394463,-0.08840824,11/23/2021 12:55:55,Yes,uaa,Male,20,No,Once a day,No experience,4,8,4,8
Avatars,1,uaa,OilPaint_4278217990_vrexplore1_3851,FocusOut,0.4134674,-0.1394653,0.899765,-0.033086,0.001359375,-0.03001312,True,False,False,1.08487,1.31114,True,12:33:39 PM,173,183.5142,-299.6,160.5766,195.6745,-289.2888,-4.063442,-0.2854685,-0.2987777,0.04367419,0.9867527,0.01418411,-0.1555977,0.04367419,0.9867527,0.01418411,-0.1555977,11/23/2021 12:55:55,Yes,uaa,Male,20,No,Once a day,No experience,4,8,4,8
Avatars,1,uaa,OilPaint_4278913804_vrexplore1_4072,FocusIn,0.4134674,-0.1394653,0.899765,-0.033086,0.001359375,-0.03001312,True,False,False,1.08487,1.31114,True,12:33:39 PM,173,183.5142,-299.6,160.5766,195.6745,-289.2888,-4.063442,-0.2854685,-0.2987777,0.04367419,0.9867527,0.01418411,-0.1555977,0.04367419,0.9867527,0.01418411,-0.1555977,11/23/2021 12:55:55,Yes,uaa,Male,20,No,Once a day,No experience,4,8,4,8
Avatars,1,uaa,OilPaint_4278913804_vrexplore1_4072,FocusOut,0.2503052,-0.1515045,0.9562225,-0.01809306,0.001374329,-0.02960346,True,False,False,1.337572,2.469396,True,12:33:39 PM,173,183.5142,-299.6,160.5119,195.6681,-289.2591,-4.128098,-0.291907,-0.2691065,0.06069066,0.9185848,-0.005779004,-0.3904935,0.06069066,0.9185848,-0.005779004,-0.3904935,11/23/2021 12:55:55,Yes,uaa,Male,20,No,Once a day,No experience,4,8,4,8
